Opinion,Classification
"Background: Jade Golden Circle. Multiple visits to SL EDSA. Work and with family visits.

- multiple emails to ensure car is booked and room type request (connecting rooms)
- car was booked for five hours after stated arrival time. Time wasted to organise hastily
- connecting rooms in tower not fulfilled despite multiple emails from SL to me

Rooms: tower
- supposed to be newly renovated but already looks worn on carpet and main areas
- very musty air con smell in hallways and within rooms
- my wife couldn't breath for the humid/ musty mould smell
- noisy. On weekends with families and weddings, every door slam, loud conversation can be clearly heard

Rooms: garden wing
- unrenovated. Worn and aged
- mouldy and humid smell. Had to request a room with a balcony for fresh air (thank goodness good days in Manila without smog)
- pay more for Horizon Floor and yet rooms still have bathtub showers with old curtains

Service remains excellent and wanting to accommodate. Concierge team is fantastic.

My last visit to edsa SL. I'll be picking a condo / apt via airbnb next time.

It's greatest days are far gone now.",Comfort & Facilities:Staff:Cleanliness
"After years, I am back again in this hotel and it never aged. Properly maintained to compete with modern hotels. The pool for me is unrivaled because of the layout and the 9feet deep portion. Our hotel room is on the 11th and we are lucky to have the pool area as the view.

Looking forward to my next staycation at Edsa Shang",Comfort & Facilities
"it was once my favourite hotel in Mandaluyong area. so we booked again during the christmas holiday. Front office team clearly has a problem, the Valet system takes 1 hour and 30 mins. not to mention that you have to drive your own car to their parking area before the valet attendant would take your vehicle. then another 1 hour waiting time for check in with the line that is already extremely long, good thing our room was ready at by the time we checked in. but not as fortunate as other guest whom I've heard that their room was not. everything was slow during the holiday. room service takes min 1 hour but they would advice you if you are willing to wait for not.

Breakfast food choices remains good. they do have a lot of OJTs unfortunately they just left them hanging like zombies that they don't know what their doing, this would ruin their standards of service.

our room is missing bath tub, other than that it remains very good

and check out continue on with long waiting time.",Staff:Comfort & Facilities
"EDSA Shangri-La did everything to make our stay comfortable. Service was very goog and everything was clean. Fod was good and ammenities were great, especially the pool area. I recommend a room with Horizon club lounge access.",Comfort & Facilities:Staff:Cleanliness
Great place to stay. Clean and staff are friendly . Always offer a helping hand. Close to malls. Easy access. Secured hotel. No issue with transportation. Really great food. And nice pool. Great place to stay!,Staff:Location:Comfort & Facilities
"We've booked our stay at the Edsa Shangri-La during my sister's wedding last December 2016. The rooms are spacious, quick service at the front desk, fast wifi connection and great food at the Horizon Club Lounge. Breakfast at Heat was great, but do not go there at 10 am if you want to enjoy all the sumptuous dishes. My husband and son were able to swim and I had the best time at the gym. The facilities at the health club are fantastic!
I forgot 3 pairs of shoes in our room upon checking out and was really thankful for the housekeeping staff when I asked for assistance. The minor issue that I've encountered was related to my deposit using credit card. Since it was Christmas season, it took 10 days for them to credit back the amount equivalent to one night stay. Other than this, everything was perfect. Great savings too because of the early bird rate.",Staff:Food:Value for money
"Beautiful hotel with great breakfast! There's so much to choose from! Facilities are clean, and rooms are decent. I would stay at this hotel more, but it's far from the Makati- Greenbelt/Glorietta area that I like to go to when I'm in the Philippines. I prefer not to use taxi less frequently when traveling here. The hotel is right beside Megamall. If you are fine with the area, I would recommend this hotel.",Food:Location:Comfort & Facilities
"My husband stays here all the time with work and I finally got to go out and meet him there; the hotel was great but do be aware that it is a city centre hotel which, with the Manila traffic can take a LONG time to get to from the airport (1.5-2hrs is quite normal) - the hotel car service met me at the airport and drove me there so I was perfectly comfortable (with air-con, bottled water and wifi!). On arrival I was really well looked after, the staff was absolutely outstanding - they had upgraded our room as they knew I was going out to see my husband, the 'regular'! The room was beautiful - huge and luxurious with a lovely pool view.
The executive lounge was great - again, each staff member was great - so happy and helpful. It was lovely to know that my husband is so well looked after when he stays there!
The gym is very good - loads of equipment. Played tennis on a roof-top court - a bit weird but fun!
The mall that is in the same complex is HUGE with everything you could possibly need - shops, restaurants, cinema, etc: Cibu Italian is great - really tasty and good value, Din Tai Fung was fab too.
I would thoroughly recommend this hotel to anyone going to Manila.",Staff:Comfort & Facilities:Location
"Checked in on what must have (or felt like) a holiday weekend for a much needed birthday staycation. We got bumped up to a Horizon suite upon check in, and the room was very enjoyable although to the discerning guest you will see minute signs of aging.

We have a lot of business lunches at HEAT so it wasn't really any much big of a surprise - food spread was top notch as expected. Just too many people during this particular stay, like that feeling where you inadvertently walk into a fully booked convention weekend. Never saw the Horizon Club floor lounge packed with so many people haha, like there was a promotion or something.

Overall, still a very good experience and still the best luxury option if you are staying in Ortigas.",Food:Comfort & Facilities
"It was a thursday morning. Met up with a family friend for breakfast at one of their reaturants that serves buffet. Food was fine and with good array to choose from. What i like here is their staff. They are all so friendly and courteous. Down from the chef who cooked our eggs to the last person i got to talk to that day were all so nice.
Hotel looks quiet old but still okay. They might just need to repair some parts to keep it well.",Staff:Food
"This is the best hotel in Mnaila, although it is kinda far from Makati area. I had a great experience here. I stayed in Makati for 2 days and in this Hotel for rest of my stay in Manila. I will definitely book this hotel the next time I go back in Manila.",Location:Food
Wherever Shangri-la would that be the experience is always an invitation to come back! Overall experience is noteworthy. From entry to Front Office; room assignment; baggage assistance to use of facilities and lounges the crew always make you feel at home and important.,Staff:Comfort & Facilities
We had an excellent end to end customer experience. It was easy to book online. Check-in took less than 5 minutes. The room was clean and had a relaxing interior design. The pool had a very nice tropical layout with a small waterpark for kids and we felt safe with the three attentive lifeguards. The restaurants served delicious dishes. The staff were courteous and warm. Check-out was quick and easy. We felt like we got what we paid for.,Comfort & Facilities:Food:Staff
"My rating is based on the service received at Chi spa. My gf brought me here for my birthday. We were in the couples room. While she was being massaged/rubbed with one hand the therapist was texting with the other. She then drops the phone between her legs to continue massaging with both hands. This continued throughout the massage. Your massage therapist texting? Chi spa? Really? This is what we'd expect from a local gym that offers massages at p350 ($8usd). Not Chi Spa!

Before noticing such a decline in service, this was the spa we'd frequently visit & treat each other for birthdays. Being completely dissatisfied she decided to complain by writing the company. She was given an apology (sorry) and told when she comes back they'd make sure to do a better job. What? Come on Shangri-La! At least they could've offered her another massage. A 90-120 min massage at this place is pretty costly. Paying for two massages then leaving displeased is a terrible feeling. This was basically a waste of hard earned money & time on a special occasion!

I feel they should pay more attention to satisfying customers rather than taking the money. This is not the Chi Spa of the past. I just had this conversation with a friend of mine and his wife who also frequently visits Chi spa. They said the same exact thing ""Chi spa is not the same.""",Staff:Comfort & Facilities
"Love this hotel! People are great, the ambience is perfect, very relaxing after a hectic day of shopping! Love the Chi spa, visited it again this time around. The couple's massage dressing room was lovely! Service was wonderful, like the first time. The HEAT restaurant is always fantastic and special thanks to our server, Alex. He was so attentive, friendly and a joy to have assisting us with our breakfasts! Best coffee I have had in all my travels, up there in my list with what I enjoyed in Barcelona. Keep up the fantastic service, we will definitely come back a third time when we visit again!",Staff:Food
"We booked a Garden Wing Horizon Club room. The room was clean spacious enough. Cable channels were available. However, there was no bidet on the comfort room. The bottled toiletries are hard to squeeze. It will test your patience. Please do something about this. You need to tip and hit the plastic bottle again and again to get lotion or conditioner.
The check in was a disappointment. Horizon Club guests are suppose to receive a private check in and this did not happen to us. We were checked in like a regular guest,lining up, standing and answering questions.
The Horizon club was full because it was Christmas. The staff tried to be friendly and accomodating, though you could sense it's not that sincere. The is no freshly brewed coffee available, only expresso machine with coffee capsules. For guests with gall bladder stone issues, instant coffee is bad. However, I was impressed that during cocktail hours, the food spead was very filling, from rice, lamb chops, to cheese and margaritas. The soup was not hot by 6pm. The lounge may get very busy and with crying toddlers, I fully understand this, for this hotel is loved for being a family hotel.
Housekeeping did not fully replenish the toiletries.
The pool was clean. Towels and requests took so long. Presence of lifeguards is a plus.
There is a quick passage way from the hotel to the mall.
The lobby was very beautiful. However, the snowflake show was late by 30 minutes and it was pathetic. You have to order food or drinks to be able to sit at the lobby lounge.
The buffet breakfast at Heat was chaotic. Again, it was Christmas morn. The food was messy and the coffee came after 3 follow ups and a stern tone. They ran out of tables so people had to line up and wait. The next morning was a releif, less people, more attentive staff and more appealing array of food.
Valley parking us comlimentary for in house guests.
Over all, it was an experience but next time we will opt for the other Shangri La hotels in the metro.",Food:Comfort & Facilities:Staff
"I've always been a fan of Shangri-La hotels around the globe but was surprised when I opened the pantry drawers and found them empty. What's worse, the glasses were covered in dust!

On a side note- I was used to getting complimentary fruits, water and tea on each visit but this time got nothing.

No housekeeping service provided unlike before.

It would have been nice to get something since it was holiday season especially since I'm a Golden Circle member.

The staff, as always, were very pleasant.",Staff:Food:Comfort & Facilities
"This hotel is situated in a location where you are close to one of the biggest malls in Manila and has a mall within a 3 minute walk from the hotel main entrance. In addition, you can catch a hotel cab to greenhills and you will get there in about 15 minutes. The food is amazing as you can either order from a comprehensive menu or simply get the buffet. I did a litttle of both during my stay due to in the evenings I was more in the mood for an egg breakfast off the menu than crab or some other amazing dish they had at the buffet.

The hotel also has a very nice lounge around both upstairs on the 10th floor I believe where you can relax, have some tea and enjoy some time out of your room if you so choose. The lounge near the front desk is amazing with every drink you can imagine available or purchase and well decorated while overlooking the beautiful pool and grounds they have outside.

I had the opportunity as well as enjoying the SPA while I was there and the service was amazing. Very professional staff and a very rich look and feel to the facilities. I much enjoyed this Spa service over one I recently had in Bangalore India at an upscale hotel there. The cleanliness and facility were impeccable.

The front staff were very knowledgeable and accomodating and I felt were very well versed in dealing with almost any situation. The same goes for the very busy, but well trained staff who are caring for individuals getting hotel cars etc out front. I would suggest booking your car service the day before if possible so you get the time you want - it is extremely busy there at times which lines up pretty much with the entire traffic situation in Manila :).

There is secure keys for this hotel as well, meaning the floor you go to is programmed into your card, no matter what level you are getting off at which is added security I like when I travel alone internationally. In addition, your bags are checked every time prior to going into the hotel, the cars going into the location are checked and all guests and visitors enter the metal detectors. I prefer this level of security, it is needed in Manila. Basically, you can do pretty much anything you need to do while at this hotel - swim in a beautiful pool, go to a wonderful spa, get a reliable car service, enjoy a lounge or wonderful meal and get out for some nice, upscale shopping without much trouble. Most any international traveller would feel this hotel makes the mark in terms of comfort, accomodation and security.",Food:Comfort & Facilities:Staff
"Ideal staycation for the family. Good location in the middle of the metropolis and with easy access to big malls shopping centers. I will recomnend this hotel to friends here and abroad. For us in the family,we are planning to be back soon.",Location
As always the Shangri-la people( employees) completes my stay.. Their warmth and compassion in service that delights me and my family makes me choose nothing but Shangri-la.I am proud that my kids had grown up with Shangri-la. Iwont settle for anything less,Staff
"Suite room with badly stained carpet, broken faucet, and clogged sink and shower drain. They served my kid a sunny side up egg cooked in a burnt pan. They offered a downgraded room when we asked for another room or pay up at least 20k PhP for an upgraded room. They declogged the sink while we are already checked in and with our toiletries (including toothbrush) exposed",Comfort & Facilities:Cleanliness:Value for money
"Stayed at both. Enjoyed this one immensely despite a smaller room but access to shopping centers and the lovely grounds and swimming pool, gym were amazing. Was here on business for 3 weeks and I was happy to spend 2 weeks here. And the horizon club was awesome! Great service!",Comfort & Facilities
going through traffic in the area is terrible. hotel problem with reservation. room service was delayed. you have to call again and again. no freezer in their refrigerator. no bath tub in regular rooms for a high price of a 5 Star. paying for parking is a hassle.,Value for money
"Our whole family spent New Year's Eve and New Year's Day at the hotel to get a break from the hectic New Year preps, and I have to say that the management and staff really went the extra mile to make our stay enjoyable. I was actually dreading it a bit coming from our experience at the same hotel last Mother's Day where we were able to check in at about 5pm already, but this time they planned everything very well. They allocated an extra room near the lobby to handle check-ins, so the lines were surprisingly manageable and our rooms were available on time. In spite being at full capacity, in-room dining orders likewise came on time. They were also very accommodating of requests... after a quick run to Rustan's to get grapes, only to see a sorry lot of old, rotten ones, we asked if they had any grapes to spare and they sent a plate up immediately. I also found it very considerate that they allow people to order food from outside establishments (I saw deliveries in the lobby, you just needed to go down and pick them up). Come breakfast, they opened up 2 additional ballrooms to supplement HEAT, which was why the line was again very manageable. Most importantly though, kudos to the entire management and staff for really excellent service. You wouldn't be able to tell they had to work on New Year instead of being with their families, everyone was friendly, efficient, helpful and all smiles. A special shout out to the staff assigned to the Horizon Lounge (especially manager Hisa), they remained friendly and unfazed even when some guests weren't as polite as I expected everyone to be. Thank you again for everyone in the hotel who gave service above and beyond what I expected! Its precisely the people that make EDSA my favorite Shangri-la property in Manila :)",Staff:Food
"We stayed at the Edsa Shangri-La for 4 nights. We flew in early (from Los Angeles) so we had to purchase an extra night so that we could use the room before check in. This is one of several Shangri-La Hotels in Manila and I don't think it's the best location. Very busy area and we didn't feel all that safe walking around. We had a driver pick us up and take us to tourist locations. The traffic is horrific!!! We stayed in room 1719 with a view of the mall roof. The breakfast (included) was excellent. The king bed was comfortable. There was no tub in the bathroom, very low lighting in the bathroom and no outlet for hair curler.",Comfort & Facilities:Location:Food
"Knowing that pre new year stay here can be chaotic due to the very high occupancy, I requested for 12 noon check in which was perfect thanks to Malen Sebastian who personally made sure it was fast. This time, they had another back up for checking in to make sure it was fast. Room was great as usual, staff were very courteous and alert. The check out was also fast. By way of suggestion, to better control the incoming traffic, have someone in charge, take care of van full of people, give them a space in front so as not to block the traffic, van can take up to 15 minutes blocking up coming cars with only few guests.",Staff
We just found the place where we will be staying whenever we go to Manila. Great hotel. Outstanding service and excellent and very courteous staff. First time staying here but almost instantly fell in love with the place. Thank you!!!,Staff:Food
"Edsa Shangri-La is still my favorite Shangri-La hotel here in the Metro.

The people here is very friendly and always offer a very heart warming vibe. Always ready to assist and offer service with a smile.

The kids enjoyed the pool area, as if we are in a resort.

Always looking forward for our next visit. Thanks for the wonderful experience.",Staff:Food:Comfort & Facilities
"our family of six dine at the lobby new years countdown( which we have been doing for the past several years)from the entrance up to our table was not fascinating, the decor was not as i expected , the music and songs are not festive, christmas songs, it feels like were in an opera house listening to sopranos, and speaking of the food another big disappointment, the starters, salad, soup and even the main course was NOT worth the price, i dont think we will gonna come back again next year.by the way it takes an hour for the main course to reach our table, the servers outfit is more for childrens party, its only 11pm and many guest have left due to the boring performance , i hope before midnight it will improve.",Food:Comfort & Facilities
"It's always the customer sevice that makes the experience worth while. Despite the peak the season, u'll always have someone around to attend to your needs should there be.
Plus, the food in HEAT is always satisfying.",Comfort & Facilities:Food:Value for money
"The beginning of the stay was great. However it turned into a nightmare stay. The bathroom flooded. DND did not mean DND it meant call and wake me up.

When you call the guest center or concierge it can take up to 10 minutes before you are connected with a member of staff.
The lobby was very disorganized and chaotic every time I went down.

I totally regret my stay here and would never stay again.",Comfort & Facilities:Staff
"Positive: Attentive club lounge staff. Filling food during cocktail time at the club lounge. Clean pool with lifeguards. Fast check out. Free valley parking for in house guests. Beautiful decors. Passage way to mall.
Negative: The container if the toiletries will test your patience, so hard to squeeze out thelotion. No bidet. Heat was chaotic on the 26th of December! Takes too long for a request to arrive. Check in as Horizon Club guest was same as a non-Horizon guest. Housekeeping who made up my room did not complete the replenishing of touletries and stuff. We run out if tissue.",Comfort & Facilities:Food:Staff
"I was finally able to get a much needed getaway from the hectic Christmas rush with the family. My wife, daughter and I checked in December 26 for a two night stay. I was able to book through a promotion of BDO credit card which offered the room with buffet breakfast for three for a discounted rate.

The lines for the check in were quite long but that was expected because of the holiday season. The Front Desk staff more than exceeded my expectations with their genuine service despite the long wait. They immediately offered us late check out as a gift. That was a nice touch.

We preferred the Garden Wing rooms even if it was a bit farther. The area is quiet. The room is clean and the bed was very comfortable. My daughter immediately checked the bathroom to check if there was a bath tub, she was so happy to find it there.

My daughter immensely enjoyed the pool area. The pool attendants were very engaging and safety was never an issue since their personnel were very alert. One aspect of the pool that my daughter loved so much was the water slide. She swam three times during our entire stay!

My wife and I enjoyed the facilities of the fitness center. The hot tub was particularly very relaxing. The sauna and the showers were very clean.

We enjoyed the room tremendously because it was so quiet inside. One drawback though, as I also mentioned in a review of Makati Shangrila last year, was the quality of the TV reception. In the age of High Definition TVs, this is one aspect the hotel has to take care of.

For the breakfast buffet, I found it so-so, as compared to Makati Shangrila or even Oakwood Joy-Nostalg. It was not just that good, I was disappointed that they did not offer the laksa in the breakfast buffet, I was looking forward to that.

Overall, it was an excellent stay, but just a bit peeved about the breakfast buffet since it did not live up to expectations. If there is another good deal to be had here, I would definitely book again. Happy travels!",Food:Comfort & Facilities:Value for money
"Crowded, maybe because its holiday season yet they were able to provide an excellent experience for us. I would recommend getting a Horizon Club room so you can enjoy more benefits, you can even have breakfast there which I prefer coz I have kids and I saw the long lines of people for breakfast in HEAT. We spend Noche Buena in HEAT and I'm not very impressed, Cafe Ilang-Ilang of Manila Hotel is way better. Rooms are okay, not so fancy but the staffs are excellent, from reservation to conceirge, housekeeping and club lounge they were all nice, warm, attentive to our needs and accomodating.",Food:Comfort & Facilities
"Pros:
Conveniently located

Cons:
Queue for check-in was a while. I was called to a counter only to be asked to fall in line again. The front desk staff did not appear to be so coordinated.

I used Agoda to book. I usually just present my ID. But the front desk was insisting I present a printed out voucher which I did not have. She stubbornly insisted I needed one. Good thing the manager approached and informed her that I need not present a printed copy, that it's not necessary.

The lobby and elevators were very smelly and reeked of fried fish! A few other visitors noticed the smell as well. It felt and smelled like a market.

Room service for just a GLASS of WINE took 30 minutes!

We found a cockroach milling around in our room and we had to endeavor to kill it.

Tub wasn't as clean with questionable stains and fixtures were rusty.

Dinner was cramped at Heat. Only good thing was our server, Lawrence. The tables are very close to each other you could actually hear the person in the next table chewing. Not a classy restaurant at all.

Breakfast was worse. As usual, cramped cramped cramped. We had to ask the server for a glass of water twice. Disposable table napkins also took a while to be given, I assume they had to rummage for it.

The gym staff was terrible too. I did not get headphones, had to ask my fellow gym goer where she got hers. Apparently they offered it upon registering. An added hassle was that notwithstanding the fact that you're checked-in you still have to register your companion guests with the front desk where the line was so long. This is a first. I've visited other Shang properties, we weren't asked to do the same. Worse was when we dropped by to check out the gym prior to using it, we werent informed of their registration hullabaloos. These procedures unnecessarily hassle the guests instead of making them feel welcome and appreciated.

Edsa Shangrila was an expensive mistake. Should've booked with other nearby hotels for less. Added disappointment and stress.",Staff:Food:Value for money
"The suite was amazing, the facilities were great, the food was gooood and the staff were very accommodating. My toddler didn't want to leave anymore! It was a great choice for our Christmas staycation. Felt like it was worth more than what we paid for. I love Shangrila hotels.",Staff:Comfort & Facilities:Food
"CHECK-IN- I called a few days before my stay and requested a non-smoking room and a humidifier as I was sick during my stay. Upon check-in, neither request was noted so I had to request for them again. Thankfully, Mitch(?) was able to secure all of them and even gave me an upgrade to the Tower Wing. I requested for a king-sized bed and a bathtub and they were swiftly handled by the receptionist. Check-in was fast but it somehow felt all business. I even tried to make small talk and the reply was polite but curt.

ROOM- Spacious, clean, and comfortable. The bed was immaculately clean and the comforter was superb! The pillows were perfect and they even have a pillow menu which is good if you have a specific type of pillow in mind. However, the menu for the In-Room Dining was absolutely hard to find. I hadn't eaten lunch at that time and wanted to order room service but the menu was ""hidden"" in one of the work drawers. I felt like I was doing a scavenger hunt. When my food came, I noticed that there was some ketchup or some sort of stain under the glass of the table. There was also a dirty handprint on the wall near the AC.

BATHROOM- The bathroom and bathtub were squeaky clean and I did not have any second thoughts of taking a long hot bath in it. HOWEVER, much is to be said about the toilet. I expected the toilet to be more hi-tech, or convenient at the very least. The bidet's pressure was difficult to control and there was only one setting. The water temperature (hot and cold) was good.

POOL BAR- We wanted to get a drink at around 10PM but no one assisted us. The girl at the bar was just looking at us and didn't even tell us that they were already closing. The poor guy arranging the chairs was the one to break the bad news to us.

BREAKFAST- We had buffet at HEAT. The food was excellent and there was a wide variety of dishes. But the service...oh, the service! Coffee took 10 minutes to be served. Water took about 5 minutes. Genesis, one of the servers, was fast and attentive, though.

**All in all it was excellent but something was missing. Something that made the stay feel personal and warm. I felt like a paying customer there instead of a welcome guest. The only time I felt the warm Shangri-la service was when I was checking out and the lovely lady who asked about my stay and genuinely smiled. Nothing was terrible, really. I would still stay here again and recommend it.",Comfort & Facilities:Food:Staff
It was a memorable experience and my kids had so much fun especially the pool area. Staff were friendly. Our room was spacious and comfortable. This hotel is perfect especially if you hace kids. I would definitely stay here again in the future.,Comfort & Facilities:Staff
"This is my ""n""th time in this spectacular place, but it's almost like my first! This is probably one of the best hotels, not just in the Philippines but the world. The ambience is superb, the food is always sumptuous!",Food:Location
"Awesome! Excellent customer service, very comnendable. Stay will always be great from the services offered by an establishment. From arrival up to departure. My companion can not believe how swiftly and easy to check-in and check-out! Staff are friendly and accomodating. Would surely love to be back next time at Edsa Shang Plaza!",Staff
We stayed one night at ESDA Shangri-la for a staycation for our 25th wedding anniversary. The rooms were great. The staff were very helpful. Dinner at Summer Palace was superb. The waiters were very attentive. The food was very delicious.,Food:Staff
"I just needed a break for my last business meetings in Manila for the year scheduled one day apart. Instead of going back to Cebu, I decided to book a Horizon Club room in between the meeting days. It was a very rewarding decision, The club offerings had improved tremendously to include the food and wine choices and the panoramic view of the city is superb. I would definitely be back the next time I'll be in the Ortigas area.",Location:Food
"The Hotel's location is a big factor for me. It is beside big shopping malls,bars and even a Church! You must visit the EDSA Shangri-la Health Club every time you are in this hotel. You will have such a great experience specially the Zumba class with Coach Archie, synergy with Coach John and the spinning class with Coach Mitch!",Comfort & Facilities
"Staff are kind and friendly but their service orientation is more on implementing rules such as how many towels & toiletries allowed per customer & make sure nobody takes advantage. Even you called housekeeping to request for additional (I stayed in Horizon floor but honestlyvrhe service is no diff and not worth the money) either they lack attention to details or they give you one item at a time to shove you off. Hotel managers are not empowered to do any type of service recovery. Sad to say, the worst experience I had in all Shangrila hotells and nowhere near the others, perhaps it's more catered to the general mass.",Staff
"This was my 3rd stay at this location, to say the least I am never disappointed. Only thing that I noticed during this stay was the fact that the Happy Hour at the pool bar no longer exists. This is unfortunate due to the price of their drinks. I would return again if headed to Manila. Entire staff goes out of their way to make your stay pleasant and enjoyable. Lastly you feel very safe and secure with their high level of security. Keep up the awesome work!",Staff:Food
Great for family with young kids. Ideal location as it is along the main highway and it is connected to a nice mall. also walking distance to other malls in the area. Very nice facilities esp the pool. Great selection for buffet breakfast. Highly recommended. value for money,Location:Food:Comfort & Facilities
It is not my first visit. Never been disappointed. Service and facilities are high class. Breakfast covers all possible tastes. However it is often crowded and sometimes very loud (depending in the guests behaviour - Not the fault of the Staff).,Food:Staff
"A place to hold convention/ meetings. Excellent dining areas. Located across a Mall and walking dustsnce to other mslls. Near the metro rail transit to take you as far as makati and taft to the south and to cubao, quezon city and caloocan to the north.",Location
"I stayed in EDSA Shangri-La during our annual Philippine College of Surgeons Convention last Dec 4-7, 2016. Very Clean, elegant and full of courteous staff that attends to your needs very fast and accurate.",Staff:Cleanliness
"I came too early before check in time . I neede a place to stay as we were to attend a formal event in the evening. The front desk assisted me to get into a bigger room than my initial reservation, at a minimum upgrade price that allowed me check in immediately. SUch bliss for somebody who took the first available flight to Manila. Because the hotel is so conveniently located next to the malls, i had extra time to shop, dine, had my hair and makeup before the event. The room is comfortable, quiet. I just love staying in t",Staff:Location:Comfort & Facilities
"Stayed here for 1 day only to prepare for an event the next day

Good: 1. Location - in the middle of Metro Manila (Mandaluyong) and also just a 5 minute walk to Shangri-La plaza (mall) 2. Food - HEAT never fails!

Bad: 1. Unkept room - This is the first time I experienced this. Disappointing! After a long day preparing for an event the next day. I decided to take a shower and use the bathtub before snoozing out. After opening the faucet, SURPRISE! Rusty water coming out from the faucet! At first, I thought it was just the light (warm color) but no. I tried 4x before the water ""cleared"" out. This is disappointing Edsa Shangri-La. BTW, please install bidet - even a 3-star hotels/hostel I've checked-in has one.",Comfort & Facilities:Location
I've stayed at this property twice and both times have been great. The interior is beautiful and they have a decent choice of restaurants inside. Although there is SM Mega Mall directly across the street if you fancy something different - and there's a huge selection there! The service is wonderful too. It's nice to have a drink in the lobby and relax. Pool area is nice. Great place to go if you want to getaway from the bustle of the city.,Comfort & Facilities:Food:Location
"We stayed overnight to try the shangrila brand. I was not dismayed. From the checkin counter to the moment you leave the hotel, everyone was so hospitable. They greet you with a warm
Smile and made sure that everything is alright. The room was fantastic too, it was a mix of classic yet modern setup. The breakfast food should have more variety, nonetheless everything was good. Cant wait to come back!",Food:Staff:Location
EDSA Shangri La was opened in 1992 and was the first Shangri La to be opened in Philippine. It is a 5 star resort in the heart of downtown Manila. This was the first time I stayed here. First impression was its huge. I stayed in the Garden Wing on the Club Floor. Despite the property being 24 years old it has little signs of wear and tear. The room was spacious and the bathroom well stocked. The Club was nice and I had a few meeting there. There are several restaurants in the hotel but next to it is a huge shopping mall where you have many other choices. Overall service was good; staff was excellent. The Phillipinos are really up there when it comes to hospitality. Shangri La has over the years been home to the Asia business traveller and you pretty much know what to expect. Standards have not changed much,Comfort & Facilities:Location:Food
"I booked a block of rooms for my wedding as our venue was close to the hotel. I had stayed here years ago for work a few times, but hadn't been back since then. I remembered this hotel being top notch.

GOOD:
- the service is great, and everyone is so courteous and welcoming.
- the rooms are nice, garden wing a bit dated, but everything was clean.

BAD
- the breakfast is overrated. HEAT (the bfast resto) is packed by 8am, a microcosm of Manila traffic on a Friday afternoon. Too crowded to be enjoyable. The food was just ok, and not how I remembered it. Those are not scrambled eggs...

WORST
- I had booked a block of multiple rooms for a one night stay. I called later and changed the block to two nights, and when they resent me the confirmation, the rate quoted for the first night increased by 25%. I also changed the names on the rooms so that our friends and family could check in themselves.

Well when we checked in I asked if we get could the original rates back, as I didn't think it should've changed if we just added a night. They wrote me an email later, after some research, and stated that they had mistakenly booked us with the ""local resident"" rate, and that they could not give me back the original rate, after learning that I was not a local.

Well my wife, from Manila but lives with me in Hong Kong for the past 7 years, had other rooms booked under her name, and she got the local rate. Her uncle, who has lived in Australia for the past 20+ years, also received the lower rate. So basically it was just our white friends that had to pay +25% on all the room fees. This seems not fair, and where I'm from, maybe even discriminatory and illegal.

I expect to be ripped off by the taxi driver for being a non-Filipino, but I expect more from a international 5-star hotel brand. If you want to encourage more locals to stay in your hotel, then I would recommend running promotions in the local papers, or offer discounts for local credit card holders. Or even if you mistakenly offer a local rate to a non-local, you should bare the burden of that mistake, and certainly not offer that excuse as the reason for the rate change. I had already quoted the original prices to my friends who had confirmed the rooms.

I will not be staying in any Shangri-La properties from this point forward. I'm canceling my Golden Circle membership.

The Marco Polo Ortigas is right around the corner, offers cheaper rates, is much newer, has a beautiful bar on the top floor, and has never made it known to me that I was paying a different price than any other person staying in the hotel.",Value for money:Staff
"We loved everything our stay! Service was excellent, facilities were luxurious, and food was divine. Definitely coming back next time we can. We intend to try the spa services soon. We are so excited!",Staff:Food
