Opinion,Classification
"The service is good. ,Location service rooms,The hotel maintains its very high service level",Staff:Location
"Nice Hotel,Nice Hotel,Comfortable and pleasant stay",Staff
"Perfect location close to shopping malls,Love the scent of the lobby! Our room was very clean. Staff are very accomodating,It was over the top as usual. What do you expect?! Its shangrila!",Cleanliness:Location
"Great Hotel,Good location, Friendly Staff and Good Sauna Facilities,We have a very comfortable stay at the hotel. Enjoyed the food and courtesy of the staff.",Staff:Food:Location
"Good,Good,Good",Food:Comfort & Facilities
"ok,great",Food:Location
"Business stay,Staff friendliness, location, familarity",Staff:Location
"nice refurbished room,room, near to mall, pool,the room we stayed is the deluxe refurbished. its a newly renovated room. next to mall. the facilities like spa is a bit old",Comfort & Facilities:Location
"Great stay for greenbelt shopping ,Location, shopping and comfortable rooms,As usual, a great stay with a nice room, good staff and top location for business",Location:Comfort & Facilities:Staff
"One of the best hotel in makati area,Excellent room, best food ang staff,Our stay was the best. Close to shopping areas n restaurants",Food:Location
"Superb stay! ,Best hotel, best food , friendly staff!,This is the best hotel I have stayed in Manila! Everything is to your convenience.",Location:Food:Staff
"Great place in a great location, reliable quality,location, service, quality",Location:Staff
"Perfect,Everything we can think of,We didn't want to leave. Every detail of our experience was thoughtfully planned, trained and executed on all fronts. We needed a special treat away from the grind and we got it. We want more..",Staff:Value for money
"A truly relaxing stay,Good location, big room, friendly staff,It was a comfortable stay, the staff was very accommodating. The room and bathroom is spacious. The hotel lobby is large with nice decoration.",Comfort & Facilities:Staff
"Will be back soon, nice hotel,great rooms, large bathroom, nice swimming pool",Comfort & Facilities:Cleanliness
"Nice hotel in good location,large bathrooms, big room size and friendly staff",Comfort & Facilities:Staff:Cleanliness
"Great hotel in excellent location,Big rooms, large bathroom, friendly staff",Comfort & Facilities:Staff:Location
"very pleasant and up to standards,location, comfort and service,it was just perfect; the room size and toilet are quite big and overall very comfortable",Comfort & Facilities
"Its a great hotel stay,They have a great lounge for business talk and is accommodative",
