Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Jessee A,Jun 2022,5.0 of 5 bubbles,Our Successful Graduation Ceremonies at Waterfront Hotel and Casino Cebu City,"We are just so happy with our recently concluded graduation event at  the Waterfront Hotel. We booked our event with Miss Irish and everything just went on smoothly. She was very accommodating and made sure that she’s on top of everything. The Jimei Hall is a very good spot already even if you’re already tight with your budget, coz the venue is already elegant. The staff and the service crew on the day of our event were also very polite and attentive to our concerns and instructions. The food for our snacks at the venue were also good according to our guests. If you have time, please also try their buffet lunch or dinner at Cafe Uno near the main lobby. You’d be amazed by the visual presentation and the mouth-watering flavors of their dishes. We’ll definitely come back at the Waterfront Hotel for more events. It’s a 10/10 experience. No wonder why my partner has been a client of them for 12 years already.",June 2022,Traveled on business
risabp,Jan 2020,4.0 of 5 bubbles,January Trip to Cebu,"We always book ourselves in this Hotel. Hotel Staff are friendly and are always will to accommodate any requests.  Clean, quiet, relaxing and very near shopping centers.  The only problem with our stay now is that the room (Standard King) lacks lighting and the bathroom's layout is just not right.  Door in the bathroom always hits the watercloset and shower curtain is a too short for the shower. But overall the stay was good and would still book with Waterfront but maybe get a better room.",January 2020,Traveled as a couple
Oliver K,Jan 2020,5.0 of 5 bubbles,Very good accomodation,"I stayed for 5 nights at the Waterfront Hotel during my business trip. The Hotel is very central in Cebu. The room was very nice and quite big for a reasonable price. The breakfast is outstanding and offers everything you can imaging, western breakfast, asian cuisine, etc. All wishes were looked after by the service and they were always very friendly and supportive. Will come back on my next visit.",January 2020,Traveled on business
Annalie H,Jan 2023,3.0 of 5 bubbles,You get what you paid for,"The hotel was A-ok. Breakfast and pool were my family’s primary reason why we stayed there. But, I forgot to consider connectivity aka internet. I needed to work some days, but their internet connections was horrible. I couldn’t even open a website. I complained about it and asked the front desk where I could possibly get good connections , they just responded that they couldn’t do anything since they’re fully booked! If that was the test of me keeping my job, i would have lost it. The only bright side for me is that their breakfast was great! Plus it’s not difficult to get a cab/taxi. Lesson learned: if you needed to work online, go elsewhere. It was last minute that we decided to stay for another two days and moved to Seda Bloc. Try there instead.",December 2022,Traveled with family
Monna M,Mar 2022,3.0 of 5 bubbles,Did not quite meet expectation,"We attended an event that was held at this hotel so we decided to have an overnight stay with my son. Food was good. Unfortunately, their cable was not working and their WIFI is slow that I have just used my mobile data for the entire stay. Their pool was only opened at 11 am and check out is at 12 pm. Good thing only that they allowed us to check in early and check out late as well. However, the pool was disappointing. The small slide is off limits and there were broken tiles in the kids pool, which I unfortunately saw only when my son hurt his feet (there was no notice/warning whatsoever). He cut his feet and it was bleeding. It was a bad experience for him and he even said that he did not like the hotel.",March 2022,NA
jeancoke21,Mar 2021,4.0 of 5 bubbles,great hotel,awesome and very convenient place to stay in... due to pandemic they don’t have buffet so they serve breakfast set at a very low cost and love their American style meal set. Recommended place to stay in the city.,March 2021,NA
charl0ttestuck,Apr 2021,2.0 of 5 bubbles,Not satisfied,Air conditioning was a problem which made us move rooms several times. Placement of curtains in the shower was not well thought of because water would still soak the bathroom floor even if the curtain was properly closed. I would call room service or housekeeping and even operator several times and they wouldnt pick up.,March 2021,NA
TheJernyB,Jan 2020,3.0 of 5 bubbles,New Year's Eve,It's an old hotel and renovations are not yet done. It's the bathroom showerhead I cannot forgive. - The shower head was missing the body spray. You know the supposed proper chrome holes where water gets out of? The only lighting option inside the rooom is dim. - And that's turning on all the switches.,December 2019,NA
Monna M,Mar 2022,3.0 of 5 bubbles,Did not quite meet expectation,"We attended an event that was held at this hotel so we decided to have an overnight stay with my son. Food was good. Unfortunately, their cable was not working and their WIFI is slow that I have just used my mobile data for the entire stay. Their pool was only opened at 11 am and check out is at 12 pm. Good thing only that they allowed us to check in early and check out late as well. However, the pool was disappointing. The small slide is off limits and there were broken tiles in the kids pool, which I unfortunately saw only when my son hurt his feet (there was no notice/warning whatsoever). He cut his feet and it was bleeding. It was a bad experience for him and he even said that he did not like the hotel.",March 2022,NA
jeancoke21,Mar 2021,4.0 of 5 bubbles,great hotel,awesome and very convenient place to stay in... due to pandemic they don’t have buffet so they serve breakfast set at a very low cost and love their American style meal set. Recommended place to stay in the city.,March 2021,NA
