Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Bruno T,Nov 2023,5.0 of 5 bubbles,NICE EXPERIENCE,the place is good for relaxation or recreation and good for people who wants privacy.their service was wonderful. Our waiter was so attentive and accommodating. good for quality time with your love ones.,May 2023,Traveled as a couple
virish30,Oct 2023,2.0 of 5 bubbles,"Read fine print and verify room package inclusions, they charge more when you're not checking",Made a direct reservation for a certain rate but was charged higher during check in. Staff at check in counter said there is extra charge for breakfast buffet despite having clarified with reservation officer that quoted rate is already room with breakfast. These people just wanted to get more from guests who are from abroad.,September 2023,Traveled with family
Gladys Mae E,Oct 2023,3.0 of 5 bubbles,Overnight stay,"Front Desk Associates are very accommodating, helpful and friendly, also the staffs in the Kai Restaurant, wide varieties of food selection and breakfast buffet is perfect. Concierge and FOA were very attentive and very helpful in assisting us during our arrival and departure. Our overnight stay is good however the downside of our stay is their aircon. We spent the whole night without it, to be honest, fan might be useful better than their aircon. We called for assistance but the Houskeeper who went to our room didn't even do anything, he just plainly said that's the situation and he cannot fixed it and just went out the room immediately. We didn't bother to request for a room transfer since it was already late and we are tired already. When we got up in the morning our luggage were so wet because of the leaking from the aircon, literally ice pieces is in our luggage that made our clothes so wet. I suggest that you should check up the status of your appliances regularly to avoid this inconvenience with the guests and probably train your housekeeper to have knowledge in addressing a solution and not just 'Mao ra jud na sir/ma'am', which is a very disappointing response.",October 2023,Traveled with family
Michael John,Sep 2023,5.0 of 5 bubbles,"GREAT VALUE FOR MONEY, IN THE HEART OF CEBU CITY","Great and comfortable and the price is reasonable. The location was great near Capitol, the breakfast buffet was awesome, and every day was a different menu. We stayed for 3 nights and the food was different every day, and the staff was very friendly.  My only concern was the room was not fully soundproof. In the night, you can clearly hear the noise outside especially when you are sleeping. Reasonable price for a place where you will feel special.",June 2023,Traveled with family
NTNtraveler,Apr 2023,5.0 of 5 bubbles,The Lex Hotel for the Win!,"The Lex Hotel is my go to hotel when staying in Cebu. You can't be the service, location, and quaility for the price of the stay. The rooftop pool is awesome too! Your stay is minutes away from everything.",May 2022,Traveled solo
AveinSF,Nov 2022,4.0 of 5 bubbles,Pretty good place to stay.,"This hotel was pretty good. However, i would not pay full price for it though. As their publish rate was over $100 bucks. I got the room thru a free voucher. So i couldn't complain much. Check in was a breeze. Bellman took care of my bags. Welcome drink (its really nothing) also they put me on the 3rd floor. So no view.Room is size is huge. The bathroom was great. Its big and with a nice soak in tub. I definitely used that. Bed was California king size and a comfortable matress. Didn't get a chance to use their rooftop pool. I was gonna have drink up there around 5 but nobody was at the bar.  The wi-fi is pretty good. Even better in the lobby.The breakfast included was good. Alot if different variety. I would stay here again but not not for the full price.",April 2022,Traveled with family
whitepointer,Oct 2022,4.0 of 5 bubbles,Great stay.,"Stayed 3 days and extended a further 5. Great rooms with super beds. Pool is refreshing. Service is great. Breakfast is ok, but they can do more to keep food hot. Rooms are cleaned well and nothing is too much to ask for.",October 2022,Traveled solo
Bruno T,Nov 2023,5.0 of 5 bubbles,NICE EXPERIENCE,the place is good for relaxation or recreation and good for people who wants privacy.their service was wonderful. Our waiter was so attentive and accommodating. good for quality time with your love ones.,May 2023,NA
virish30,Oct 2023,2.0 of 5 bubbles,"Read fine print and verify room package inclusions, they charge more when you're not checking",Made a direct reservation for a certain rate but was charged higher during check in. Staff at check in counter said there is extra charge for breakfast buffet despite having clarified with reservation officer that quoted rate is already room with breakfast. These people just wanted to get more from guests who are from abroad.,September 2023,NA
Gladys Mae E,Oct 2023,3.0 of 5 bubbles,Overnight stay,"Front Desk Associates are very accommodating, helpful and friendly, also the staffs in the Kai Restaurant, wide varieties of food selection and breakfast buffet is perfect. Concierge and FOA were very attentive and very helpful in assisting us during our arrival and departure. Our overnight stay is good however the downside of our stay is their aircon. We spent the whole night without it, to be honest, fan might be useful better than their aircon. We called for assistance but the Houskeeper who went to our room didn't even do anything, he just plainly said that's the situation and he cannot fixed it and just went out the room immediately. We didn't bother to request for a room transfer since it was already late and we are tired already. When we got up in the morning our luggage were so wet because of the leaking from the aircon, literally ice pieces is in our luggage that made our clothes so wet. I suggest that you should check up the status of your appliances regularly to avoid this inconvenience with the guests and probably train your housekeeper to have knowledge in addressing a solution and not just 'Mao ra jud na sir/ma'am', which is a very disappointing response.",October 2023,NA
