Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Tristannnnnnn,Jan 2024,3.0 of 5 bubbles,UPDATE UPGRADE,"some items need upgrading, it has seen better days, plan a yearly budget for this, you can manage this, you are SEDA, I've already sent my reviews, try to study, believe me, you will be the BEST BUSINESS HOTEL when you consider my suggestions",January 2024,Traveled on business
maryjaynechristineu,Jul 2023,5.0 of 5 bubbles,Stay at Seda Cebu,All of the staff are accommodating with smiles on their face. The Food for breakfast is good. The Room and room service are great. will definitely come back for business and personal stay. Will also recommend to my family and friends.,July 2023,Traveled on business
Meander09119691945,Jan 2024,5.0 of 5 bubbles,Seda Jan 2024,it was great staying in Seda Ayala Center Cebu.  We just didn’t like our beds…it was soggy.  We had so much fun…food was good. Location was perfect.  Staffs are friendly and the hotel was clean and very homey.,January 2024,NA
earlaloues,Jan 2024,4.0 of 5 bubbles,Seda Hotel Cebu,"The over all rate for this hotel was excellent! Good Job!From front desk, room attendant, food server, room cleaner we assisted us with the best effort. Thank you so much! We will stay here again. 😊",December 2023,NA
Ayla,Jan 2024,4.0 of 5 bubbles,Great stay,"It was my second time staying at Seda Cebu. The first time was by myself and I had a nice stay then, so I  decided to bring my family this time. We had a Great stay , good breakfast , staff are ver nice and good proximity to Ayala shopping……..",November 2023,NA
delacruz68catalina,Jan 2024,5.0 of 5 bubbles,My Seda Stay Experience!,"It was a very nice,pleasant  wonderful stay. The room are so clean and nice. The people always wear a smile everytime we see them..the food at misto restaurant are great,with different variations depending on your pallete..Thank u Seda, given the chance I would like to go back next time but with my family🤗😊🥰",October 2023,Traveled on business
Tony C,Jan 2024,2.0 of 5 bubbles,Price doesn’t match the quality and service. ,Not worth the price. The price does not match the service and quality.  Moldy ceiling in bathroom with rusted trash can. Water stains everywhere.  Service at the restaurant was sub par with very rude and uncaring staff.  Could barely get a coffee with breakfast and no creamer offered or provided.  No one available to seat us but then rude when we tried to seat ourselves. Sub par selections at breakfast (not even bacon?).  All the bread was either stale or overcooked.  Save your money and go to Quest. Same quality at half the price.,January 2024,Traveled as a couple
MichelleGCanada123,Jan 2024,5.0 of 5 bubbles,Great stay with amazing service!,"Stayed for a week for business, then returned for a couple of days for personal stay. The service was outstanding, the food was great, the room was clean, bed was good, size was average. Nothing to complain about, was a great experience! Right next to the mall with everything you'd ever need.",December 2023,Traveled on business
kristinejoy23,Jan 2024,5.0 of 5 bubbles,Great for International Conferences,"Great for functions and events because the persons in-charge for sales and banquets are very hands on before, during and even after the event to ensure that everything is in order and there are no issues during the period of stay and conference.",October 2023,Traveled on business
Tristannnnnnn,Jan 2024,3.0 of 5 bubbles,UPDATE UPGRADE,"some items need upgrading, it has seen better days, plan a yearly budget for this, you can manage this, you are SEDA, I've already sent my reviews, try to study, believe me, you will be the BEST BUSINESS HOTEL when you consider my suggestions",January 2024,NA
maryjaynechristineu,Jul 2023,5.0 of 5 bubbles,Stay at Seda Cebu,All of the staff are accommodating with smiles on their face. The Food for breakfast is good. The Room and room service are great. will definitely come back for business and personal stay. Will also recommend to my family and friends.,July 2023,NA
Meander09119691945,Jan 2024,5.0 of 5 bubbles,Seda Jan 2024,it was great staying in Seda Ayala Center Cebu.  We just didn’t like our beds…it was soggy.  We had so much fun…food was good. Location was perfect.  Staffs are friendly and the hotel was clean and very homey.,January 2024,NA
earlaloues,Jan 2024,4.0 of 5 bubbles,Seda Hotel Cebu,"The over all rate for this hotel was excellent! Good Job!From front desk, room attendant, food server, room cleaner we assisted us with the best effort. Thank you so much! We will stay here again. 😊",December 2023,NA
Ayla,Jan 2024,4.0 of 5 bubbles,Great stay,"It was my second time staying at Seda Cebu. The first time was by myself and I had a nice stay then, so I  decided to bring my family this time. We had a Great stay , good breakfast , staff are ver nice and good proximity to Ayala shopping……..",November 2023,NA
delacruz68catalina,Jan 2024,5.0 of 5 bubbles,My Seda Stay Experience!,"It was a very nice,pleasant  wonderful stay. The room are so clean and nice. The people always wear a smile everytime we see them..the food at misto restaurant are great,with different variations depending on your pallete..Thank u Seda, given the chance I would like to go back next time but with my family🤗😊🥰",October 2023,NA
