Review Provider,Review ID,Review Content,Review Score,Review Time
Booking.com,825142158,"
 The service is excellent.
 Nothing",10.0,2024-06-29T15:42:45+07:00
Booking.com,825142152,"
 They upgraded us for free, really nice rooms. Buffet dinner and breakfast was great. Very comfortable stay
 ",10.0,2024-06-28T00:18:12+07:00
Booking.com,825142149,"
 Breakfast was great, the staff were very accommodating and friendly.
 Nil",9.0,2024-06-27T06:40:22+07:00
Booking.com,825142156,"
 Staff and food
 No",8.0,2024-06-20T00:54:01+07:00
Booking.com,825142153,"
 My experience with bai hotel was exceptional. The staff were very accommodating and helpful. The breakfast was a superb! I love that they have different varieties of food. Overall, it was a great experience and it made our vacation worthwhile 😍
 Nothing.",10.0,2024-06-18T02:52:01+07:00
Booking.com,825142155,"
 Comfortable and spacious’z  and the food are delicious
 Its just only short comment about how the staff handle with customer in regards to collecting payment while the customer is still eating. Hope it wont happen again",10.0,2024-06-17T04:32:56+07:00
Booking.com,818094065,"
 Clean property, very Hospitable staff and accesible to malls
 ",10.0,2024-06-13T15:15:07+07:00
Booking.com,818094087,"
 Staff were very helpful and friendly. And your facility was definitely safe!  There were activities and a choice of restaurants.  We loved the breakfast buffet! If anything, I think we will be back because of the buffet!

The room was wonderful except for the refrigerator and scale not working. We were definitely comfortable. 

Thank you Bai Hotel for making our first experience with Cebu pleasant! 🫰🏼
 Our refrigerator not working, scale not working either, and then robe was too small for us to use!",7.0,2024-06-13T11:43:58+07:00
Booking.com,818094075,"
 I've stayed at Bai numerous times and it is always perfect. Staff is wonderful and the hotel is super. It is my favorite hotel anywhere. I've stayed in many
 ",10.0,2024-06-13T04:03:47+07:00
Booking.com,818094058,"
 i love this hotel. highly recommend! staff were great and the breakfast buffet was amazing! so many options to choose from! 🤩
 no hand towels, but that’s alright. 🙂",10.0,2024-06-11T00:33:35+07:00
Booking.com,818094074,"
 Location taxi availability
 Room temperature I complained and nothing was done. Too cold feels like a freezer even thought the thermostat is off. I was told the cold air was coming from outside air vent, its still cold and very uncomfortable for me. I ask if I can move I was ignored.",1.0,2024-06-09T00:41:07+07:00
Booking.com,818094066,"
 Very clean fresh and new. Good food
 Nothing much",10.0,2024-06-08T13:52:49+07:00
Booking.com,818094057,"
 Food was yummy and a lot of choices. Clean,  tidy and professional people. Keep it up!
 None",10.0,2024-06-07T18:02:01+07:00
Booking.com,818094090,"
 Nice buffet breakfast.
Near a big shopping mall. 
It is a nice place to stay before or after flight from/to Cebu city.
 ",9.0,2024-06-05T00:04:28+07:00
Booking.com,818094073,"
 Most of the staff is professional and friendly. 
The breakfast buffet is excellent!
The pool bar is really nice and the view is breathtaking. 
We will return in spite of some issues during this stay.
 Double standards for guests going through security. If hats must be removed, then make all guests do it. Otherwise, it seems some guests are scrutinized when others are not.  
I had to report a clogged sink two times because the first time was ignored. 
Maintain high standards and ensure guests are treated equitably.",8.0,2024-06-01T23:36:53+07:00
Booking.com,818094069,"
 Outstanding service every single staff so polite and friendly.
 Close to the airport but a bit distant to main shopping district although Parkmall is nearby. Nevertheless, still a lovely hotel to stay.",8.0,2024-06-01T13:05:29+07:00
Booking.com,818094084,"
 staffs,location, cafe , amenities
 some tv shows are blurry",8.0,2024-06-01T07:30:51+07:00
Booking.com,818094071,"
 The food and the staff
 The tv shows could be better. They had only a few channels that played the same shows.",10.0,2024-05-31T21:51:26+07:00
Booking.com,818094068,"
 Total ambiance
 Far from other establishments",9.0,2024-05-31T01:45:26+07:00
Booking.com,811603434,"
 Nice rooms and hotel in general.
 Most items in the breakfast buffet were cold, though meant to be served hot, eg. bacon and eggs.",9.0,2024-05-28T15:25:36+07:00
Booking.com,811603422,"
 Friendliness of staff, room, and buffet.
 ",10.0,2024-05-28T06:47:40+07:00
Booking.com,811603432,"
 The location is good,staff are so friendly and accomodating
 The bed is so hard and uncomftable",5.0,2024-05-28T04:03:03+07:00
Booking.com,811603437,"
 The place is so nice and elegant.
 The customer service",8.0,2024-05-26T14:49:36+07:00
Booking.com,811603424,"
 Spacious and clean room and bathroom.
Friendly and helpful staff.
Lovely pool and poolside bar.
Incredible breakfast - so much variety and choice!
Easy access to / from airport - about 20 minutes in taxi.
Would stay again if in Cebu City.  
** Thank you so much for the birthday towel cake, balloons and birthday cake for my husband - greatly appreciated!  :)
 ",9.0,2024-05-22T17:04:29+07:00
Booking.com,811603429,"
 The rooms , location n breaky was excellent .
 Shower barrier needs to be a bit closer the wall , so that the floor wouldn't get wet during showwer",10.0,2024-05-21T16:17:15+07:00
Booking.com,811603431,"
 Clean, kind staff and nice location.
 ",10.0,2024-05-20T12:50:25+07:00
Booking.com,811603441,"
 Very nice and protected property.
 Nothing",10.0,2024-05-17T14:26:57+07:00
Booking.com,811603420,"
 Everything about our stay was wonderful, all the facilities,  service,  our room and bed  could not complain at all
 ",10.0,2024-05-17T01:59:04+07:00
Booking.com,805182748,"
 Facilities was topnotch and the service was extremely good
 None",10.0,2024-05-16T09:19:31+07:00
Booking.com,805182752,"
 Overall, the service and safety
 The location, it downgrade the Hotel.
Very durty around it, but still, when you pass inside, it is like a whole other world. And it makes it much better",10.0,2024-05-13T15:48:58+07:00
Booking.com,805182750,"
 It is at a convenient location. The room was spacious. The staff are nice and polite, the receptionist who assisted me was Terrence, he was very helpful.
 ",9.0,2024-05-11T18:51:12+07:00
Booking.com,805182736,"
 The breakfast is awesome  we loved it also the rooftopbar and swimmingpool were good. Rooms are good beds are good
 The security with x-ray everytime you step out of the hotel  but maybe its the area the hotel is based.
The location for us was not that good miles away from city centre or the beach at lapu lapu.",7.0,2024-05-09T15:47:15+07:00
Booking.com,805182737,"
 All, cleanliness, location, staff, and food superb, buffet breakfast  many choices
 The room temp, you can not control",9.0,2024-05-06T17:08:31+07:00
Booking.com,805182759,"
 Personnel and room cleaning is good 
Roof bar and pool food service and personnel are good
 Breakfast is extremely weak and guests feel like they are in camp lined by teachers to obey the rules etc
Pool is not clean",6.0,2024-05-04T14:59:23+07:00
Booking.com,805182735,"
 Clean & friendly staff; comfortable
 Nil",9.0,2024-05-04T12:01:58+07:00
Booking.com,805182751,"
 The room was comfortable with a nice, large bed. We also liked the rooftop pool.
 Breakfast was insane. The hotel is so big that breakfast becomes really crowded and so we couldn't even sit in the main dining room.

The WiFi was unusably slow.

We had dinner in the rooftop bar and waited more than 45 minutes after we ordered our food. One of the dishes was nachos (chips and dip) and could have been prepared in 5 minutes.

We also waited ages for our luggage to be brought to the room.",6.0,2024-05-04T07:05:58+07:00
Booking.com,805182763,"
 I was several times in this hotel. The staff is extremely friendly. If the traffic is not heavy, then it is possible to get to and from the airport
 The electric system in the room is a headache. Only few and hidden power plugs to load devices. Too many switches for the lights. Some switch only works if before another switch had been used.",8.0,2024-05-03T13:44:03+07:00
Booking.com,799228975,"
 Perfect for family. The kids love the playroom while the grown ups go to the gym. The location is very accessible.
 ",10.0,2024-04-30T16:41:05+07:00
Booking.com,799228990,"
 Hotel staff were friendly and tge service was great! The room is spacious and gla great place to stay for few days with family or friends.
 ",10.0,2024-04-30T06:52:22+07:00
Booking.com,799228989,"
 Staff are friendly
 Staff at buffet breakfast did now allow my daughter to enter the resto in pajamas but saw at least 2 other guests in pajamas who were allowed to have breakfast in pajamas",8.0,2024-04-28T23:37:52+07:00
Booking.com,799228978,"
 The staff were absolutely wonderful, and the breakfast was also very nice with many options. It's a beautiful hotel with great amenities and the pool area is also very nice (big thanks to Kyla from the pool bar for her great service!).
 The first room we got was supposed to be non-smoking but smelled like smoke, luckily the hotel managed it very well and immediately changed us to a new room. I was very impressed by how quickly and professionally everything was taken care of.",9.0,2024-04-23T06:16:43+07:00
Booking.com,799228980,"
 The ambiance and the food. Staffs are nice.
 None, everything is fine..",9.0,2024-04-22T14:27:31+07:00
Booking.com,799228994,"
 Rooftop is very nice. Room had good AC. Breakfast was amazing
 ",10.0,2024-04-22T11:37:17+07:00
Booking.com,799228988,"
 The breakfast and the hotel decor was nice & clean, The initial room had a bad odor and we requested a different room. Our request was honored. Also, It  is my understanding that on your initial entry into your room at a three to five star hotel a staff person will escort you to your room along with your luggage and provide a brief introduction to the room pointing out the various amenities and qualities of said room. An opportunity for the hotel to feature their reason why their hotel is worthy of their status. An opportunity to ""BRAG"" about their hotel. This hotel provided none of these qualities of  behavior in this regard.  However after the initial failures , the following stay at this hotel was professional, exemplary, helpful, and all around wonderful. From the cleaning ladies/staff to the front desk, to the entire breakfast crew,  the door men, to security. They were all exceptional. Using a baseball metaphor: ""They knocked it out of the park"".  I would recommend this hotel to all of my acquaintances & friends. However not my enemies. This hotel is much too good for stupidity. Respectfully
 See prior comment",8.0,2024-04-22T06:31:35+07:00
Booking.com,799228986,"
 Everything - ambience, friendly and helpful staff. 
Their buffet for dinner and breakfast is amazing. There were lots of variety and you get every cent’s worth
 Bathroom needs improvement as it does not hold the same “luxury feel” as the main bedroom area",10.0,2024-04-19T05:55:45+07:00
Booking.com,799228992,"
 Ambiance
 ",9.0,2024-04-18T20:40:30+07:00
Booking.com,799228982,"
 So yummy,the foods esp.the tsokolate,I like the lugaw eggs we choose with different spices,want more vegetables…
 Better to have a sweet mango,taste no good.Even though the WIFI is not good in 11th floor ,I still like the courteous staff so I rated my stay okey.",10.0,2024-04-18T05:47:18+07:00
Booking.com,793240556,"
 Bai hotel always have the best buffet breakfast and food in general.  I always have been an avid in house guest with them and I will never dare to find any other hotel that will match the kind of service they have given their patrons. Everybody has been so respectful and courteous and just really friendly, makes a guest like me which is home away from home feeling at HOME!!!.
 None of the above.",10.0,2024-04-16T01:57:15+07:00
Booking.com,793240540,"
 Breakfast was awesome!
 The description on the App did not match what the Hotel offered. I have paid an additional 800 pesos for an ""upgrade"" as offered in the App and after the upgrade, it stated that I will have a ""double room"". When I checked in, the staff explained that the upgrade was for a higher floor and complete facilities. I was thankful to the staff who clarified the issue but I am disappointed in the App for it is misleading. I initially paid an extra because I was expecting to get a better room, a bigger space, not a higher floor with more complete facilities.",9.0,2024-04-14T11:17:36+07:00
Booking.com,793240558,"
 clean, quiet, GREAT breakfast, nice pool, cool
bar
 ",10.0,2024-04-13T06:50:33+07:00
Booking.com,793240538,"
 Buffet breakfast
 ",10.0,2024-04-06T12:52:47+07:00
Booking.com,793240548,"
 location is near the mall
 ",10.0,2024-04-01T14:33:32+07:00
Booking.com,785727960,"
 The room was clean, staff were friendly and accommodating of requests.
 ",10.0,2024-03-28T23:14:28+07:00
Booking.com,785728045,"
 Good size room and very comfortable. Huge double bed that was very comfortable to sleep in. Good bathroom and facilities. Loved the roof top pool and bar area. Breakfast buffet had everything you could desire and constantly being refreshed/cooked to order. Staff were very helpful and friendly. Looked after our luggage on check-out and arranged a taxi to the airport for us.
 Check-in took quite a long time, but everything else was perfect. It's a huge hotel, so lacks any personality, but great for a night before/after your flights.",9.0,2024-03-28T08:38:39+07:00
Booking.com,785728005,"
 Location.
 Rooms need to be updated, some fixtures should be updated like the bathroom area.",8.0,2024-03-25T18:22:27+07:00
Booking.com,785728015,"
 This time I made sure my granddaughters made use of their pool and they enjoyed it for sure.
 ",10.0,2024-03-25T06:55:21+07:00
Booking.com,785727944,"
 Great staff and facilities are clean 
Love to stay in this hotel everytime I visit Cebu 
Food is great 
Accessible to the mall
 Sometimes the cars doesn’t work",9.0,2024-03-21T14:09:14+07:00
Booking.com,785727992,"
 Very new hotel and modern
 Is not in the city centre but good location",10.0,2024-03-20T16:01:48+07:00
Booking.com,785728047,"
 The Bai Hotel was beautiful and the food we had was excellent. We ate twice at the rooftop pool area, once in the evening and once in the afternoon, and both were great experiences, with delicious food in a beautiful environment with an amazing 360 view of Cebu. It is very convenient to have late-night dining options at the hotel. The rooms are well designed with a contemporary and fresh look, and the lobby of the hotel provides an extremely impressive first impression. I stayed at another quality hotel in Cebu previously at about the same price, but the Bai was much nicer and we will stay there again on our next visit.
 The only negative about the Bai is that the location is not central to many shopping and restaurant options within walking distance, but there are plenty of options only a short cab ride away.",10.0,2024-03-20T13:57:47+07:00
Booking.com,785727987,"
 it was all great I travel internationally a lot and by comparison it was outstanding.
 ",10.0,2024-03-18T02:37:44+07:00
Booking.com,785727947,"
 Breakfast , room, hotel , poolbar , Skybar
 non-returnable deposit of the property ... and a service for cleaning things worth 12k bhp",5.0,2024-03-17T11:23:43+07:00
Booking.com,785728030,"
 Buffet and staff
 Restaurant prices",8.0,2024-03-16T01:15:34+07:00
Booking.com,785728003,"
 The accomodation and the hotel staff, excellent experienced 😊
 Nothing",10.0,2024-03-15T19:39:01+07:00
Booking.com,785727977,"
 The friendliest and polite staffs especially FO, HSK and Breakfast buffet. Special shout out to Venus from FO and Andrew from HSK. They always recognize and greet you. I also loved the rooftop bar that has an overlooking view to the city.
 The beds were hard and some dents and rusts in the room. Maybe the corridor can be brighter and welcoming.",9.0,2024-03-15T15:07:08+07:00
Booking.com,785727945,"
 breakfast buffet
 ",8.0,2024-03-15T07:45:39+07:00
Booking.com,785727972,"
 The cleanliness, facilities like the gym and roofdeck lounge and the breakfast buffet.
 None",9.0,2024-03-13T01:37:05+07:00
Booking.com,785727989,"
 Locations suits us, always a comfortable stay and staff are all helpful and friendly.
 We had no issues and found nothing to complain about at all",10.0,2024-03-10T05:52:52+07:00
Booking.com,785727958,"
 Buffet was excellent!
 Everything was great!",10.0,2024-03-09T17:02:17+07:00
Booking.com,785728029,"
 Fantastic stay with great comfort and top hospitality. I felt very well looked after by the staff and had the most welcoming and friendliest check in experience with Nina and Chloe upon arrival. I appreciated all the fuss and the nice chat, and the surprise upgrade to a better room! The bedroom was super clean, comfortable and absolutely quiet, the bed large and lovely, and I had a great night’s sleep here. Breakfast was amazing - absolutely everything available you could possibly dream of eating to start your day with: various cuisines and options ranging from savory to sweet and everything in between. Service by restaurant staff Jevia and Deivey was exemplary. Highly recommended. Thank you!
 ",10.0,2024-03-09T04:02:28+07:00
Booking.com,785728017,"
 The breakfast was execeptional! Great variety, it was the highlight of my stay. Security is big in the hotel. There in a mall across the street, not much around. But i was surprised how beautiful the hotel is for the value i paid.
 ",10.0,2024-03-08T23:14:01+07:00
Booking.com,785728011,"
 nice staff and good location
 Musty smell, the accommodation was old",8.0,2024-03-08T03:16:35+07:00
Booking.com,785728033,"
 The staff here are lovely. I made some amazing friends at the pool bar.
The room was great and the Aircon worked almost too well.
Great breakfast buffet with everything you could possibly want.
 ",10.0,2024-03-05T06:16:04+07:00
Booking.com,785728014,"
 Pool bar and roof deck
 Na",10.0,2024-03-05T02:35:20+07:00
Booking.com,785728043,"
 Breakfast
 Need a renovation of bathroom",8.0,2024-03-04T03:03:28+07:00
Booking.com,785728036,"
 
 I checked into this hotel today and the air conditioning in the room was broken. It was below 20 degrees the whole time. I waited there for 3.5 hours from 3:00 p.m. to 7:00 p.m. and it couldn't be repaired and I couldn't get an equivalent room. I was offered a much smaller room and I wanted the price difference, but was also rejected. I didn't get a refund for the room either and so I checked out of the hotel. I didn't use anything in the room I booked and just waited there. It was zero service. Never again.
Best regards
Doctor from Germany",1.0,2024-03-03T15:33:37+07:00
Booking.com,785727962,"
 The location, the Staff.
 Coffee at Breakfast buffet is cold, not warm at all.",3.0,2024-03-03T02:07:17+07:00
Booking.com,777981627,"
 Exceptional good service. Amazing breakfast.
 -",10.0,2024-02-27T02:35:48+07:00
Booking.com,777981687,"
 cleanliness and very comfortable
 nothing at all",10.0,2024-02-26T11:40:15+07:00
Booking.com,777981641,"
 Great location
Taxi distance to everything
 ",10.0,2024-02-23T00:04:24+07:00
Booking.com,777981701,"
 One of the best hotel in Cebu
 We had a lovely stay. Nothing to dislike",10.0,2024-02-22T14:25:28+07:00
Booking.com,777981695,"
 The hotel was even better than I expected. My room was nice and bed was comfortable. The staff was very friendly and helpful.
 ",10.0,2024-02-21T15:34:16+07:00
Booking.com,777981632,"
 It is clean and the room is spacious. The staffs are so accomodating.  The hotel smells so good; the hotel scent seems like your in a luxury spa.
 There’s no pathway to walk for the guest if we want to get out to the Parkmall and it is not SAFE at all coz outside the hotel is driveway and there’s no lane for the guest to walk. So,  I suggest if you plan to go to the Parkmall at night, better ask the guard where you go and ask the exit coz its confusing and there’s only a narrow side for you to get out from the mall. I took a photo of it and attached it here.",10.0,2024-02-20T17:51:25+07:00
Booking.com,777981716,"
 The place was great, clean. Very bright and staff were welcoming and very accommodating. We enjoyed our stay.
 AC was a bit cold even with a set temperature at 24°C",10.0,2024-02-20T06:37:11+07:00
Booking.com,777981612,"
 Big rooms with very comfortable beds, nice shower - everything was clean. Pool was great - nice view. Staff was helpful, although check in/out took a bit of time.
We enjoyed the drinks and view at the roof top bar and had a good meal at the steak restaurant.
Breakfast was ok - lots of food, but also too many people. Staff did not refill fast enough, so some things we did not try as there was no supply.
Close to Park Mall - easy to walk there for reasonable food and a bit of shopping.
Exchange rate at hotel was ok.
 Prices of drinks were very high compared to Philippines standard. Same with food. There was no bath robe in the room and when I asked for some they never arrived.",8.0,2024-02-19T14:32:12+07:00
Booking.com,777981680,"
 Staffs are friendly and accomodating. Breakfast buffet is superb. The whole place is clean.
 ",8.0,2024-02-19T10:15:00+07:00
Booking.com,777981555,"
 Its cozy and so clean
 The phone cannot be used, no line",10.0,2024-02-18T22:41:26+07:00
Booking.com,777981581,"
 Sophisticated service all around in the hotel
 ",10.0,2024-02-18T13:16:07+07:00
Booking.com,777981617,"
 Nice luxery, great facilities, amazing breakfast and restaurants.
 The shower could be a little closed everything get wet",9.0,2024-02-18T11:49:03+07:00
Booking.com,777981551,"
 The Staff were very friendly and eager to assist in any way possible
From the moment of checking in to checking out the Staff in the Hotel were very friendly and always smiling
 Nothing, Everything was great and I enjoyed my stay.",10.0,2024-02-18T02:06:24+07:00
Booking.com,777981711,"
 New hotel with great facilities and extremely friendly staff. Breakfast with a wide range of options. The room was very spatious and the price is competitive.
 I cannot think of something I did not like - maybe consider that it is not downtown and you may need to take a taxi to go to the city center.",10.0,2024-02-17T04:11:47+07:00
Booking.com,772560582,"
 Very nice hotel, very polite staff
 Food isn’t good",9.0,2024-02-16T14:17:50+07:00
Booking.com,772560531,"
 The attitude of all the staff makes people feel very comfortable.
 The rooms have mold in many places, and even when the air conditioning is turned off, the room remains very cold. The sofas in the restaurant are also very dirty. This time we stayed on the 7th and 12th floors, and at night we could hear the music from the Twilight Roofdeck bar upstairs, which completely disrupted our sleep!",4.0,2024-02-16T09:46:26+07:00
Booking.com,772560663,"
 Breakfast was great I liked how comfortable the beds are. All the staff were very welcoming and respectful, service was great. Every thing looked clean.
 The breakfast could have had better salad options.
Egg station only did omlette, they could have added poached eggs or soft boiled eggs.
Key card issues the card stopped working 9 times in 5 night stay.",8.0,2024-02-14T10:35:00+07:00
Booking.com,772560509,"
 The room was excellent and the breakfast too! The swimming pool area is very stylish and scenic, however noisy from the traffic in the street and the food service takes long.
 ",9.0,2024-02-13T14:39:16+07:00
Booking.com,772560402,"
 The breakfast was great. The location was convenient. It was kid-friendly too. We will definitely come back again.
 Just a little bit inconvenient every time going in and out the vicinity since need to check/ x-ray everything.",9.0,2024-02-13T14:08:29+07:00
Booking.com,772560714,"
 The staff, facilities and food. 
The staff were attentive and thoughtful.
The facilities were clean and the services provided were excellent. (Nurse clinic, pool bar etc).
The food (breakfast buffet) was extremely delicious and varied.
 No washing machine.
For how expensive the stay is, I was expecting a simple laundry room at least, but unfortunately didn’t have this.",10.0,2024-02-12T01:01:01+07:00
Booking.com,772560385,"
 
 Choices of Marmelade and fresh crispy bacon.",9.0,2024-02-09T14:53:32+07:00
Booking.com,772560317,"
 Everything from the location, the receptionist, housekeeping staff(so helpful), and the food,will definitely back again.
 room temp :) :) :)",9.0,2024-02-09T00:40:13+07:00
Booking.com,772560437,"
 Very nice property
 Everything",9.0,2024-02-06T11:11:31+07:00
Booking.com,772560621,"
 The food /room/swimming pool.
 ",10.0,2024-02-06T10:45:00+07:00
Booking.com,772560410,"
 Everything was perfect..KEEP IT UP!!👍👍
 ",10.0,2024-02-06T02:04:24+07:00
Booking.com,772560273,"
 Very Accommodating staff and wonderful ambiance
 ",9.0,2024-02-04T23:07:15+07:00
Booking.com,772560296,"
 Very clean and tidy! Staff are friendly, helpful and accommodating. The food was amazingly delicious!
 It took us more than 30 minutes for check in, the key cards were faulty at times.",10.0,2024-02-04T08:22:02+07:00
Booking.com,772560567,"
 The food and the staff
 We have stayed here many times.  The room this time was dirty and stained on the walls.",9.0,2024-02-04T06:03:36+07:00
Booking.com,772560618,"
 The room, the lobby, the facilities, even the staff were really like in a 5* hotel. The breakfast was very extensive and had something for everyone. western cuisine, waffles, Filipino breakfast, juice, desserts, salad, etc. You are always assigned a seat directly, which I personally really appreciate, the coffee is served at the table. Very attentive staff that makes you feel good about being a guest in this hotel.Actually the best hotel I've ever been in. We used room service once, which is also recommended.The rooftop lounge is also recommended, you have a beautiful view while sipping your cocktails.
 Check out could be until 12 p.m. like in other hotels. We thought 11 a.m. was early, especially if the flight didn't start until the afternoon... but otherwise a top 4 * hotel with the best way to 5 *",10.0,2024-02-03T16:24:00+07:00
Booking.com,772560683,"
 + Comfy bed
+ clean 
+ good Indian vegan breakfast options 
+ very good service
 - the wall behind the TV looked dirty / moldy
- worst food on the pool bar we ever had. The pad Thai was very very very terrible. That’s not food, we couldn’t eat it at all and we were very hungry. Don’t order there. 
- more vegan breakfast options would be good",8.0,2024-02-03T06:32:17+07:00
Booking.com,772560702,"
 The Staff were always Happy to Welcome you
The Housekeeping staff, The Buffet Starr and of course the Reception and Security Staff
 There was a slight smell of dampness in Room 1433",10.0,2024-02-02T06:37:43+07:00
Booking.com,772560423,"
 Staff were extremely friendly and professional. Chloe at reception and Christine at the pool bar we’re lovely and always asked how our trip was going . Facilities are 5 star
 Location requires a taxi to Cebu city but there is always one available",10.0,2024-01-31T08:34:01+07:00
Booking.com,772560596,"
 Staff
 Check in took ages - room was freezing cold and could not be adjusted - getting taxi from rank takes ages",2.0,2024-01-31T06:54:58+07:00
Booking.com,772560337,"
 Very Good!
 everything was good!",10.0,2024-01-30T21:44:08+07:00
Booking.com,772560719,"
 Everything ware fine, breakfast ware really good
 My and my girlfriend get biten of bedbugs.",8.0,2024-01-30T19:18:23+07:00
Booking.com,772560357,"
 Comfortable bed.Good breakfast buffet
 Check in process long.Order time for food in pool area to come in took a while to arrive.",9.0,2024-01-30T04:02:22+07:00
Booking.com,772560671,"
 Amazing breakfast with everything you could want! 
Rooftop swimming pool and sauna was lovely
Rooms were spacious and comfortable 
Amazing shower
 ",10.0,2024-01-30T01:23:48+07:00
Booking.com,772560687,"
 It was clean, everything was well organised and the staff knows what their doing. I had a pleasant stay at the hotel and would definitely come back! My boyfriend and I enjoyed our 1 week at the hotel and the breakfast was awesome. Sadly, we didn’t get to experience the pool due to busy schedules but soon we will come back for it.
 None, I was happy about everything.",10.0,2024-01-27T17:28:33+07:00
Booking.com,772560624,"
 The place was near parkmall, accessible.
 The pillows in our room were flat and the mattress were very firm.",9.0,2024-01-27T02:20:22+07:00
