Review ID,Review Content,Review Score,Review Time
Booking.com,825147115,"
 Everything
 WiFi was slow..",10.0,2024-06-30T15:08:07+07:00
Booking.com,825147104,"
 Cleanliness
 Nothing much",10.0,2024-06-28T03:35:12+07:00
Booking.com,825147111,"
 Great location near malls and restaurant.
 The reception was awful, we have to wait for almost 2 hours to be checked in.granting it was really busy but they should have been prepared as a hotel..",4.0,2024-06-24T13:44:03+07:00
Booking.com,825147112,"
 Staff was really nice & respectful. Most of the facilities are well-maintained considering that it’s already more than 30 yrs. old. Location is walking distance to IT Park, Ayala Mall, etc.
 Traffic is really horrible especially during peak hours & heavy rain. So, time management with whatever you plan for the day is important. Booking.com price is too expensive compared to directly booking in the hotel webpage. We’re trying to negotiate when we’re there, but booking.com wasn’t helping. Thus, the frustration.",9.0,2024-06-24T00:10:12+07:00
Booking.com,825147109,"
 Location
 Facilities are old and partly not working",6.0,2024-06-22T23:46:22+07:00
Booking.com,825147102,"
 Excellent facilities and staff. Good food.
 N/A",10.0,2024-06-20T15:02:10+07:00
Booking.com,825147103,"
 room is comfort and quiet
 coziness",8.0,2024-06-18T07:53:28+07:00
Booking.com,825147107,"
 
 Very spacy and relaxing lobby.",6.0,2024-06-17T00:52:22+07:00
Booking.com,818100117,"
 Convenient to everything, very clean and very responsive and friendly staff.
 Nothing",10.0,2024-06-14T14:41:06+07:00
Booking.com,818100121,"
 I liked lobby area and breakfast
 Pool not so well maintained but still reasonable",9.0,2024-06-10T11:35:17+07:00
Booking.com,818100129,"
 Good location in the middle of the city. Ok as a business hotel. Would stay in again for future visits to Cebu City.
 Check out could've been faster. There was only one person at the check out counter to settle the billing. Otherwise stay at the hotel was ok.",7.0,2024-06-07T11:06:32+07:00
Booking.com,811608893,"
 Breakfast
 ",8.0,2024-05-30T11:51:26+07:00
Booking.com,811608896,"
 The hotel is nice and clean
 When we check in at 3pm the room was not available yet.  
They gave us a room past 6pm already. They said housekeeping were busy probably they have a lot of guest.
We are so tired already and need a room.  They only gave us a complimentary drinks.",4.0,2024-05-29T21:19:57+07:00
Booking.com,811608879,"
 Very nice
 ",9.0,2024-05-26T23:09:43+07:00
Booking.com,811608871,"
 Bed is very comfortable.  Pillows are very soft. Very close to a mall and lots of restaurants in the area.
 I don't like when they deduct my payment  even my booking is pay at the property.",10.0,2024-05-24T21:45:11+07:00
Booking.com,811608894,"
 There was no breakfast.
 breakfast buffet?",9.0,2024-05-20T02:11:28+07:00
Booking.com,811608901,"
 Nothing
 The hotel is not in centre place 
The pettiness was at every detail 
The pool is sad
We wake up at morning without water in the room, we couldn't wash face or use the bathroom 
The hotel is very big and despite it, we had to wait 3 hours for our room till the check in time.
Not recommended!!",1.0,2024-05-19T03:57:01+07:00
Booking.com,805189678,"
 Room was comfortable and breakfast was delicious
 Check-in was a lengthly process. Room was not available until after 4:00PM",8.0,2024-05-15T16:00:11+07:00
Booking.com,805189677,"
 The room was clean and big with all needed to accommodate you
 The place is a bit remote and the internet was poor my card was cancelled needed to pay directly to them",9.0,2024-05-15T01:13:30+07:00
Booking.com,805189654,"
 The friendly and helpful staff
 It took way too long to check in",8.0,2024-05-13T01:57:01+07:00
Booking.com,805189653,"
 Overall is excellent from service to cleanliness,staff are very welcoming, during the event all the staff in the venue are all helpful and accommodating,
 ",10.0,2024-05-10T18:09:59+07:00
Booking.com,805189675,"
 ambiance is okey and the place is accessible
 room air condition is warm",5.0,2024-05-10T06:16:18+07:00
Booking.com,805189673,"
 We like the lobby bar, and the casino was a fun and friendly dealer at black. Please more table for black jack.
 ",10.0,2024-05-10T01:36:15+07:00
Booking.com,805189660,"
 The restaurant had good food for breakfast and dinner. Restaurant staff also served us well.
 I didn’t like the check in process coz it was so delayed, the check in time was 3pm but I was given my key almost 4pm already. I was made to wait for a long time. And the receptionist during that time wasn’t helpful and clear with his communication.

Also we experienced a malfunction of the elevator, people with us panicked and asked for instructions on what we are supposed to do while stuck in the elevator, but the staff did not Manage it well.",5.0,2024-05-06T05:14:18+07:00
Booking.com,805189655,"
 The hotel facilities were exceptional, the room was clean with comfortable beds. The staffs were quite helpful and friendly.
 The check in process could have been faster.",9.0,2024-05-04T15:33:12+07:00
Booking.com,805189670,"
 Clean rooms and staff are very responsive.
 None",10.0,2024-05-02T11:17:59+07:00
Booking.com,805189679,"
 The gym, the sauna!
 The waiting time at the reception for the check in.",9.0,2024-05-02T10:14:11+07:00
Booking.com,799235200,"
 Buffet breakfast and dinner so far so good.
 TV cable channels coz they don't have fox news and sports games too.",9.0,2024-04-30T15:07:05+07:00
Booking.com,799235194,"
 service at the lobby cafe was great, food was above average, location is great
 v slow service at reception during check in due to system down, no Hot water on one of the days, given a room with 2 beds and not queen or king as requested.",6.0,2024-04-29T03:30:43+07:00
Booking.com,799235198,"
 The staffs are accommodating
 Limited snacks and drinks in the mini bar and it's too pricey. Not really worth it.",9.0,2024-04-29T03:23:40+07:00
Booking.com,799235190,"
 the food. breakfast was really good. and of course, the staff. always smiling and greeting.
 small bed. intermittent hot water. limited sockets. limited lighting. slow wifi.",7.0,2024-04-26T06:39:54+07:00
Booking.com,799235193,"
 The staff were great and very helpful. When we forgot our backpack in a taxi the door staff were so helpful in getting it returned. The breakfast was exceptional, so much variety and we were greeted each morning with a smile. Cannot fault the staff here at all. The location is great, couple of minutes walk to all food and shopping outlets. We would definitely book here again.
 Rooms are a little outdated but they are so big and comfortable this wasn't an issue for us.",9.0,2024-04-20T07:16:33+07:00
Booking.com,799235192,"
 The friendliness of the staff, very helpfull.
The breakfast buffet, so many choices.
 Nothing really",9.0,2024-04-17T12:34:54+07:00
Booking.com,793249424,"
 The hotel is well maintained, the food was amazing, and the staff was accommodating. Thank you!
 I can't think of any drawbacks except for the rather slow Internet connection in our room. Other than that, I was satisfied with our stay.",9.0,2024-04-14T23:23:12+07:00
Booking.com,793249422,"
 The breakfast buffet was excellent and we had great service by everyone especially Florencio.
 Nothing really but probably due for some renovations",9.0,2024-04-07T11:32:42+07:00
Booking.com,793249431,"
 The food, the comfortable room
 Nothing",10.0,2024-04-03T15:25:48+07:00
Booking.com,793249427,"
 Large clean room with comfortable bed. Bath/shower were very nice. Gym is excellent compared to other hotel gyms. Breakfast had loads of options and were all tasty. Different restaurants available in the hotel to chose from.
 Nothing",10.0,2024-04-03T12:11:21+07:00
