Review ID,Review Content,Review Score,Review Time
12121217,"Friday dinner at Tradewinds Cafe was a big dissapointment. The shrimp used in the sinigang was not fresh. The baked whole fish was dry. There were flies inside the restaurant. The baked pork loin needed to be marinated well. Unhappy at the quality of the food for the price of 2,000 pesos per person. Worst of all there was no Thai dishes for a purported Thai Hotel. The staff were accomodating and friendly. Kudos to the staff.",3.0,2024-06-09
10691630,Everything was perfect! My family had a great time here in Dusit Thani! Until next time.,5.0,2024-04-25
10518559,"Staying at Dusit Thani Mactan Cebu for a staycation was an absolute delight. The resort's luxurious amenities, impeccable service, and stunning ocean views made for a truly relaxing getaway. From the moment I arrived, I was greeted with warm hospitality and a seamless check-in process. The spacious and elegantly appointed room provided a comfortable retreat, while the resort's facilities, including the infinity pool and spa, offered ample opportunities for relaxation and rejuvenation. The culinary offerings were exceptional, with a variety of dining options showcasing delicious local and international cuisine. Overall, my staycation at Dusit Thani Mactan Cebu exceeded all expectations, and I can't wait to return for another memorable experience.",5.0,2024-04-02
10445336,"The place was clean and relaxing. The staff were all accommodating and hospitable. the view at night is so romantic, perfect for celebrating anniversaries for couples. They prepared a greeting cake for us which we really appreciate.",5.0,2024-03-24
9904601,very happy and satisfied with our stay! will sure book again with klook. thank you!,5.0,2024-01-05
9896008,Relaxing vibe and great facilities. Kids love the pool and the breakfast buffet has lot of choices to choose from.,5.0,2024-01-04
9400700,WE ENJOYED OUR STAY HERE! IF I WILL GO TO CEBU AGAIN DEFINITELY WILL STAY AGAIN HERE THANK YOU SO MUCH DUSIT THANI ESP FOR THE COMPLEMENTARY CAKE 💖,5.0,2023-10-22
9289153,"Good resort but not too big area to stroll, more of a couple staycation i brought with me kids so its kind a inconvenient as some facilities are not available",4.3,2023-10-02
9138617,"I do not have a good experience in Dusit Thani Mactan Cebu. First and foremost, the staff wrote Mr before my name. And they know for sure all Maria in the Phils are females. Besides, i gave my PRC card at the check in counter and for sure Mr Erickson saw me female in flesh. But why, in the big screen I am MR. MARIA PRESA APARIS (pics attached). 2. Mr. Erickson at the check in counter said, the extra bed will be set up later. I said no worries because we will not sleep yet but will take a dip in the pool. Sad to say, we came back to the room after 4 hours and my bed is not fix yet. I still have to call and  follow it up. We are 3 in the room but only given 1 shampoo, 1 lotion, 1 liquid soap, no face towel and only 1 hand towel. Mr Erickson at the front desk said the high tea will be at 4:30-5:30pm at the mezzanine floor. But when we reach Mezzanine at 4:30pm women at the front said it starts 2:30pm-4:30pm. Why is it your crew does not have a consistent answer. When I heard those 2 answers inconsistencies i was like "" so this means i will be eating leafovers"".Worst because the suppose Mezzanine lounge was close and we are transferred to have the high tea at the view lounge.Mr. Paul at the view lounge said that the mezzanine was close because only a few of the residents will have high tea. And what frustrates me is the very long waiting time for the suppose high tea. I said suppose high tea because what was served is not a high tea set up.The suppose unlimited cocktail is also set in the view lounge. And upon check in, Mr Erickson said that in the  unlimited cocktail lots of food will be serve as well that you wont crave for dinner. With this being said, my expectations were so high most especially that I just came from Pearl Farm Resort in Davao and I know Dusit is at par with Pearl and the service there were so great. So sad to say, my expectations perilously drop when after more than 3 hours of waiting our food is not serve.The beach time is set until 5pm and they only have 2 umbrellas with no shades at all to hide under the scorching heat of the sun.Together with me is a senior citizen and sad to say its not elderly friendly area.The pool towels are old yet the incharge does not allow me to bring it to our room. I got angry and said, ""you want me to go up to my room wet and water dripping in the elevator floor? "" He replied, because we still need to wash that one Mam"". what a reason. In Pearl Farm, their towels are new, and very soft. Yet after using I asked, where will I place this? the crew answered, just place it there Mam and we will be the one to get it. I am making this review for them to improve their service. More so to have a good review and encourage more people to come or be back to the place. It is so sad to note that they have a instagrammable view but the service does not reach to our expectation. Credit to Jomar at the view lounge who really did his best to please us. The breakfast though is so good and they sang happy birthday to my uncle. Big thanks.",3.8,2023-09-08
9055241,"Nice to spend vacation.Specially for the family,party or any accassion.",5.0,2023-08-23
8905468,the place us so good. we were able to enjoy all the ammenities and facilities of the resort. the food is great. best experience so far,5.0,2023-07-28
8128653,"accomodating staff.
the room was great.
amazing view.",3.8,2023-03-15
7979906,A but far than the other resorts but the swimming pool is big enough with a spectacular view apart from the washed up ship nearby,4.3,2023-02-13
7787743,Had a sweet stay with the family. Will book again if time permits.,5.0,2023-01-02
7787677,The place was quiet and serene. We enjoyed our stay.,5.0,2023-01-02
7772080,Waiting in reception queues for 40 minutes. Cold buffet breakfast and cold meals in the sunset bar. Thai restaurant is lovely but feels like you are at a completely different hotel. TV did not work in the room. Waited 40 minutes to come to the room before someone came up and laughed and said they were all down in Mactan. Went to another hotel for dinner and the TVs all seemed to work there. Asked for a cake and card for my sisters room on arrival which was confirmed it would be done and was not,2.0,2022-12-30
7683728,"I want to commend the  staff of dusit thani cebu, they deserve to be commended for their excellent customer service especially the tall guy at concierge and the lady there also at concierge. They assisted us and made us chk in early. All the staff are courteous and the place is superb!! Definitely 5 star experience for me , made my first cebu trip memorable!! Highly recommended!!! Ilove cebu and dusit thani!! I paid extra more but worth it compared to other hotels, buffet breakfast was really a lot , as compared to other hotels!! Amazing! Best hotel in cebu!!",5.0,2022-12-11
7595740,"had a great time with the fam. a bit crowded as pandemic protocols eased a little.
beach area needs to be tended",4.5,2022-11-22
7588996,It is far from the city but it is ok because the view is stunning. Staff are not as friendly as I expected. I did not have cash and I had to ask if they accept gcash. Reception said the qr code was being used by another. I had to insist for her to get it. Thumbs up to cleanliness and facilities.,5.0,2022-11-20
7472196,It was a spectacular stay. I won this staycation and I AM SO THANKFUL to the klook family. Thanks to klook for making our Anniversary SPECIAL and unforgettable. It was all worth it.,5.0,2022-10-19
7319103,We had a wonderful stay! Staff are very friendly and always ready to assist us. Room is very nice and clean!,5.0,2022-09-03
7285485,Most recommended resirt to stay. A very nice place,5.0,2022-08-22
7277630,great experience. kind staff. nice place. will recommend to all my friends,5.0,2022-08-19
7096389,great place to relax and watch sunset. the price includes breakfast  buffet.,5.0,2022-06-21
7094577,"It was a great staycation for the family.  The rooms were spacious.  The breakfast buffet was superb!  Glad to have booked the hotel through Klook.  And with the promo code that Klook gave out, it was like booking for 2 rooms for the proce of 1.",5.0,2022-06-20
7078091,Im looking forward to going back to the philippines and will stay again here😊💛,5.0,2022-06-13
7078087,I’m speechless and inlove with everything the hotel has to offer 🥰🧡,5.0,2022-06-13
7066174,Worth it! Decided to stay here for our last day in Cebu (my birthday) and it was the best! 🤍staffs are very friendly and the infinity pool is so pretty!,5.0,2022-06-09
7017755,Everything was perfect! There was just too many people in the resort but we enjoyed our stay and Klook promo is the best!!!,5.0,2022-05-16
6979194,It was a very remarkable experience to stay here. The view was very relaxing.,4.8,2022-04-26
6936920,When we went there the resort was still recovering from typhoon odette but still they manage to make their guests happy with their food and good staffs.,3.8,2022-04-02
6864643,"Overall, nice resort. Big pool, food was not that great though.. limited choices from breakfast buffet to their dinner buffer. The staff were great which did make our stay worthwhile.",4.3,2022-02-17
6828229,"My husband and I spent our 2nd year anniversary in dusit thani cebu. we enjoyed the place and food. all staff are courteous, accommodating and friendly. we will definitely comeback",5.0,2022-01-24
