Review ID,Review Content,Review Score,Review Time
12027204,Overall it was good except for the bellboy who was only looking at us while we unload our luggage when we arrived and left after our stay.,4.0,2024-05-25
10514812,It is like we are abroad. Room is spacious and kids enjoy the pool,5.0,2024-04-02
10110961,"the stay was wonderful. the pool was enjoyable and having a bar pool makes it easier for parents to watch their children while also having a leisure time ☺️ the room was spacious and clean and the staff was friendly and accomodating. their lost and found section is also on top of things. lost our floatie in the pool, however they were able to return it to us the next day. 👏",5.0,2024-02-06
10045741,"if you’re planning to have a fun staycation with your kids and family. This is a great place for you to consideration. The amenities are very good, the room are huge and most of all the employees of the hotel are accommodating, helpful and considerate. They even ask if you need a crib for your baby. Food are delicious and they have 24hrs in room food services. We amazing staycation experience from this hotel.",5.0,2024-01-28
9302003,JPark is an awesome place perfect for a family.👌🏽,5.0,2023-10-04
8763643,At long last we experienced being here. Food is very good. You can choose a lot of varities.,5.0,2023-07-05
7618881,"Enjoyed our stay. 
Staff are very accommodating.  .  .",4.8,2022-11-28
7205227,We had fun especially with their water slides and wave pool. My son also loved the pororo land because he’s a huge fan of Pororo and friends.,3.8,2022-07-29
1711935524,"JPark was an absolutely amazing place to stay and the staff was incredibly friendly, helpful, and over all incredible. The property is great and very family friendly. The multiple pools and huge variety of children’s activities made it a great family vacation. But I really can’t say enough about the staff. The people really made it special for us and always made sure our kids (4 and 6 years old) had a great time. Really above and beyond. As is typical for resorts, the property is an island of luxury amidst the bustle of a city, but it was easy to get around as needed. By far the most family friendly vacation we’ve been on, catering to the kids and parents  alike. ",5.0,2024-04-01
1710017420,"Really nice and relaxing place to spend a few days.
Staff are absolutely first class.",5.0,2024-03-10
1707024458,Amazing…we had a great stay.. great pools and amazing staff ,4.0,2024-02-04
1699971244,The staff was very respectful and always willing to offer assistance in all interactions with our family. ,5.0,2023-11-14
1698863875,Poor connection,5.0,2023-11-02
1698182196,Giggity giggity,5.0,2023-10-25
1697076262,Its ok but the rooms are a little outdated .we stay in 2 bedroom suite the price is not worth the stay.No internet access in our room since it seaside view.The rooms are big and the beds are comfortable.,4.0,2023-10-12
1693271163,"I stayed here on my visit to getting married. My fiancé, whom lives in the Philippines enjoyed the stay as much as I did.",5.0,2023-08-29
1687394787,"The resort staff was amazing.  The rooms were clean but a bit dated.  The restaurants were ok but didn't have a great variety.  The breakfast buffet was great.  The Chinese restaurant was also very good.  The pool, water park and ocean beach area was maintained well and clean.  The beach bar had good drinks.  The casino which is connected but not part of hotel was disappointing and not very welcoming.  The majority of the customers seem to be Korean and it was difficult chatting with other guests. 
The suite was well appointed and had 1.5 baths to help with kids. The only strange thing was the lack of Filipino style toilet facilities, no hose or bucket.  I noticed, as with other hotels, a lack of towels in the room.  It is necessary to call for towels especially if you shower before dinner and in the morning.  The staff was very helpful and delivered towels or ice on request.  
It was a good resort for families. ",4.0,2023-06-22
1686089200,"It’s a very good property for kids and toddlers, it has all kinds of pools and water sports onsite. But the property is very ruin down and need major renovations. Outside of the property is extremely dangerous for pedestrians, people with strollers simply has no place here at all what so ever",3.0,2023-06-07
1685421692," I just arrived at 13:30. I asked to check in and it was very humid and hot, but I could get in after waiting for more than 2 hours. What's more incomprehensible is that even when I went to the front desk at 3 o'clock, the room was not cleaned, staff didn't answer exactly when I could enter the room.. Also, during check-in, There is no excuse for the customer even though the check-in process is delayed. the front desk staff don't focus on the service and they just answer the phone or continue to chat with colleagues around them.. I don't know how many stars it is, but customer service is really terrible.",2.0,2023-05-30
