Review ID,Review Content,Review Score,Review Time
10502412,1st visit to seda hotel and first time to book at klook. instant booking confirmation and hassle free check in. thank you,5.0,2024-03-31
10502404,"no hassle, immediate confirmation and superb klook service. it can even be booked with discount. thank you klook!",5.0,2024-03-31
10445276,booking was very easy through klook and even got discount from codes. check-in at the hotel was a breeze!,5.0,2024-03-24
10290749,"Had so much fun with my family. perfect location, excellent service. We enjoy the food buffet breakfast.",5.0,2024-03-02
10141655,great place and very convenient as its beside the ayala mall and also with shuttle to nustar. place is great,5.0,2024-02-11
10030766,"our go to hotel here in cebu. food is gooodd and lots of selection, rooms are nice, the hotel smells nice! Will definitely go back here. i also love that it is beside ayala center mall",5.0,2024-01-25
9966731,will definitely stay here again when I’m back in Cebu City. staff are very helpful and the whole place is peaceful,4.0,2024-01-15
9458767,"Place is very accessible and just beside the mal so it’s easier to find places to eat and shop. But since this is near the mall, I can hear from my room the karaoke from the bar/restaurant. Rooms are clean and staff are very accommodating. Although room walls are quite thin, I can hear when furnitures were being moved or if someone is cleaning in the other room.",4.3,2023-10-31
9445391,Seda have always been our first choice because of the location and accessibility and I’m glad we did booked our stay at Seda. It was sooo homey and if I’m going back to Cebu for travel and shopping I would definitely go back to Seda and of course use Klook for my bookings and travel.,5.0,2023-10-29
9247728,very nice and clean.Nice place to relax and vacation.,5.0,2023-09-24
8949274,Had an awesome stay at Seda Hotel. It is very convenient to use Klook,4.0,2023-08-05
8782556,Booked this for my mom. They said they liked the Ayala Seda better than IT and Bacolod Sedas.,5.0,2023-07-06
8731179,"Must stay if you are in Cebu city! Worth the penny. They will serve you with swiftness and politeness. Thanks, Seda Ayala Center Cebu.",5.0,2023-06-29
8731175,The hotel is next to the mall. You don't have to worry if you forget something to buy or dine in to. Our rooms are clean and tidy. Worth to pay for! The staff is attentive and helpful. The only downside was that it took us almost an hour before one of our rooms was available. Highly recommended if you are in Cebu!,5.0,2023-06-29
8691426,One of the Best Hotel i've been..we will be back for sure❤️,5.0,2023-06-24
8688108,we have a great stay here in SEDA Ayala Center Cebu and it have an easy access where we can meet our client. We hope to stay here again once we get back in Cebu,5.0,2023-06-24
8686149,The ambiance is good. Kind staff and our room was clean. We also requested massage services and it’s great. Worth to come back next time.,4.8,2023-06-24
8641816,Convenient and very prime location. Will definitely recommend to family and friends. Will book again.,5.0,2023-06-17
8395449,"Great area, excellent service! Will definitely come back!",5.0,2023-05-03
8048840,"Seda hotel will always be my second home. Booking thru Klook is easy as 1 2 3. The check in is very fast even though it’s a weekend. It took me 5minutes to get my keys. No hassle. Very close to Ayala Mall. Very convenient and the breakfast buffet is quite good.  Overall experience, I had a good relaxation staycation alone. I slept well and the best is so comfy. TV functioned well unlike any other hotel.",5.0,2023-02-28
8038141,"We always choose Seda hotels in our travels within PH. We love their rooms, facilities and food.",5.0,2023-02-26
8018568,The location is near the business center. A good place to stay for leisure and business travel.,5.0,2023-02-21
7897237,The location of this hotel is one of the things to consider. It is beside the Ayala mall and lots of restaurants in it. The staff were great and kind. I highly recommend this hotel,4.8,2023-01-27
7857248,Great place to stay. good location its the old Marriott bldg just beside Ayala Cebu Business Park. Friendly staff!,5.0,2023-01-18
7820286,"Nice, well-maintained hotel. Room was clean. Check out was smooth. 

The only downside was we can hear the doors from the other rooms banging all the time as people come and go.

Staff were ok.",4.5,2023-01-09
7814510,everything here is nice but the pillows are stained with red stuff. but overall everything was great,3.3,2023-01-08
7787138,Excellent service! Recommended place for staycation with the city ☝️🇵🇭,5.0,2023-01-02
7626818,Over-all stay was great. Fast wifi/internet connection. Very polite and accomodating staff. I had to change my sched last minute for my airport transfer w/c was attended to accordingly,4.0,2022-11-30
7624984,I love the location of the hotel. It's really near Ayala... the food was great and the staff were so friendly and accommodating.,5.0,2022-11-30
7594272,"i spent my bday here and the staff are really thoughtful for accomodating of our request of king bed. the hotel is walking distance to the mall and theres a park/playground almost at the back of the hotel. the breakfast have a lot of option and taste good  and the very sweet, they able to give me free cake for my birthday. I saved a lot of money and enjoy it with my family in staying in seda hotel.",4.8,2022-11-22
7540862,My room was overlooking a rubble on top of the roof. Not a nice view. I use to stay here when it was Marriot and I can tell that it has gone downhill since it was rebranded into Seda hotel. I got annoyed as I got a courtesy call even though I turned on the DND - I was sleeping. The location is superb as it’s just next to Ayala Mall. Generally okay.,4.0,2022-11-08
7453321,Big lobby. Clean rooms. Friendly front desk and staff. Near the mall and has an access to the mall. Will stay here again when we go back to Cebu.,5.0,2022-10-13
7118789,"No promos were acknowledged from Klook (dining credits/upgrades/early-late checkout). Standard hotel. Not much of a thrill. Coffee and tea are generic which I find cheap. The walls were too thin. I can hear neighbors and other guests. Bad breakfast- Pancake and bacon weren't edible at all, this is my honest review. 

The only thing that's a saving grace of the hotel is its convenience to mall access and location. The rest, it's a normal hotel.",4.0,2022-06-29
7102725,A good place right at the heart of the city. Just a few steps from the mall and restaurants. The front desk staff are very accommodating.,5.0,2022-06-23
7102060,Place is close to the mall. The only drawback is there is a bar that has loud music every night until 11pm. Maybe midnight on weekends which you can hear a little in your room if facing Ayala mall. Otherwise its a nice place to stay. This used to be the Marriott Hotel.,5.0,2022-06-23
7024922,A great place to stay when you're in Cebu city. The staff are so friendly and accommodating. Especially the location because it's really close to ayala mall. can't wait to be back super soon.,5.0,2022-05-21
