Review ID,Review Content,Review Score,Review Time
959427598,"I can recommend this hotel. the staff  was very friendly, they are very helpful, respectful and very accommodating. I can give 5star  for all the staff. Specially Robert and Raffy  from the pool area they are  very helpful. We are happy and satisfied for the service. 😃❤️",5,2024-07-14
959247487,"We didn’t stay at the hotel, but we did eat at their steakhouse. It was a great meal. As always. We’ve eaten here three or four times over the last 4 years. 
Josh, Christian, Geo and Keith have great service.  The soups, salads and steaks were all fantastic!",5,2024-07-12
959106620,"Food is best.. almost all are my fave. Staff (Jenny, Allica) are friendly and super accommodating with requests that I made. Ambience at the cafe is nice and relaxing. Super like the 50% discount at the Cafe Bai, too! More Power to Bai! Where I'm seated is also nice as I am able to observe down below people that come and go and how effient the blue boys and the doormen at the entrance/lobby in the way they serve.",4,2024-07-12
958939901,"I always stay in bai every time I visit Cebu I would say the people are more friendly and accommodating this time, in the check in counter Venus assisted me and all went well check in done with a smile 😊 in the pool deck the server is very friendly and suggesting some drinks, the food was really good.  Overall me and my son had a great time last night after a long day with a delayed super early flight.",5,2024-07-10
958800375,I like how friendly and helpful the staff in Bai Hotel. Everyone is friendly and they always have a smile in their faces. I also like how near the hotel is in the airport. Big thanks to all the staff especially Micheal who assisted us during check-in and Ross and minnie for our smooth and fast check-out. Thanks everyone. Good job to you all.,5,2024-07-09
958672355,"The customer service is excellent, and the staff are friendly and accommodating. The room was very clean and well-organized. The breakfast and lunch buffets offered a huge selection of delicious and healthy options. Highly recommended. I would definitely return.",5,2024-07-09
958663936,The food is so very delicious and the rooms are so comfortable especially the beds. And the air conditioner is so very cold its like being in the north pole. The comfort room is also very clean and tidy. The towels are well arranged and the bath stuff is very nice,5,2024-07-09
958657653,"Best hotel in Cebu. Room is luxury and clean. Pluffiest pillow we got. The pool are amazing with the view if the cities of Cebu.  Very accomodating and friendly staff ( Venus, Rodalyn and Aldrin) . Kuddos to all staff and management. I will surely comeback in this hotel.",5,2024-07-09
958511058,"The banquet staff (team like, cruise, jenalyn, atan, Maricel) are courteous and very responsive to our concerns and needs. Kudos to these guys. Amenities of the seminar venue are good although it would’ve been better if there was a stable wifi connection.",4,2024-07-08
958508063,"A very accomodating and kind staffs! They give us a smile and satisfying experience here in Bai. It is a home away from home! They gives us comfort and joy. Thank you for giving us a memorable experience. This 5 days event will remain in our lives forever because we choose to stay here in Bai Hotel. Kuddos to Karen, Roger & Jonas for assisting us in the food and everything! We will always choose and refer this to our friends.",5,2024-07-08
958496193,"The staff is very humble and helpful, the catering service, and the food varieties are amazing! Especially sir Shean from the fitness center, he has helped me have a great experience at their fitness gym! I like the scenery of our room and the room service has been very satisfactory.",5,2024-07-08
958495096,"The place was nice and calming.  And the atmosphere exudes an air of a fantastical event which is worth to remember whoever your spending with. Overall, it is one of the best experiences I've ever been at a food buffet. I commend the waiters Joy, Cherry, McKay, Michelle and Glen for their dedicated and hospitable service.",5,2024-07-08
958368051,"The food is still and always be very good, 10/10  , and the waiter we had , Josh , is very accommodating and very well good in the service. We'll surely come back again and again. The place is very classy and the ambiance is really good. It is a great place to do fine dining",5,2024-07-07
958321628,"The pastries and drinks that we ordered was very fresh and yummy. The staff and the manager (who has glasses) was very accomodating who really helped us choose what we’ll order since this was the first time that we cisited wallstreet! Great job everyone, this will be a cafe that for sure will come back to!",5,2024-07-06
958274817,"Stayed for 4 nights for a conference. I feel like this is the best hotel I've stayed in Cebu especially for the price. The room is spacious, clean and has all the basic amenities. Food even the plated ones in the conference and packed dinner were good-- tasty and well-presented, some too good to eat. Servings were very generous. Great quality! We always went back to a clean room, fresh towels, and drinking water daily. Service was really great. Everyone was warm, helpful, and attentive. Special mention to the staff who attended to us during our last conference day, Team Ike: Miss Quin,  Miss Leslie, Miss Issa, and Miss Jean. Highly recommended. I hope to stay, dine, and attend more events here.",5,2024-07-06
958254951,"This is late but it is better late than never! I would love to say Thank you Bai Hotel for having us, I and my colleagues are so happy to have visited Bai! We love the food, we enjoyed the night and the Staff we're so accomodating. Thank you Team Ike, and service associates who served us, to Cindy, who were very attentive to our needs. To the rest of the service associates namely Cherry, Sherry, Roxzanne, Blance , Mariel, Joy ,Roger, Jenalyn, Juven, Jenalyn, Kent, Blue and Jules. Salamt po sa inyo! You made our stay with bai awesome! We will be back Cebu, Babalik kami Bai!",5,2024-07-06
958226313,"During our 1-day strat planning Ms Quin, Ms Leslie, Ms Issa and Ms Jean made our day and comfortable. Food and drinks are refilled even without asking. They are always on sight and ready to assist. Not to mention they are on their best smiles for the entire day.",5,2024-07-06
958174287,Great experience of staying here..rooms are excellently done up and very nice and clean. Great breakfast and more than that the in room dining was good menu and excellent service provided by Ms. Luviana Lanrey..for giving us excellent food which was not I. List of menu and the efforts she had taken to serve us to match our taste,5,2024-07-05
958131831,"I had an absolutely wonderful stay. From the moment I arrived, the staff was incredibly friendly and helpful. Thank you Chloe angd Jewel at the front desk! They made the check-in and check-out process a breeze and even surprised us with an upgrade to a suite! The room was fantastic - spacious, clean, and very comfortable.

The breakfast buffet was another highlight. The selection was amazing, with something to please everyone's taste. The food was fresh and delicious.",5,2024-07-05
958090855,Food and service i is excellent  Top of the Philippines Hotel and restaurants services with good service and Staff very accommodating to mention Arjay  It was fun hearing birthday  songs and dance . Food is so delicious in different associates Perfect for dinning and reunions,5,2024-07-05
958032190,So far the best and the staffs are very accompdating. I enjoyed the view and the buffet. Also they are very aware of their responsibilities here and doing their job properly. They also make me feel like home even though I am new to this place. Great job!,5,2024-07-04
957952059,"We had a very nice stay in Bai Hotel. Excellent service from all the personnels we met in the hotel’s premises. The check in went so smooth, food is 10/10.. service is nothing to say about. Special mention to April, Christine and Jason and all of you guys who treated us so well. Cheers to all of you guys! We will be back soon! 😊👍🏼",5,2024-07-04
957950785,"My experience at the Pool Bar was truly delightful. Archie, from the Pool Bar, was incredibly accommodating and kind, ensuring that every aspect of our dining experience was enjoyable. The food exceeded my expectations; in particular, the Pesto dish was so delicious that I couldn't resist ordering it again, just like my previous visit. The atmosphere was cozy and welcoming, making it a perfect spot for a meal with friends or family. I highly recommend the Pool Bar for anyone looking to enjoy top-notch service and fantastic food!""",5,2024-07-04
957891261,"I misplaced my phone in the breakfast buffet area, Ms. Maricel Newman, the manager was super accommodating and professional. She went the extra mile to assist. And was very reassuring making me feel very comfortable. one of of the best service and staff !",5,2024-07-03
957829763,Staff are very attentive and make sure everything is alright. The rooftop bar is very cozy at night and the band is very entertaining and guests are just chilling with their songs! would love to come back and stay with friends! A must try of you're planning to be near the airport,5,2024-07-03
957798552,"Good customer service and very accommodating the crew is always smiling,the facility is clean and refreshing i will recommend it on my friends to stay here if they will go to cebu, and we will surelybe back again soon thank you bai hotel cebu.",5,2024-07-03
957795525,"The rooms were spacious and spotless. Comfy bed and complete amenities. deluxe type of room yet we can request robe and face towel.The breakfast buffet was delicious with a huge variety of options. The room attendant Mira & PAt jordan were attentive, friendly and very accommodating and went out of their way to ensure that we were comfortable. Kudos to bai hotel staff that made our stay memorable.",5,2024-07-03
957659690,"Great service in twilight , food was excellent and delicious and also the drinks very recommended place, Thank you for  Archie from twilight who was assist me he is  very helpful he serve the drinks and food on time, and the view is very nice good to relax.",5,2024-07-02
957642909,"Good service, staff very approachable and friendly. the food is delicious. the beef shank is so tender melt in our mouth. and also I recommend the buttered chicken so yummy. We also like the dimsum and the freshly made crepe with vanilla gelato",4,2024-07-02
957602712,So far so good.the food is great. The staff will always greet you with smile from the guards security staff to the hotel staff and to the cafe bai staffs. Which is different from other hotels that I have been. Here in bai they will always greet you and assists you. I feel so welcomed. Especially Randy and Joy at Cafe Bai.,5,2024-07-01
957435481,"We are very impressed by the hospitality of the entire executive lounge team- lady hanne the manager who helped us in all possible ways, Don,Janray, Martin, Chloe, April and Roda. They really took care of us and attended to all our needs! Kudos! Thank you very much!",5,2024-06-30
957380434,"Twilight roof top lounge. Awesome place with breath taking views, music was fantastic by the acoustic band. The server Archie was super friendly and treated us with courtesy and care. I am a repeat customer and always feel welcomed with the hospitality.",5,2024-06-30
957347835,"Best city hotel ever i ever experienced, food is very delicious, shake and pizza and i would to special metioned the ff. staffs very accomoditang and smiling sir. Meljun, Ms. Kyla, mikee,seigfred,michael,jonel, TL. Ariel, Christine and Jacinto..
This hotel is very reccomended to my family and friends, i will be back soon!!

Thank you..",5,2024-06-30
957328485,"I hate to say but our recent stay was quite disappointing. We have been choosing this hotel for the past five years, consistently booking the same one-bedroom executive suite at approximately $180 per night. At this rate, we expect excellent service. Unfortunately, my fiancé and I were very dissatisfied this time.
Compared to our previous stays, numerous aspects have declined, including the breakfast experience. While I understand the increase in guests, it is disheartening that they no longer serve water or coffee at the table. Instead, we had to walk to the refreshment station for a single glass of water. There were no placemats, and it was challenging to find staff for assistance. Such basic courtesies are typically upheld even by smaller hotels. After that, we avoided the breakfast buffet for the remainder of our stay, opting to order from our room instead, which felt both sad and wasteful.
Also, the lounge's alcohol selection was subpar, much to my fiancé's displeasure, and the food choices were minimal and repetitive.

We stayed for four nights and aimed to salvage the rest of our trip. Fortunately, the food was excellent, especially the Indian cuisine. Kudos to the chef for the authentic taste! The roof deck bar was a highlight, with attentive and entertaining staff, particularly Rica and Jennecil. Maira, Kent, and Aris were also very accommodating to my friends. Despite the overall disappointment, their hospitality made our time enjoyable.
Special thanks to Janry, Marden, and Don from the lounge for ensuring we received the service we needed. Their efforts were the main reason our stay was tolerable. But after this experience, we're not sure if we'll come back. It's sad, given our years of loyalty, but we hope things improve in the future.",3,2024-06-30
957302755,"Thank you so much to BAI Hotel for there very accommodating Managers and Supervisors,a smiling staff and most of all there Yummy delicious foods and we enjoyed the sunrise at the rooftop.
I really enjoyed my 73rd birthday celebration with you,hope the following years we still enjoyed with BAI Hotel.
To all my friends,FB friends,cousins and relatives visit and enjoyed BAI Hotel and taste the delicious foods, the smiling staff,the very Accommodating Managers and Supervisors,Dali adto na mo. Thank you to Mr. Ross, Ms. Ailene and Ms. Maricel. Thank you also to the staff of Executive Club Lounge Lady Han, Don, Janray, Mardin, April, Chloe, Roda, Nixon, Niel, the poolbar staff, cafe BAI unforgettable birthday.",5,2024-06-30
957301438,"The room is clean with complete amenities. Room service and housekeeping attendants (Mira), quick to deliver and respond to requests. Thank you. Would recommend to friends and family. Will definitely come back. Breakfast Buffet is also recommended. The only disappointment we had was the pool. It was dirty. Water contained hair particles .",4,2024-06-29
957301393,"Room was fully equipped with essentials with comfy bed and clean room. Staff was very kind and accommodating. Myra, our room attendant was very helpful. Lobby receptionist was also kind as well as the guards on duty. Very chill and relaxing stay!",5,2024-06-29
957300937,"We stayed and enjoyed our stay at Bai Hotel Cebu. All the staff are very friendly and accommodating, they really exceeded our expectations. The foods are all delicious, we tried the pool bar, twilight and most of all the cafe Bai. Thank you to all the staff who assisted us namely Lady Han, Don Janray, Chloe, April, Roda, Mardin, Cafe bai Maricel and her team, Concierge Team and the front desk. Thank you for making our stay memorable.",5,2024-06-29
957300554,"Amazing service that both Zherd and Billy provided, we had the Pork Empanadas which were extremely delicious that made me come back for 2 more. Coffee is delicious, and my wife was very happy with her cold Vietnamese coffee

Thank you for providing such a good customer service

Juan",5,2024-06-29
957299530,"We recently stayed at the hotel from June 28-29 and had a fantastic experience overall. Cess Tampus was exceptionally accommodating, assisting with our special request for connecting rooms since we had our grandma with us. She ensured our rooms were comfortable, making our stay very pleasant.

However, we encountered a minor issue at the Pool Bar. When we asked for the bill, the waiter mistakenly charged our bank card without letting us check the receipt first. It turned out we paid for another table's order, nearly doubling our amount. Thankfully, they voided the charge after we pointed out the mistake, but it should not have happened in the first place. The staff should ensure the correct bill is presented and confirmed before charging.

Despite this, the overall experience was wonderful. The food was delicious, and we enjoyed a sumptuous dinner and breakfast at Cafe Bai. We look forward to returning in the future.",4,2024-06-29
957217463,"The service of the team was excellent. Kudos to all the people behind the event especially to Team Liel, Jonas, Raffy, Maricel, Roxanne and Justine. All the team are very accommodating and active during the event. A superb highly recommended team. Congratulations once again to the team. Kudos!!!!!!!",5,2024-06-29
957181302,"Very accomodating staff specially Venus, Terrence and Christian (Front Desk Staff) , they help me with my resevation. All the staff are very kind, approachable, friendly and hospitable.

The room are very clean, comfortable bed, you dont need to bring all your belongings, all your needs already in the room. 

Highly reccomended Bai Hotel!",5,2024-06-29
957159314,"It was my second time here at UME Japanese cuisine. Venz my server  welcome me very warmly and I was amaze that he still remember me when it was 3 months ago. He still manage to take care of me for my dining together with his collegue namely Carmy. They both made my lunch perfect. The food also was still yummy and the ambiance are really cool and peaceful. I ordered their Nabe yaki and it was really sumptuous, will definitely go back for the 3rd time here. I also recommend the trainer to the staff of bai hotel. thanks bai hotel.",5,2024-06-29
