Review ID,Review Content,Review Score,Review Time
959246300,"Overall, it wasn't bad. But I want to say this. It would be nice to make a smoking room in the building. Whenever I want to smoke, I feel a little sad that I have to go outside and open it even if it rains. Still, I was very satisfied with the other parts. 😁
",5,2024-07-12
905141915,All of the staff are accommodating with smiles on their face. The Food for breakfast is good. The Room and room service are great. will definitely come back for business and personal stay. Will also recommend to my family and friends. ,5,2023-07-24
957470453,"Clean, accessibility and very good customer service. All staff are friendly and helpful. The area where it is located is perfect.",5,2024-07-01
956926550,"Seda is easily one of the best hotels in Cebu. I will definitely be coming back soon. The food was great, the room was comfortable and clean, and the staff were friendly and helpful.",5,2024-06-27
956619463,"The Seda Cebu staff are exceptional. From the doormen who are attentive even noting my mother's shawl and asking if it was too cold to the Lounge staff who are quick and helpful. 
But the ultimate service was provided by the Misto team under the watch of Jegger who noted my harassed demeanor so took extra care of me while I was working on some writing that lasted from breakfast to 4 pm. 
Angelica was extra sweet and attentive. Jegger assured me I had the space to work out whatever needed to be done. 
Everyone else had a nod or a smile from time to time. 
They really went over and beyond in making me feel good, fed and comfortable.
Thank you from the bottom of my heart. 
Special thanks as well to Stephen and the other Reception staff who indulged my requests for stationery to write on. 
Kudos as well to the GM for such team spirit. 
Will really spread the word. 
I stayed for 6 days.",5,2024-06-25
955074469,"Ok i thought i would write a second review on this hotel, my second visit.
One my first visit i was not happy and i will not go into that here you can scroll back to see that.

What i will say is this hotel in my eyes greatly improved - front of house was much better this time taking the time to make sure i was looked after and had everything i needed.
Extended me the curtsey of a late check out as my flight was a late departure and were very friendly in all interactions.

I stayed in the club lounge again and it was great and well worth the extra

The selling point of this hotel is the location 2 mins and you are in the Ayala mall where all your needs can be catered for.

The pool area is a little small but adequate and the food here was great

I cant fault this hotel and will always stay here if i need a central location IE Not Mactan Island

Well Done Seda

See you soon

PS - Bring back the chocolate fruits i really missed them, or open a shop and sell them i would buy lots :)",5,2024-06-14
954593838,"Great staff at the front desk and entrance. Misto staff are also accommodating. 
Great location. Will surely stay again. ",5,2024-06-10
954574409,"I've been staying at Seda Properties especially at Seda Ayala Center since 2011.  I cannot say enough how much I appreciate the Staff Team Members. They go above and beyond to make our stay comfortable and safe. I've stayed in three of their properties. Seda Ayala Center, Seda IT Bloc, and Seda Lio, Palawan and ALL Staff Team Members were wonderful. However, regarding the properties, Seda Ayala Center desperately needs a renovation. The decor has not been changed since Marriott owned it in 2011 and you can see the dated decors. The Seda IT Bloc, it's new and nice. The decor is up to date and it does not have that musty smell like Seda Ayala. Seda Lio, it's has lovely grounds but the rooms may need to be updated. Overall, I recommend in staying with Seda properties because of their outstanding Staff Team Members. ",5,2024-06-10
954502184,"Even though it is just an overnight stay, we were very happy and in awe with the quality of service that we received. And what makes it more special here is that there’s a back door, a Narnia kind of way to the entrance of Ayala Mall. A very plus plus plus for us. The food is good and all the staff as well. Will truly recommend Seda and we will for sure be back. ",5,2024-06-10
954447136,"Our favorite staycation spot in the city is Seda Ayala Center Cebu. We love the wide variety of food, the amazing views, and how close it is to the shopping mall. We’ll definitely be back again soon. Kudos to their general manager, Ms. Gwen, who is very accommodating and friendly. ❤️🌃🌆",5,2024-06-09
953716441,"Spent two nights at the Seda near the end of our stay in Cebu. Very good location with respect to Ayala Mall. Top notch hotel. All staff were courteous, helpful (at time insistent on helping) and very friendly.",5,2024-06-04
952498765,"Customer Service is impeccable plus the location is accessible.  The Front desk, car service, pool staff, are my favorite.",5,2024-05-26
952448096,"I would rate Seda five star overall the service is awesome,the location is great very convenient. Affordable price and i feel safe because K9 and the security is a great additional feeling of safety.The front desk very accommodating.",5,2024-05-26
951682548,"Everything as it should be, room clean and well stocked, great pool area, good service and safe, would stay here again,",5,2024-05-20
951162388,"value for money, all staff are courteous, clean and very near Ayala Mall.  highly recommended hotel in Cebu",5,2024-05-17
950898677,"If you looking for hotel in cebu city, seda is best! Please improve little things which is water pressure in shower room and too many people waiting in breakfast. ",5,2024-05-14
950851301,"Had a great stay here. The hotel is conveniently located, rooms/facilities are well appointed, and service staff are very friendly and helpful. ",5,2024-05-14
950674440,"It was a business trip but Seda Ayala made me feel that it wasn't. Thanks for the awesome stay, awesome people and awesome experience! ",5,2024-05-13
950388532,"It is convenient to stay near the Ayala mall without having to cross streets, esp. that it is quite hot in the city in May.
Breakfast was sufficient, although the small breakfast area was packed with a large number of guests despite a fast turnover. Poor staff quite stressed out...
Standard room of good size with qualitative pillows and sheets. Bathroom likewise but has a stinky smell coming out of the toilet corner. A pity for the price you pay.
Shower a bit slippery but hot water works. Aircon is also easy to set up. TV less so with a bit of some getting acquainted with the system as it was set to a channel that is not available.
All in all, convenience tops the negative points. Might still stay here depending on the price and whether there is a conference being held there. Might  be better to take a suite.",4,2024-05-11
