Review ID,Review Content,Review Score,Review Time
958750539,"The hotel is old but clean and well-maintained. The food is great and inexpensive, and the pool is clean. The rooms are quiet with thick walls, except for a few partygoers shouting in the hallway. It's recommended for family and business trips.",5,2024-07-09
957299739,"Room was okay, a bit dated, but for the location and price, was all okay. Breakfast was not as good as other days but still fine, since they usually have good breakfast, maybe just that day was mediocre. Check in was smooth at 5pm. Check out was a NIGHTMARE from 11am to 12nn.. Line was stretched all the way near the elevator. I don't know why they only assigned 2 persons our of 4 at the front desk, knowing there was a huge convention, a wedding, and other guests. Check out time is supposed to be busy obviously. Had to call the concierge, sales department and other staff just to let them see how bad it was. And even then it took them 40min before they could fill the 4 out of 4 front desk staff. SO DISAPPOINTED.",2,2024-06-29
956921946,"Room is old.  Only 1 power socket.  Bathroom is very outdated.  Wifi was spotty.

To the positive.  Service was good.  Special requests were filled in a timely manner.  Food was good with many choices.  Lobby was a very nice place to spend time in.  Best feature is it's proximity to the US Consulate.",3,2024-06-27
956278324,"We stayed at the Waterfront hotel in June 24. Very clean rooms , great breakfast buffet,  and lots of choices for lunch and dinner.  We stayed here because the US concalate is located in the same building. The reason for 4 stars is the following,. One king size bed for the 3 of us, wife baby and myself. And there is not a conveant store on site. I had to walk off site the buy, drinks, water, and snacks.",4,2024-06-22
955611986,"Yes Pillows, beddings and towels are bright white and clean which I consider a very important factor in hotel stays.  I also appreciate that room supply of drinking water is not limited.  Housekeeping staff are courteous especially the ladies making up the rooms.  

Breakfast buffet is great, but they never served danggit for our entire  5-day stay.  We expected that.  

The only thing that disappointed us is when my daughter had diarrhea, their clinic charged us PhP20 each for every diatabs tablet.  Emergency medicines like those should be provided free.  And there is no direct line to their clinic.  That is critical for emergency situations/sicknesses.  And calling tru the room telephone line to the operator/reception or housekeeping is so so hard because there’s no dial tone most of the time.  You have to patiently wait for a dial tone. I hope Waterfront address this ASAP.  In emergeny cases, hotel guests are left helpless.",3,2024-06-18
955139977,"I gave this review 3 stars because of the value for the money.. That being said we did have some problems duri ng our 18 night stay..The hotel had no hot water for 4 FULL DAYS..They had a major mechanical issue.....But honestly what upset me more was heading to the pool for a nice cool down at the end of the day,We arrived at the pool at 8:30 p.m. the pool hours are 7am to 9 pm..Only to be told that they were no longer admitting guests..They really didnt give a good reason why...And when I questioned the management they just shruged it off .....THE HOT WATER ISSUE WAS OUT OF YOUR CONTROL..  THE POOL HOURS ARE TOTALLY IN YOUR CONTROL....AND ITS FOR THAT REASON I GAVE YOUR HOTEL 3 STARS...We will be finding a different hotel on our next visit to the Phillipines..",3,2024-06-14
955002588,"Airconditioning can be better. Temp inside the room was not comfortable for me and if you draw the curtains open, it becomes really warm.  They also need to upgrade their shower fixtures.   I loved it that the room was spacious with a king bed for only 3,400 but yeah cool temp is important for me.",3,2024-06-13
954922696,"I wonder how this large property will make it's way back?It's a nice enough place to stay but it has frayed at the edges. No faulting the staff which do their best under the conditions, even the Registration desk which is really understaffed. My most unforgivable item is the poor internet. The impact on this across the whole user population has to have a damaging effect. The hotel offers varied and huge spaces, but they are more representative, I think, of an earlier era that was driven by conventions etc. They are more less diminished from the rise and dominance of the internet... there is something very short-sighted at the upper management/owner level, except that they have a huge amount of property that will probably come to market someday in Cebu... Until then, enjoy your time there, but don't expect to do much online work unless you take up residence in the lobby which seems to have better internet. Pity, I won't be back - there are too many other properties to try in Cebu.",4,2024-06-13
954598125,"Our room had a small rat. We had to call housekeeping at 3 AM to have it removed since it got trapped in the trash bin.

While we did not mind it at all despite the fact that we were with my 2 month old baby with us, what frustrated me was that we did not even receive a single sorry and everyone just pretended that nothinf happened.",1,2024-06-10
952658247,"We were told to go to their downstairs reception for check-in and lined for 2 HOURS with only 2 receptionists, only for the receptionist to tell us that she cannot check us in since we didnt book our room through the 3rd Party. As we decided to book by going directly to the hotel. When we first made our reservation the staff took us back and forth two rooms as he didn't how to deal with the discount offer our school gave us. When he finally sat us down to take the reservation, he kept going back and forth to his superior every question we asked him. Going back to checking in, the receptionist upstairs the line at least took 30-40 minutes. Yet still, the receptionist told us to wait another 30 to 40 minutes as our room was not yet ready. The hotel and staff we're completely unprepared despite knowing that there will at least be a 1000 students having attending grad ball on that day. Many of which, checked in the hotel, having no updated list of who paid and did not. Which led to a singular person taking an hour to check-in. The rooms were outdated, I was not in one of renovated rooms. The air-conditioning was slow despite being set to its highest settings. It has the old rattan furniture. There were barely any outlets and one outlet couldn't even charge a phone. The wifi was also slow or uncooperative.",1,2024-05-27
