Review Provider,Review ID,Review Content,Review Score,Review Time,normalized_score,Hotel,cleaned_content,label
Agoda,831818821,"They have Karaoke Night on Wednesdays and Saturdays at the restaurant by the pool, which is open to all of the guests and nice atmosphere. Hotel staff are friendly. I highly recommend this hotel.
 
 ",10.0,2024-07-16T12:18:00+07:00,1.0,dusit_thani_mactan,karaoke night wednesday saturday restaurant pool open guest nice atmosphere hotel staff friendly highly recommend hotel,1
Agoda,830534395,"the hotel is under renovation, the sunset bar doesnt serve dinner buffet that we avail. i was informed by manager that we are entitled to 1,500 worth of F&B per head then later on changed that it was only 1,000 per head. we were locked out of our room due to deactivated key cards that we have to walk all the way back to the lobby to reactivate it. ive stayed on dusit for 4x already. twice this year. but this time its a bit disappointing, worst part i was with my family this time.
 
 ",7.2,2024-07-13T01:11:00+07:00,0.65,dusit_thani_mactan,hotel renovation sunset bar doesnt serve dinner buffet avail inform manager entitle worth fb per head later change per head lock room due deactivate key card walk way back lobby reactivate ive stay dusit x already twice year time bite disappoint worst part family time,1
Agoda,830120662,"Over all its a great place to stay if you want just to relax and  no shopping.very far away but worth it.my hubby loves it.all staff are very accommodating and friendly.
I'm sure we will be back next year.
 
 ",7.6,2024-07-08T09:02:00+07:00,0.7,dusit_thani_mactan,great place stay want relax shoppingvery far away worth itmy hubby love itall staff accommodate friendly im sure back next year,1
Agoda,830113055,"I need to address several issues with my hotel room. The bathroom has a strange design with no door, there's a foul odor in the hallway, and the toilet sink is clogged. I also need to request a shaving kit. Additionally, the communication between the front desk and the food and beverage staff has been poor. We've experienced excellent customer service at Dusit locations in Thailand and Manila, but unfortunately, Dusit Cebu falls short in comparison. However, I would like to commend Fel for going above and beyond with his service.
 
 ",6.0,2024-07-08T07:54:00+07:00,0.5,dusit_thani_mactan,need address several issue hotel room bathroom strange design door there foul odor hallway toilet sink clog also need request shave kit additionally communication front desk food beverage staff poor weve experience excellent customer service dusit location thailand manila unfortunately dusit cebu fall short comparison however would like commend fel go beyond service,0
Agoda,830016872,"We stayed in Dusit Thani mactan for 3N4D. What a big disappointment for a 5* hotel. The bidet is leaking, the glassdoor in shower has broken glass sealant that cause water to flow all over the floor. The top shower is leaking, the extra blanket is USED! It stinks for real. The sliding cabinet door is broken it does not close completely. 
Our room is in 5th floor sea and pool view, you can see from our room that the pool water is not clean. We try to swim for less than an hour because we felt kinda itchy. 
Prices for room service and consumables it'll break your wallet. 
Every move in there has a price. Nothing is free, except hassle and stress. Never again. 
Belmont hotel is amazing.
 
 ",4.0,2024-07-07T07:31:00+07:00,0.25,dusit_thani_mactan,stay dusit thani mactan nd big disappointment hotel bidet leak glassdoor shower break glass sealant cause water flow floor top shower leak extra blanket use stink real slide cabinet door break close completely room th floor sea pool view see room pool water clean try swim less hour felt kinda itchy price room service consumables itll break wallet every move price nothing free except hassle stress never belmont hotel amaze,0
Agoda,824367210,"Everything is exceptional. The facilities, service and unique features especially the breakfast buffet experience. Easy check-in and check-out. Staff are friendly, nice and courteous. Highly recommended.
 
 ",10.0,2024-06-30T02:32:00+07:00,1.0,dusit_thani_mactan,everything exceptional facility service unique feature especially breakfast buffet experience easy checkin checkout staff friendly nice courteous highly recommend,1
Agoda,823510920,"The Hotel facilities is great. They have good view as well. But the hotel is far from city. We need to wait for cab long time. There is nothing around the Hotel walking distance. If there is an event at Hotel, then there are too crowded. 
 
 ",6.4,2024-06-25T07:16:00+07:00,0.55,dusit_thani_mactan,hotel facility great good view well hotel far city need wait cab long time nothing around hotel walk distance event hotel crowd,1
Agoda,823348111,"The resort had all the correct resort feel and vibes. Staff from arrival to departure and all in between were highly commendable. If you came here for to just chill and relax for a couple of nights then you won’t go wrong.
 
 ",8.4,2024-06-23T09:53:00+07:00,0.8,dusit_thani_mactan,resort correct resort feel vibe staff arrival departure highly commendable come chill relax couple night wont go wrong,1
Agoda,823265631,"I went with my wife and two kids because of their bad management I had to leave one day ahed from my booking.
 
 ",3.6,2024-06-22T09:11:00+07:00,0.2,dusit_thani_mactan,go wife two kid bad management leave one day ahed book,0
Agoda,821798856,"Everything went well during our staycation with my family. Will definitely come back again. Recommended hotel.:) 
 
 ",10.0,2024-06-20T07:07:00+07:00,1.0,dusit_thani_mactan,everything go well staycation family definitely come back recommend hotel,1
Agoda,816656276,"The staff were very accommodating, the ambiance and location of the resort was truly exceptional! I definitely recommend this resort. 
 
 ",10.0,2024-06-15T04:17:00+07:00,1.0,dusit_thani_mactan,staff accommodate ambiance location resort truly exceptional definitely recommend resort,1
Agoda,816259339,"I spent my birthday in this hotel and all the restaurant staff are very accomodating. Thanks for the birthday cake and lively birthday song! 

We booked 4 rooms for my whole  family and we all enjoyed our stay. Rooms are clean and spacious. The breakfast is great, too! 

Staff are very nice, special shout out to Hirochi! 
 
 ",9.2,2024-06-10T05:15:00+07:00,0.8999999999999999,dusit_thani_mactan,spend birthday hotel restaurant staff accomodating thank birthday cake lively birthday song book room whole family enjoy stay room clean spacious breakfast great staff nice special shout hirochi,1
Agoda,816248558,"I was certain I had booked a night’s stay with breakfast included, but when I checked in, it turned out there was no breakfast. Additionally, I expected a room with a bathtub, as shown in the advertisements. They did offer to transfer me to a room with a bathtub, but it was pointless since there was no heater. The advertisements are misleading.
 
 ",7.2,2024-06-10T02:18:00+07:00,0.65,dusit_thani_mactan,certain book night stay breakfast include check turn breakfast additionally expect room bathtub show advertisement offer transfer room bathtub pointless since heater advertisement mislead,1
