Review Provider,Review ID,Review Content,Review Score,Review Time,normalized_score,Hotel,cleaned_content,label
Agoda,830602728,"We stayed with my husband for a couple of days. Staff was nice, lobby was good, but room was outdated. Location for food pick up from outside was not very convinient. Breakfast options were nice. 
 
 ",6.8,2024-07-14T10:47:00+07:00,0.6,waterfront_hotel_and_casino,stay husband couple day staff nice lobby good room outdated location food pick outside convinient breakfast option nice,1
Agoda,830514069,"The air-conditioning in the room is not functioning properly. The setting is at 10 degrees yet it's not that cold.  

We came from our event at around 11pm and when I opened the  door, the foul smell hit us.  It was really late to do anything so we had to bear it 
 
 ",5.6,2024-07-13T08:30:00+07:00,0.44999999999999996,waterfront_hotel_and_casino,airconditioning room function properly set degree yet cold come event around pm open door foul smell hit u really late anything bear,0
Agoda,830331658,"I had bug bites in my groin and legs  inspite of being change per my request . Bites are in clumps about 20bites in an area . Tv needs to be updated and ye room itself . Staff are great inspite of my experience. 
 
 ",6.8,2024-07-10T10:51:00+07:00,0.6,waterfront_hotel_and_casino,bug bite groin leg inspite change per request bite clump bite area tv need update ye room staff great inspite experience,1
Agoda,830123660,"Agods, please refrain from conflicting information with a hotel next time. We waited for 3 to 5 hours before having our rooms since you had a misunderstanding with Waterfront. Thank you.
 
 ",7.6,2024-07-08T09:36:00+07:00,0.7,waterfront_hotel_and_casino,agods please refrain conflict information hotel next time wait hour room since misunderstand waterfront thank,1
Agoda,828591447,"Nice large clean rooms. Lots of choice of restaurants. Walking distance to IT Park. Not far from Ayala Mall.
 
 ",8.4,2024-07-04T08:33:00+07:00,0.8,waterfront_hotel_and_casino,nice large clean room lot choice restaurant walk distance park far ayala mall,1
Agoda,828482733,"It used to be my favourite hotel in Cebu. Now its just old, rundown and crowded. Pool area is third-world.
 
 ",4.4,2024-07-04T06:44:00+07:00,0.30000000000000004,waterfront_hotel_and_casino,use favourite hotel cebu old rundown crowd pool area thirdworld,0
Agoda,827489046,"Friendly and accommodating staffs. Accessible location. I love the breakfast buffet. Overall satisfied and well-recommended.
 
 ",10.0,2024-07-03T07:13:00+07:00,1.0,waterfront_hotel_and_casino,friendly accommodate staff accessible location love breakfast buffet overall satisfy wellrecommended,1
Agoda,827479932,"Check in and check out is a bit long. I had to queue for some time before my turn. If they could find ways to make the waiting time shorter, it would be greatly appreciated.

The room is clean and comfortable. Toiletries are provided.

Food is okay.

Location is near the IT Park where one could do business and find foods and entertainment. 
 
 ",7.2,2024-07-03T06:47:00+07:00,0.65,waterfront_hotel_and_casino,check check bite long queue time turn could find way make wait time shorter would greatly appreciate room clean comfortable toiletry provide food okay location near park one could business find food entertainment,1
Agoda,825721273,"the hotel location is perfect. the staff were friendly. the facilities were great. the cleanliness could be improved but overall it was a great stay
 
 ",9.6,2024-07-01T07:15:00+07:00,0.95,waterfront_hotel_and_casino,hotel location perfect staff friendly facility great cleanliness could improve overall great stay,1
Agoda,825571215,"Hot water was not available during the first night of our stay.  It was inconvenienced for us as we need to boil water to take a shower.  Phone line was also out on the entire 5 days. Other than that, the overall stay was good. The room was quiet and cleaned. Packed breakfast was available as we need to leave hotel at 4:30am for our activities.  
 
 ",8.0,2024-07-01T03:44:00+07:00,0.75,waterfront_hotel_and_casino,hot water available first night stay inconvenience u need boil water take shower phone line also entire day overall stay good room quiet clean pack breakfast available need leave hotel activity,1
Agoda,825490985,"Well maintained hotel for the age, but everything worked, great facilities you would expect, Would recommend.
 
 ",10.0,2024-07-01T01:32:00+07:00,1.0,waterfront_hotel_and_casino,well maintain hotel age everything work great facility would expect would recommend,1
Agoda,824862054,"What happens when a great hotel becomes a shell of itself? It becomes the waterfront. It is a real unfortunate thing. Using a booking agency to book my visit, I had to change my check in date, instead of being helpful, they just accepted me paying a night I wasn't there. No recourse, they hide behind the booking agency. Then they say they charge 1000 a night, but try to go to the bar at the pool with no cash, nope, you can pay for the room, but not for a beer after swimming. Utter stupidity. Then my daughter must have gotten out one of the waters so when I check out, I got charged for that (no worries, but duh, you couldn't have done that out at the pool bar? Lastly, half the swimming pool is roped off because the overhanging structure that was falling down 3 years ago is still falling down. Definitely the eyesore of the whole place. Smelly elevators (one we started calling the ""pee"" vator) and you have to walk to the lower level to pick up grab and of course the escalator is still broken (I think it was broken 3 years ago). It must be expensive to run the waterfront, but they need a tune up to justify the cost of this once amazing hotel.
 
 ",6.0,2024-06-30T12:08:00+07:00,0.5,waterfront_hotel_and_casino,happen great hotel become shell become waterfront real unfortunate thing use book agency book visit change check date instead helpful accept pay night wasnt recourse hide behind book agency say charge night try go bar pool cash nope pay room beer swim utter stupidity daughter must get one water check get charge worry duh couldnt do pool bar lastly half swim pool rope overhang structure fall year ago still fall definitely eyesore whole place smelly elevator one start call pee vator walk lower level pick grab course escalator still break think break year ago must expensive run waterfront need tune justify cost amaze hotel,0
Agoda,823732648,"The room is amazing, the staff are so helpful especially Giu (the one who assist our luggage). The receptionist were so accommodating.
 
 ",10.0,2024-06-28T04:08:00+07:00,1.0,waterfront_hotel_and_casino,room amaze staff helpful especially giu one assist luggage receptionist accommodate,1
Agoda,823680384,"their staff are very hospitable and accommodating  but hotel needs improvement, room is dark during nigh time carpet had a few crumbs left pag pasok namin, only 2 bottles of water given for guests everyday other hotels already offer a water station and 2 bottles for 2 adults is not enough, internet in room is very slow.  yung 1 breakfast namin may 1 foreigner na bastos sa buffet, also kept on sneezing and coughing with mouth open, a lot of people around his table already left, but the manager just gave him tissue and let him sleep there... was expecting na sana sinita or paalisin lalo na may kids, i had my son with me, nsa table kami sa likod, buti nalang paalis na kame... still a good hotel, only needs improvement.. hopefully next year it will be better... 
 
 ",5.2,2024-06-27T10:19:00+07:00,0.4,waterfront_hotel_and_casino,staff hospitable accommodate hotel need improvement room dark nigh time carpet crumb leave pag pasok namin bottle water give guest everyday hotel already offer water station bottle adult enough internet room slow yung breakfast namin may foreigner na bastos sa buffet also keep sneeze cough mouth open lot people around table already leave manager give tissue let sleep expect na sana sinita paalisin lalo na may kid son nsa table kami sa likod buti nalang paalis na kame still good hotel need improvement hopefully next year better,0
Agoda,823302049,"The hotel wants a commission if you bring outside food or drinks into the room. This seems a bit excessive
 
 ",7.6,2024-06-22T07:16:00+07:00,0.7,waterfront_hotel_and_casino,hotel want commission bring outside food drink room seem bite excessive,1
Agoda,823147612,"Our stay was fantastic. The hotel's prime location, top-notch facilities, and impeccable cleanliness made our visit truly memorable. The staff were incredibly helpful and the waterfront view was breathtaking. We particularly enjoyed the pool and the amenities provided. Overall, it was an exceptional experience.
 
 ",10.0,2024-06-21T08:42:00+07:00,1.0,waterfront_hotel_and_casino,stay fantastic hotel prime location topnotch facility impeccable cleanliness make visit truly memorable staff incredibly helpful waterfront view breathtaking particularly enjoy pool amenity provide overall exceptional experience,1
Agoda,819790876,"This hotel has outdated facilities - specifically the toilet. WiFi has very poor coverage inside the rooms. Staff barely attended to our concerns. Better to book other hotels nearby. 
 
 ",4.8,2024-06-18T07:02:00+07:00,0.35,waterfront_hotel_and_casino,hotel outdated facility specifically toilet wifi poor coverage inside room staff barely attend concern better book hotel nearby,0
Agoda,818761457,"The hotel is an older hotel whch is fine the lobby areas are pretty well kept as this is whats on show but behind the scenes it was a different story in the room. Very poorly maintained, old and quite dingy . The armoire that housed the tv was broken, with cracked wood and chipped paint all over. How Housekeeping or Engineering cant see this is beyond me or the hotel does not want to spend the money for repair but a simple paint job would have improved it immensly .. We checked out after 2 days as the water was COLD the entire stay so cold showers were the go and bathroom fixtures were tired and worn. Ordered in the lobby bar what was detailed as Nachos but was just nacho chips and salsa.. Would have been much better to detail as that on the menu to avoid dissapointment . It was around Christmas time we stayed (yes this review is a bit late) and you can see a lot of time and effort was put into the decrations and the large Christmas tree which we must say was excellent and a lot of time, effort & money was put in. ..If half as much effort was put into maintaining the rooms as the public ""SHOW"" areas then the review would be lot better sorry to say.. Also unfortunatley our room was directly overlooking a truck junk yard which in 3 decades of travelling the globe was probably the worst view i have ever had.. While i assume this is out of hotels reach to fix they should at least try and work out something with the owners of the that property to clean it up (maybe a Barter Deal or something similiar ) and at least if you are placed overlooking this shocking view it would have been nice to be  be forewarned or upgraded .. Sorry to say but short of the Xmas decorations beng spectacular the rest of the stay was far from that.  
 
 ",5.2,2024-06-17T08:30:00+07:00,0.4,waterfront_hotel_and_casino,hotel older hotel whch fine lobby area pretty well keep whats show behind scene different story room poorly maintain old quite dingy armoire house tv break crack wood chip paint housekeep engineer cant see beyond hotel want spend money repair simple paint job would improve immensly check day water cold entire stay cold shower go bathroom fixture tire wear order lobby bar detail nacho nacho chip salsa would much better detail menu avoid dissapointment around christmas time stay yes review bite late see lot time effort put decrations large christmas tree must say excellent lot time effort money put half much effort put maintain room public show area review would lot better sorry say also unfortunatley room directly overlook truck junk yard decade travel globe probably worst view ever assume hotel reach fix least try work something owner property clean maybe barter deal something similiar least place overlook shock view would nice forewarn upgrade sorry say short xmas decoration beng spectacular rest stay far,0
Agoda,816530803,"I is a good old hotel very classy all good as hotel and function centres.
But the room are dated dangous  old style shower baths gloss tiles on floors very slippery .Bath old style  no flat base slippery when washing hair,tiles cracked toilet running all the time.
At time of booking required room with shower not shower bath .
 Iwas here 4 year ago  was here 4 ago .
On booking explained to them the troubles last time  shower bath ,slippery tiles ,toilets leaking ,,bad smells in rooms assured things have been iimproved well it still the same.
I have damaged hip and knee and find it impossible to shower in this bath room..
I was party of a wedding party which was at you hotel.
 but as of now I will never come here again there so many newer hotels available that would cater  for my needs who I will choose in the future.
 
 ",6.8,2024-06-13T11:31:00+07:00,0.6,waterfront_hotel_and_casino,good old hotel classy good hotel function centre room date dangous old style shower bath gloss tile floor slippery bath old style flat base slippery wash hairtiles crack toilet run time time book require room shower shower bath iwas year ago ago book explain trouble last time shower bath slippery tile toilet leak bad smell room assure thing iimproved well still damage hip knee find impossible shower bath room party wed party hotel never come many newer hotel available would cater need choose future,1
Agoda,816535661,"We booked Superior room, when  i checked the Toilet there’s no Videt,  i know this is a petty or minor problem in a Hotel, but for me it was big deal
Already, because of “Hygiene” right? Then i called the front desk if we could possibly transfer to other room , infairmess to them ( thanks to Jericho ) he told me can and he gave us a De luxe room with no additonal charge. 
 
 ",9.2,2024-06-13T11:31:00+07:00,0.8999999999999999,waterfront_hotel_and_casino,book superior room check toilet there videt know petty minor problem hotel big deal already hygiene right call front desk could possibly transfer room infairmess thank jericho tell give u de luxe room additonal charge,1
Agoda,816190050,"I love it 10/10  for all  food, room, staff, location .. back cebu this oct and we stay in this hotel again..keep it up❤️❤️❤️ highly recommended
 
 ",10.0,2024-06-09T09:41:00+07:00,1.0,waterfront_hotel_and_casino,love food room staff location back cebu oct stay hotel againkeep highly recommend,1
