Review Provider,Review ID,Review Content,Review Score,Review Time,normalized_score,Hotel,cleaned_content,label
Agoda,831639368,"The hotel's facilities were top notch, from the well maintained amenities to reliable wifi. The staff was friendly and accommodating, and the cleanliness of the property was impressive. The location was convenient? Providing easy access to the airport. Overall, it was a great stay and I highly recommend it.
 
 ",9.6,2024-07-16T09:26:00+07:00,0.95,bai_hotel,hotel facility top notch well maintained amenity reliable wifi staff friendly accommodating cleanliness property impressive location convenient providing easy access airport overall great stay highly recommend,2
Agoda,830646554,"I enjoyed my stay at the Bai Hotel. The prices were reasonable, the room nice and clean, and amenities great.

I recommend a stay here and would do so again if my travels brought me to Cebu.
 
 ",10.0,2024-07-15T12:05:00+07:00,1.0,bai_hotel,enjoyed stay bai hotel price reasonable room nice clean amenity great recommend stay would travel brought cebu,2
Agoda,830862563,"My favorite hotel
 
 ",10.0,2024-07-15T07:56:00+07:00,1.0,bai_hotel,,2
Agoda,830828036,"This hotel was so accommodating. Good staff, great ambiance and rate is 100/10
 
 ",10.0,2024-07-15T04:07:00+07:00,1.0,bai_hotel,hotel accommodating good staff great ambiance rate,2
Agoda,823596890,"Well recommended
 
 ",10.0,2024-07-14T07:00:00+07:00,1.0,bai_hotel,,2
Agoda,830566146,"one of the best places to stay
 
 ",10.0,2024-07-14T03:06:00+07:00,1.0,bai_hotel,,2
Agoda,830432031,"The best buffet
 
 ",10.0,2024-07-12T07:10:00+07:00,1.0,bai_hotel,,2
Agoda,830302571,"Conveniently located clean hotel.
 
 ",8.0,2024-07-10T12:35:00+07:00,0.75,bai_hotel,,2
Agoda,830275638,"The service  customer is excellent ,  very attentive staff,  friendly so far so good. 

 
 ",9.2,2024-07-10T07:11:00+07:00,0.8999999999999999,bai_hotel,service customer excellent attentive staff friendly far good,2
Agoda,830272662,"It was great indeed to stay in bai hotel 
 
 ",10.0,2024-07-10T06:24:00+07:00,1.0,bai_hotel,,2
Agoda,830262606,"excellent! thank you for the free upgrade
 
 ",10.0,2024-07-10T03:21:00+07:00,1.0,bai_hotel,,2
Agoda,830224486,"Excellent
 
 ",10.0,2024-07-09T12:58:00+07:00,1.0,bai_hotel,,2
Agoda,830239453,"Great hotel. But the  process to check in is very slow. I wonder if it is the staff or the system? This is my first time to check in a hotel that will thoroughly check  luggages and belongings through xray, same as  in the airport. There were cops too. Despite these negative comments, I love the room. It’s spacious and very clean.
 
 ",8.0,2024-07-09T05:03:00+07:00,0.75,bai_hotel,great hotel process check slow wonder staff system first time check hotel thoroughly check luggage belonging xray airport cop despite negative comment love room spacious clean,2
Agoda,830138813,"Good service and very clean
 
 ",10.0,2024-07-08T12:27:00+07:00,1.0,bai_hotel,,2
Agoda,830102916,"Ok place to stay
 
 ",8.0,2024-07-08T06:02:00+07:00,0.75,bai_hotel,,2
Agoda,830156817,"This hotel is a walking distance to a mall, and like 10 min uber ride to SM mall and maybe 20-30 min taxi ride depending on traffic from the airport.  Has awesome view of the city from the rooftop resto/pool area which is even better at night time (food prices are reasonable). I love the breakfast buffet which is included in our stay. They have a lot of variety including  my favorite local/filipino breakfast choices, including taho. Among others are continental and other asian ones. Staff are extra friendly and professional.
 
 ",9.6,2024-07-08T05:05:00+07:00,0.95,bai_hotel,hotel walking distance mall like min uber ride sm mall maybe min taxi ride depending traffic airport awesome view city rooftop restopool area even better night time food price reasonable love breakfast buffet included stay lot variety including favorite localfilipino breakfast choice including taho among others continental asian one staff extra friendly professional,2
Agoda,830030386,"Our family had a fantastic stay at this hotel! We had a rental car and they had free parking and it was easy to maneuver. There was also tons of food places nearby
 
 ",10.0,2024-07-07T09:28:00+07:00,1.0,bai_hotel,family fantastic stay hotel rental car free parking easy maneuver also ton food place nearby,2
Agoda,830062908,"Great buffet breakfast, lunch and dinner.  Very courteous and helpful staff. Great for vacationers. Highly recommended.
 
 ",9.2,2024-07-07T03:58:00+07:00,0.8999999999999999,bai_hotel,great buffet breakfast lunch dinner courteous helpful staff great vacationer highly recommended,2
Agoda,829997303,"Nice,clean,staff are very courteous, food is good
 
 ",8.4,2024-07-07T01:48:00+07:00,0.8,bai_hotel,,2
Agoda,829917199,"We would happily book here again. A very enjoyable property with lovely rooms,  rooftop pool / bar and an over-the-top breakfast buffet. 
My only concern was in our bathroom where I didn’t find a ventilation fan so after showering it stays pretty damp and could explain the moldy grout lines between the shower tiles.  It wouldn’t stop me from booking here again as the staff and property as a whole are great value and you get best bang for your buck. 
Favorite staff: hard to choose, everyone is so friendly and helpful.
 
 ",9.6,2024-07-05T09:46:00+07:00,0.95,bai_hotel,would happily book enjoyable property lovely room rooftop pool bar overthetop breakfast buffet concern bathroom didnt find ventilation fan showering stay pretty damp could explain moldy grout line shower tile wouldnt stop booking staff property whole great value get best bang buck favorite staff hard choose everyone friendly helpful,2
Agoda,829819335,"From checking in to Check out! Everything was great!
 
 ",10.0,2024-07-05T06:53:00+07:00,1.0,bai_hotel,,2
Agoda,829911086,"I had an absolutely wonderful stay. From the moment I arrived, the staff was incredibly friendly and helpful. A big shoutout to Chloe at the front desk! She made the check-in process a breeze and even surprised us with an upgrade to a suite! The room was fantastic - spacious, clean, and very comfortable.

The breakfast buffet was another highlight. The selection was amazing, with something to please everyone's taste. The food was fresh and delicious.
 
 ",9.2,2024-07-05T06:12:00+07:00,0.8999999999999999,bai_hotel,absolutely wonderful stay moment arrived staff incredibly friendly helpful big shoutout chloe front desk made checkin process breeze even surprised u upgrade suite room fantastic spacious clean comfortable breakfast buffet another highlight selection amazing something please everyones taste food fresh delicious,2
Agoda,828962194,"I don’t think management treats the employees quite well. I think it’s owned by Chinese, but other than that, it was a good location.
 
 ",8.4,2024-07-04T12:30:00+07:00,0.8,bai_hotel,dont think management treat employee quite well think owned chinese good location,2
Agoda,828855200,"The location was excellent and  the staff were very friendly and helpful.
 
 ",10.0,2024-07-04T11:18:00+07:00,1.0,bai_hotel,location excellent staff friendly helpful,2
Agoda,828318991,"We enjoyed our stay hotel was clean and the breakfast buffet was amazing...
 
 ",10.0,2024-07-04T02:19:00+07:00,1.0,bai_hotel,enjoyed stay hotel clean breakfast buffet amazing,2
Agoda,827437919,"Good place and good food
 
 ",8.8,2024-07-03T04:35:00+07:00,0.8500000000000001,bai_hotel,,2
Agoda,826895044,"Good location from the airport when your business meeting is in the city. Lesser traffic.

Food choices during breakfast are good.

Infinity pool and bar at the roofdeck is one of the best. Great view during sunset!
 
 ",8.0,2024-07-02T12:51:00+07:00,0.75,bai_hotel,good location airport business meeting city lesser traffic food choice breakfast good infinity pool bar roofdeck one best great view sunset,2
Agoda,826727597,"A full blown breakfast compared to none. I’m a Filipino who lives in Au🇦🇺 and I highly recommend Bai Hotel💙 it is a must stay place when you’re in Cebu!
 
 ",8.4,2024-07-02T08:25:00+07:00,0.8,bai_hotel,full blown breakfast compared none im filipino life au highly recommend bai hotel must stay place youre cebu,2
Agoda,827015203,"Highly recommended 
 
 ",8.0,2024-07-02T02:55:00+07:00,0.75,bai_hotel,,2
Agoda,825850790,"Overall recommended. 
 
 ",10.0,2024-07-01T12:08:00+07:00,1.0,bai_hotel,,2
Agoda,826486788,"Everything is superb except i see little crawlies here and there. [Small Cockroaches] just address that and everything would be fine.😊
 
 ",8.8,2024-07-01T11:58:00+07:00,0.8500000000000001,bai_hotel,everything superb except see little crawlies small cockroach address everything would fine,2
Agoda,825769409,"Napakaganda ang mura pa dito ulit ako mag sstay pag balik ng cebu🤗😍
 
 ",10.0,2024-07-01T09:12:00+07:00,1.0,bai_hotel,,2
Agoda,825766853,"One of my favorite hotels anywhere.
Very friendly and responsive staff.
Has become my go-to place to stay in Cebu City.
 
 ",10.0,2024-07-01T08:48:00+07:00,1.0,bai_hotel,one favorite hotel anywhere friendly responsive staff become goto place stay cebu city,2
Agoda,826016948,"I really love bai Hotel's theme of luxury—it is low key but nevertheless premium. The room we stayed in was very cozy. Comfy beds and the area of the room was spacious enough. The toilet was a bit small, though it's not too small it's a deal-breaker. Anyway, the food. The breakfast buffet was really delicious, but their Japanese resto was easily one of the best Japanese dining experience we've had. Their Tonkotsu ramen is a strong contender for the best in Cebu. It is pricey but it was our Japanese dinner that made our stay in bai unforgettable. Definitely recommend.
 
 ",9.6,2024-07-01T04:36:00+07:00,0.95,bai_hotel,really love bai hotel theme luxuryit low key nevertheless premium room stayed cozy comfy bed area room spacious enough toilet bit small though small dealbreaker anyway food breakfast buffet really delicious japanese resto easily one best japanese dining experience weve tonkotsu ramen strong contender best cebu pricey japanese dinner made stay bai unforgettable definitely recommend,2
Agoda,825571102,"Staff were so accomodating and friendly. Can’t wait to go back here!
 
 ",10.0,2024-07-01T03:30:00+07:00,1.0,bai_hotel,staff accomodating friendly cant wait go back,2
Agoda,825490852,"First time staying in and I’m really impressed. The quality of service is top-notched, all the staff I’ve encountered were all polite and attentive. The room exceeded my expectations. The food was very good esp. the breakfast buffet. The pool side has a beautiful view of the city skyline - wasn’t able to swim and visit the roof top deck though. Will definitely come back. 
 
 ",10.0,2024-07-01T01:34:00+07:00,1.0,bai_hotel,first time staying im really impressed quality service topnotched staff ive encountered polite attentive room exceeded expectation food good esp breakfast buffet pool side beautiful view city skyline wasnt able swim visit roof top deck though definitely come back,2
Agoda,824257232,"I booked a room for my family and they enjoyed their 2nights stay,and even extended 1more night !!.Highly recommended!!.Breakfast are full varieties to choose from!!Would book again!..
 
 ",10.0,2024-06-30T12:32:00+07:00,1.0,bai_hotel,booked room family enjoyed night stayand even extended night highly recommendedbreakfast full variety choose fromwould book,2
Agoda,824774539,"Staff is  excellent, love the courtesy.  Sadly the building itself looks like not maintained properly. Its has aged  really fast. 
 
 ",7.6,2024-06-30T10:58:00+07:00,0.7,bai_hotel,staff excellent love courtesy sadly building look like maintained properly aged really fast,1
Agoda,825372545,"Great rate and location, excellent breakfast buffet 
 
 ",10.0,2024-06-30T10:38:00+07:00,1.0,bai_hotel,,2
Agoda,825345329,"Friendly staff , value for money if booking through Agoda.

 
 ",10.0,2024-06-30T09:31:00+07:00,1.0,bai_hotel,friendly staff value money booking agoda,2
Agoda,824623083,"Brilliant hotel.
 
 ",10.0,2024-06-30T08:25:00+07:00,1.0,bai_hotel,,2
Agoda,824559204,"Service, convenience, and affordability...incomparable👌
 
 ",9.6,2024-06-30T07:04:00+07:00,0.95,bai_hotel,,2
Agoda,824400334,"Bai Hotel Cebu pleasantly surprised us with its luxurious decor, great and friendly service as well as a very impressive buffet breakfast for the price. Highly recommended!
 
 ",9.2,2024-06-30T03:12:00+07:00,0.8999999999999999,bai_hotel,bai hotel cebu pleasantly surprised u luxurious decor great friendly service well impressive buffet breakfast price highly recommended,2
Agoda,824323197,"Good 
 
 ",10.0,2024-06-30T01:39:00+07:00,1.0,bai_hotel,,2
Agoda,823954091,"Staff are friendly, and the rooms are clean. But what I love most is their food. Love it! 
 
 ",10.0,2024-06-29T04:32:00+07:00,1.0,bai_hotel,staff friendly room clean love food love,2
Agoda,823798597,"No frills, reliable hotel.
 
 ",8.4,2024-06-29T01:34:00+07:00,0.8,bai_hotel,,2
Agoda,823797349,"It was value for money. The rooms were comfortable and clean, staff were friendly and helpful. The view of the city at night was amazing. 
 
 ",9.6,2024-06-29T01:00:00+07:00,0.95,bai_hotel,value money room comfortable clean staff friendly helpful view city night amazing,2
Agoda,823759823,"Great experience 
 
 ",9.6,2024-06-28T10:49:00+07:00,0.95,bai_hotel,,2
Agoda,823751302,"Perfect to rest for the night.   Bed was super comfortable.  Food was great!
 
 ",10.0,2024-06-28T08:56:00+07:00,1.0,bai_hotel,perfect rest night bed super comfortable food great,2
