Review Provider,Review ID,Review Content,Review Score,Review Time,normalized_score,Hotel,cleaned_content,label
Agoda,831818821,"They have Karaoke Night on Wednesdays and Saturdays at the restaurant by the pool, which is open to all of the guests and nice atmosphere. Hotel staff are friendly. I highly recommend this hotel.
 
 ",10.0,2024-07-16T12:18:00+07:00,1.0,dusit_thani_mactan,karaoke night wednesday saturday restaurant pool open guest nice atmosphere hotel staff friendly highly recommend hotel,2
Agoda,831474199,"The rooms have so bad smell
 
 ",5.2,2024-07-16T07:06:00+07:00,0.4,dusit_thani_mactan,,1
Agoda,830695618,"A perfect place for a getaway. 
 
 ",9.2,2024-07-15T10:48:00+07:00,0.8999999999999999,dusit_thani_mactan,,2
Agoda,830692306,"Great experience from Dusit Thani, Mactan!
 
 ",9.6,2024-07-15T10:08:00+07:00,0.95,dusit_thani_mactan,,2
Agoda,830498590,"it looks good in photos but there is nothing to do there. food selection are worst also
 
 ",2.8,2024-07-13T04:33:00+07:00,0.09999999999999998,dusit_thani_mactan,look good photo nothing food selection worst also,0
Agoda,830534395,"the hotel is under renovation, the sunset bar doesnt serve dinner buffet that we avail. i was informed by manager that we are entitled to 1,500 worth of F&B per head then later on changed that it was only 1,000 per head. we were locked out of our room due to deactivated key cards that we have to walk all the way back to the lobby to reactivate it. ive stayed on dusit for 4x already. twice this year. but this time its a bit disappointing, worst part i was with my family this time.
 
 ",7.2,2024-07-13T01:11:00+07:00,0.65,dusit_thani_mactan,hotel renovation sunset bar doesnt serve dinner buffet avail informed manager entitled worth fb per head later changed per head locked room due deactivated key card walk way back lobby reactivate ive stayed dusit x already twice year time bit disappointing worst part family time,1
Agoda,830370424,"Excellent
 
 ",10.0,2024-07-11T10:48:00+07:00,1.0,dusit_thani_mactan,,2
Agoda,830120662,"Over all its a great place to stay if you want just to relax and  no shopping.very far away but worth it.my hubby loves it.all staff are very accommodating and friendly.
I'm sure we will be back next year.
 
 ",7.6,2024-07-08T09:02:00+07:00,0.7,dusit_thani_mactan,great place stay want relax shoppingvery far away worth itmy hubby love itall staff accommodating friendly im sure back next year,1
Agoda,830113055,"I need to address several issues with my hotel room. The bathroom has a strange design with no door, there's a foul odor in the hallway, and the toilet sink is clogged. I also need to request a shaving kit. Additionally, the communication between the front desk and the food and beverage staff has been poor. We've experienced excellent customer service at Dusit locations in Thailand and Manila, but unfortunately, Dusit Cebu falls short in comparison. However, I would like to commend Fel for going above and beyond with his service.
 
 ",6.0,2024-07-08T07:54:00+07:00,0.5,dusit_thani_mactan,need address several issue hotel room bathroom strange design door there foul odor hallway toilet sink clogged also need request shaving kit additionally communication front desk food beverage staff poor weve experienced excellent customer service dusit location thailand manila unfortunately dusit cebu fall short comparison however would like commend fel going beyond service,1
Agoda,830016872,"We stayed in Dusit Thani mactan for 3N4D. What a big disappointment for a 5* hotel. The bidet is leaking, the glassdoor in shower has broken glass sealant that cause water to flow all over the floor. The top shower is leaking, the extra blanket is USED! It stinks for real. The sliding cabinet door is broken it does not close completely. 
Our room is in 5th floor sea and pool view, you can see from our room that the pool water is not clean. We try to swim for less than an hour because we felt kinda itchy. 
Prices for room service and consumables it'll break your wallet. 
Every move in there has a price. Nothing is free, except hassle and stress. Never again. 
Belmont hotel is amazing.
 
 ",4.0,2024-07-07T07:31:00+07:00,0.25,dusit_thani_mactan,stayed dusit thani mactan nd big disappointment hotel bidet leaking glassdoor shower broken glass sealant cause water flow floor top shower leaking extra blanket used stink real sliding cabinet door broken close completely room th floor sea pool view see room pool water clean try swim le hour felt kinda itchy price room service consumables itll break wallet every move price nothing free except hassle stress never belmont hotel amazing,0
