Rating,Review Text,SA,Sentiment
5,happy recently concluded graduation event waterfront hotel booked event miss irish everything went smoothly accommodating made sure shes top everything jimei hall good spot already even youre already tight budget coz venue already elegant staff service crew day event also polite attentive concerns instructions food snacks venue also good according guests time please also try buffet lunch dinner cafe uno near main lobby youd amazed visual presentation mouthwatering flavors dishes well definitely come back waterfront hotel events 10 10 experience wonder partner client 12 years already,0.9735,Positive
4,always book hotel hotel staff friendly always accommodate requests clean quiet relaxing near shopping centers problem stay room standard king lacks lighting bathrooms layout right door bathroom always hits watercloset shower curtain short shower overall stay good would still book waterfront maybe get better room,0.9042,Positive
5,stayed 5 nights waterfront hotel business trip hotel central cebu room nice quite big reasonable price breakfast outstanding offers everything imaging western breakfast asian cuisine etc wishes looked service always friendly supportive come back next visit,0.9153,Positive
3,hotel aok breakfast pool familys primary reason stayed forgot consider connectivity aka internet needed work days internet connections horrible couldnt even open website complained asked front desk could possibly get good connections responded couldnt anything since theyre fully booked test keeping job would lost bright side breakfast great plus difficult get cab taxi lesson learned needed work online go elsewhere last minute decided stay another two days moved seda bloc try instead,0.4404,Positive
3,attended event held hotel decided overnight stay son food good unfortunately cable working wifi slow used mobile data entire stay pool opened 11 check 12 pm good thing allowed us check early check late well however pool disappointing small slide limits broken tiles kids pool unfortunately saw son hurt feet notice warning whatsoever cut feet bleeding bad experience even said like hotel,-0.9022,Negative
4,awesome convenient place stay due pandemic dont buffet serve breakfast set low cost love american style meal set recommended place stay city,0.8402,Positive
2,air conditioning problem made us move rooms several times placement curtains shower well thought water would still soak bathroom floor even curtain properly closed would call room service housekeeping even operator several times wouldnt pick,-0.1531,Negative
3,old hotel renovations yet done bathroom showerhead cannot forgive shower head missing body spray know supposed proper chrome holes water gets lighting option inside rooom dim thats turning switches,-0.4614,Negative
1,horrible hotel experience ive ever lights room working use lamps lights room still dark ended using flashlights phones water toilet stopped working pee point still peed toilet lets say toilet looked like public toilet ones see ratchet clubs 4 morning know mean food reception horrid food looked like food pigs servers ones plating food plates full food sauces mixing salad mixed chicken rice lumpia tasted like kaldereta disgusting couldnt even finish foodi recommend hotel events,-0.5106,Negative
4,stayed hotel 2 nights may 2023 good stay rooms reasonable size four star hotel buffet breakfast ok choices average staff polite helpful centrally located would happy recommend hoel,0.9201,Positive
1,shower third world dated dirty room booked wrong waterfront hotel meant book one across airport booked downtown instead try change booking spoke rude registration person called leti asked manager said manager vacation place pricey hell hole,-0.9274,Negative
4,staff friendly accommodating enormous place nice swimming pool spent late afternoon drinks whole day visit townaffordable price food accommodationi surely recommend place,0.886,Positive
1,came event asked staff way get 5th floor told event elevators extremely slow 5 min wait turns wrong elevators wait another 5 mins signs guest room elevators would better worst experience cebu hotel,-0.6486,Negative
4,best stay together partner far although overnightthe food great staff worked attended guests view also fantastic brings comfort,0.9371,Positive
5,might old hotel experience staying good staff excellent courteous helpful room clean necessary amenities breakfast incredible extensive array various disheswill definitely plan staying next visit cebu,0.9524,Positive
5,excellent location friendly accommodating staff experienced cebuano hospitality best corners property eg lobby lounge house gym buffet breakfast wide variety food cocktails affordable room decent although needs renovation taxi grab cars available round clock take almost every,0.9042,Positive
1,book family room 2 adults 2 kids ages 13 9 book superior twin room advertises 2 large twin beds expedia arrive hotel check find rooms 2 singles beds room 1 king bed,0.5423,Positive
5,first trip philippine came thought staffs friendly super luxury hotel polite staffs sooo nice friendly polite taking care im glad first place stay cebu comfortable staying even alone didnt feel loneliness staffs also helped lot go location also perfect want stay central love hotel love staffs thank much hospitality come back,0.9897,Positive
4,still waterfront hotel best convention venue best clean facilities waterfront maintain luxurious appeal well manicured greenery upon entering well lighted well ventilated lobby welcoming feel every guestthe banquet also maintain high standard food services quality staff management one approachable polite people town see waterfrontread,0.9607,Positive
1,buffet dinner limiting plates drinks one per person ask pay ask plates expecting hotel worth money disappointment,-0.4215,Negative
4,stayed last week feb 2020 would say hotel good cleanliness excellent staff helpful timing stay good due outbreak corona virus would certainly recommend hotel timeread,0.9451,Positive
5,everything taken cared smoothlyi enjoyed short stay waterfront cebu city hotel casino pretty satisfied service cleanliness value location sleep quality offered nice room,0.946,Positive
5,waterfront cebu city hotel casino favorite hotel since 9 years old love castlelike architecture ambience makes feel delighted idea turned 30 celebrate birthday hotel choice celebrate birthdays else would celebrate course waterfront hotel celebrated 30th birthday last january 21 2019 31st birthday last january 21 2020 incredible hotel mom stayed overnight enjoyed breakfast buffet pool truly loved cakes gave delicious would like extend thanks management friendly hospitable staff waterfront hotel see 32nd,0.9937,Positive
5,favorite hotel cebu love lobby relaxing spacious food good like staff approachable answer question welltrained customer service love set buffet area even dinner lunch breakfast foods good also waiter waitress good,0.9774,Positive
4,smooth far though still needed ask slippers toilet bidet elevator always busy needed wait long security wise anyone go hotel hope could create security elevator would work unless pass key card swiped,0.8979,Positive
3,good time cebu waterfront hotel service good like im grateful staff thankful guys thanks trip perfect want visit next time,0.9678,Positive
4,pros great selection bfast amenities location andservicecons thin walls hear people business people hallway non guest separate entry people sketchy,0.6249,Positive
5,pleased hotel service location food servicethank making stay enjoyable one beautiful hotel lux great servicewe hope go back next time visit cebu,0.9493,Positive
4,nice hotel clean friendly staff annoying male staff stares women helpful front desk fun casino fine boutiques lobby food great cost since hotel understandable,0.9524,Positive
3,partner staying waterfront cebu city every time cebu previous stays good rooms little outdated like privacy staff nice breakfast awesome best cebu however last visit previous weekend ended room weird sound coming ceiling changed room actually downgraded room 2 single beds told beds put together mimic queen size came back put bed together didnt replace sheets queen size ended sleeping sideways sleep together,0.9384,Positive
5,line checking took long time great room nice able relax pool get sun loved getting drinks pool service airport great,0.9571,Positive
1,smelly hallway bathroom curtain slow service food isnt great make sure forget anything important anywhere expensive otherwise even five minutes gone one help find retrieve experience letdown preferred cebuano hospitality,-0.3931,Negative
4,power buffet since im eating quite lot saltcured meal adding bland satisfying food recommended honestly im expecting delicious meal day quite dissapointed,0.8885,Positive
4,experience great hotel near everything enjoyed facilities especially pool children buffet breakfast also good staff accommodating helpful definitely come back family,0.9413,Positive
5,friendly stuffs good clean rooms love love bath tub nice swimming pool expensive foodclean rounding good view good amenities great service thank waterfront cebu,0.9854,Positive
5,hi call kashme boyfriend staying hotel unforgettable stay food ambiance really perfect us room beautiful really worth pay would also like extend warmest regards von housekeeping personnel making stay memorable nice guy von hope see soon,0.9638,Positive
5,husband stayed couple nights visit cebu hotel nice restaurants pool casino sitting areas buffet breakfast many options since booked ambassador room access lounge floor nice,0.6808,Positive
5,hotel excellent able sleep well hope swimming pool dry ambiance food good breakfast room service good time elevator slow hope could fix definitly check,0.9468,Positive
5,ive avid guest waterfront usual never fail expectations even exceeded everytime go back stay recent stay junior suite awesome amenities ambience briliant cozy recommended,0.8735,Positive
4,hotel centrally located city easy travel meetings except traffic service exceptional restaurants lobby coffee shop ideal meetings people watching,0.7506,Positive
3,overall stay great wifi basically useless cant connect really slow rely mobile data lte coverage also bad internet needs really addressed,-0.296,Negative
3,rooms quite dated bathroom really poor quality compared eliizerberth hotel stayed iat cebu wifi terrible smoking area far away quite frustrating plus side pool fantastic good selection restaraunts eat,-0.4915,Negative
4,staffs friendly rooms old needs renovation good quality service food needs improvement thou lot potential something rooms anyway great stay despite old rooms clean win win situation well,0.9668,Positive
2,old good location rooms needs refurbished old carpet sink moved mangos breakfast mango republicrooms 5th floor noisy due wedding entourage booked roomsread,0.296,Positive
4,nice hotel good nice proffesional staff breakfast amazing well worth include room hundred pesos location great 68 minutes walk ayala mall rooms nice maybe little bit old clean good comfort stayed junior suite nice bad thing wifi horrible mostly heard lot people complained big hotel business people wifi lot better minibar prices 130p 500ml local water bottle costs 20p 7 11,0.9751,Positive
4,overall everything good little suggestion youre hotel bit old would better upgrade also pls add bidet washroom lastly friend mine trapped one elevators took one hour rescue thats unacceptable situation urgent thats thank,0.8591,Positive
4,great time stayfood excellent location nice easy access malls room aircon cold asked friends different rooms also experience aircon problem hope act thank,0.9601,Positive
4,apart warm service various staff im impressed breakfast buffet tried many breakfast buffets around globe easily say ranks among best,0.891,Positive
4,family spend three nights hotel satisfied stay near drug stores medicines foods lunch also dinner free buffet breakfast also nice,0.836,Positive
3,place ambience facilities amenities food service wise good downside didnt like rooms dim lighting cr bidet window favorable view like abandoned pool construction dump site elevator wait quite long also although understand repairs going onover stay nice lobby food amazing,0.7167,Positive
5,waterfront hotel one beautiful hotel cebuwhere csn experience also excellent service facilities good accommodatingfriendly staff communicate guest welland also activities enjoy,0.9287,Positive
3,breakfast buffet nice however room severely outdated lighting lacking evening one lamp furthermore 1000 peso deposit needed use minibar fridge surprising stayed many hotels cebu without pay depositoverall accomodation satisfactory however updated room amenities stay would positive,0.8072,Positive
5,first time herethe room big place made relax breakfast satisfying love food definitely bacon danggit french toast decaf coffeewill come back given chance,0.93,Positive
5,chance invited international conference cultural statistics creative industry last oct 1315 held waterfront cebu hotel dream hotel stay indeed dream come true great hotel facilities customer satisfaction guaranteed services definitely back soon,0.9607,Positive
5,many uses cebu island restaurant staff especially helpful accommodation fee cheap access goodmaybe stay hotel next time good hotel excellent cost performance,0.8655,Positive
3,room big enough two storage staff nice friendly needs refurb bathroom small casino old slot machines littlectlc place could well rate high,0.7964,Positive
4,buffet superb room attendants best one call attend immediately special mention room attendant ms tonet kind assist us everything kind courteous,0.9686,Positive
5,assessment experience rating stay waterfront hotel lahug visiting cebu often since 2004 staying hotel ive seen changesand modifications already better,0.4404,Positive
4,thanks making stay comfortable love food even room service must try bibingka puto bumbong biko sikwate etc found hotel lobby service commendable thanks,0.9246,Positive
3,able sleep well room comfortable two things need looked hotel management absence bidet toilets need toilet facilities ground floor conference area,0.6597,Positive
4,room good condition swimming pool pleasant goodit pleasant trip lobbyists employees met friendlythe trip cebu good memory us,0.9081,Positive
3,mention one significant thing became basis review lobby coffee shops lobby comfortable chairs seat know however need order something order allowed seat even short looking extensive places one relax waiting,0.802,Positive
3,front desk staff needs retraining customer service except mhel staff outgoing lacking friendly communication skills encourage personnel smile often greet guests good morning good afternoon etc front desk staff face waterfront hotel needs make excellent impression,0.9716,Positive
5,staying waterfront hotel casino lahug great experience family past 3 yearsthe staff accommodating courteous rooms big clean wouldnt hurt interiors updatedoverall satisfied hotel probably come back keep promo room rates coming lol,0.955,Positive
1,wifi super slow room old fixtures old got charged water fridge breakfast good food served event average room service food taken two days even called cleaning,0.7184,Positive
5,hotel staff polite eager give assistance buffer large range fresh well presented food easily accessed taxis ready transport us location building central making easy go anywhere would stay,0.9136,Positive
4,nice hotel hang outkaso lang wala ka ng makakain 12midnight kasi close na yung bar resto pero stay amazingyung parking lang sa basement medyo na bad yung mode ko baguhin nyo na sistema nyo,-0.1779,Negative
2,change rooms use electric fan stop sweating room thermostat doesnt work temperature controlled downstairs arrived loaded bags onto cart person arrived insisted pushing cart hotel detail greeting car loading bags would great,0.7783,Positive
4,generally really good hotel cebu city recommend people want enjoy play game less price hope dont recommend deluxe room becuase quite feel smoking smell honest,0.9585,Positive
2,people charge extra 1 guest even though room booked two people staying alone cheating come guest charged already paid two guest seems like way exploitation,-0.5994,Negative
4,pretty good hotel heart city decent price internet bit choppy probably book hotel hotel buffet us 1000 breakfast bad included time booking,0.3818,Positive
1,bit disappointed trying look simple face towel took us minutes let us check terrible charge cleaning crew sad wifi connection terrible even locked ref omg think us think cant afford pay snacks,-0.9023,Negative
4,great stay companys appreciation night truly night worth remembering first time pay personally 5 star hotel consider entire experience worth price,0.9136,Positive
4,location room great parking need improvement parking poor lighting poor signage dark parking carpet need replacement aswell breakfast great staff friendly room specious plus,0.8481,Positive
4,staff amazingly friendly helpful thee ambience whole place extremely good perfect score would given except disappointed wifi connection every day room level almost always go lobby get good reception pity small thing make life soo difficult,0.8742,Positive
5,hotel top notch staff absolutely wonderful best ensure well taken care restaurants amenities create atmosphere extreme satisfaction definitely come,0.9754,Positive
4,room clean perfect good nights rest attending graduation ceremony able experience room service firsthand family enjoyed hotels amenities staff also approachable plus,0.9118,Positive
5,love hotel always make sure stay everytime cebu one favourites thing bothers live band lobby cant even see maybe could right lobby second floor,0.7096,Positive
1,wife 3 year old stayed hotel 2 weeks upon entering lobby area looked really nice concierge reception staff great checkin process slow queue people line werent bothered got lift area noticed took awhile lift arrive one four lifts service well arrived room clear hotel old furnishings outdated well room amenities toilet overflowed twice stay also started leaking cistern flush wouldnt stop filling maintenance called time mess water spilling onto bathroom floor wasnt cleaned properly finished notify housekeeping shower head spraying unevenly also loose turned pressure hose would spray upward toward ceiling splashing water everywhere gym nice also equipment old worn one machines lat pulldown held together piece fabric also used leg press one occassion belt snapped begin exercise came crashing loud bang would expected staff come attention go seek assistance gym reception area told machine faulty belt needed replacing put service rather leaving snap could ended much worse situation pool area looks amazing enjoyed dj music evening one thing fault food service bar area wife asked time food service finishes told finished 920pm wife placed order 845pm asked items menu chicken lollipop spaghetti bolognese told sorry serve pizza couldnt cook anything else menu disappointing friends visit us hoping dine poolside housekeeping staff also staff reception elevators amazing made stay alot better due friendliness service one important issue wife mentioned concierge staff unprofessional vehicle validate ticket time leave hotel another nuisance us times came validate ticket concierge staff would say inappropriate comments remarks made uncomfortable 3 year old son us busy keeping entertained lobby lounge area first couple days aware happening occured would ask accompany always concierge desk known stay would notified see general manager unprofessional disgusting behaviour hoping review reaches general manager much would liked enjoy stay many issues occured money would better spent another hotel,0.9828,Positive
