Rating,Review Text,SA,Sentiment,Normalized_Rating,Composite_Score,Quartile
5,hotel restaurants excellent especially staff executive lounge received great service displayed professionalism great especially mardin really helped us kind professional great place stay hello mardin hope see next visit,0.9737,Positive,1.0,0.98685,Q4
5,steakhouse marbel grain unreal geo waiter brilliant amazing service definitely back second meal salmon cooked perfection skin crispy like england complimentary bread world,0.9607,Positive,1.0,0.98035,Q3
5,beautiful hotel incredible staff rooms way beyond expected views bedroom breathtakingthe twilight roofdec view makes feel like top world special thanks joy almar service kindnesses definitely recommend hotel,0.9753,Positive,1.0,0.9876499999999999,Q4
5,dine meet guy mr michael laspinas accomodating beverage officer give three thumbsup mr nice guy rest crew wallstreet coffee + bar keep coming highly recommended,0.5984,Positive,1.0,0.7992,Q1
5,nice accommodation great hotel responsive bell boy recommend bai hotel friends definitely come back futurechecking jot seamless took forever check room waited told wait seat go ask lady counter,0.9493,Positive,1.0,0.97465,Q3
5,service experience best everjhona service beyond expectations intend staying bai hotel notice thank quality room outstanding 21st floor swimming pools excellent clean comfortable see soon bai hotel,0.9657,Positive,1.0,0.98285,Q3
5,love variety food hospitable service staff crew esp angel allica highly recommended family friends gathering keep coming good food cozy ambiance friendly staff thank part birthday month,0.9535,Positive,1.0,0.97675,Q3
5,ranyl breakfast buffet attentive accommodating hes definitely asset hotel thank making breakfast experience enjoyable certainly include hotel next visit cebu future,0.9001,Positive,1.0,0.9500500000000001,Q2
5,ume japanese restaurant good servers christine eme hospitality welcome warm nice job well chef bibi tastes worth try skip give try restaurant stay visit cebu,0.9118,Positive,1.0,0.9559,Q2
5,great time staff great especially queen good selection restaurants including fantastic buffet one rooftop swimming pool offers great views sjyline cebu one best hotels stay cebu,0.9758,Positive,1.0,0.9879,Q4
5,friendly always ready help give information easy chat anytime delicious food selection great swimming pool 21st bar 23rd floor pleasant experience fantastic views around cityread,0.9776,Positive,1.0,0.9888,Q4
5,delay flight got hotel 34am tired 4 hours headed restaurant breakfast bai staffs welcome ppl thanks feel 1st day cebu begins nicely foods also good,0.7579,Positive,1.0,0.87895,Q1
5,excellent food choices service superb best value money indeed lueza polite best communicating guests alert responsive request feel vip facility conducive relax unwind,0.9826,Positive,1.0,0.9913000000000001,Q4
5,ms maricel newman manager cafe bai exemplars excellence hospitality steadfast commitment customer satisfaction attention details created enjoyable experience shes always accommodating cheerfully willing make big small adjustments help us ensures seamless dining making visit memorable experience dedication setting commendable standard realm exceptional service,0.9652,Positive,1.0,0.9825999999999999,Q3
5,love hotel especially front desk personnel nathaniel gian ampo always goes way assist checking whole duration stay hotel breakfast buffet really best compared hotels weve stayed cebu city,0.8655,Positive,1.0,0.93275,Q2
4,friendly accommodating staff may gave excellent service wide variety buffet restaurant options enjoy clean tidy bedrooms wonderful experience bai hotel cebu,0.9477,Positive,0.5,0.72385,Q1
5,great experience hotelthe chef kind enuff make us customised food per desire made expectation case inspite extensive menu great view cebu place totally recommend people wanna chill looking skyline cebu citygreat vibes good times,0.9638,Positive,1.0,0.9819,Q3
4,first time great experience nice place good food accommodating staff thank lueza amd ranyl assissting group thank unforgetgable experience,0.93,Positive,0.5,0.7150000000000001,Q1
5,last hotel trip bai good close airport able rest comfortably deluxe twin breakfast room spacious variety food angel staff friendly gave two korean coffee mixes remember first visit long time staying hotel several times opened expected greatthe view room bit disappointing,0.6908,Positive,1.0,0.8453999999999999,Q1
5,latest december visit cebu clear bai always hotel choice due location affordability mostly awesome friendly helpful staffi could say last several years stayed 13 week stints marriott ayala quest blu recently 2 nights filinustar make mistake radisson facility nice filinustar grand best rooms bai hotel pretty straightforward hotel decent rooms although doesnt fancy amenities bigger hotels makes staffa special shoutout cafe bai breakfast lunch team jenny ranyl angel shaelto name really make feel special making us really feel homeread,0.9816,Positive,1.0,0.9908,Q4
5,review bai hotel gym nice clean also sauna nice shout noel glenn nice trainers good service everything plan workouts meal plans,0.9186,Positive,1.0,0.9593,Q2
5,one best hotels cebu amenities service really amazing really enjoyed stay cebu bai overall experience superb must try hotel cebu wont regret,0.9617,Positive,1.0,0.98085,Q3
5,second time stay hotel always giving us superb experience security helpful courteous staffs room aminities food magnifecient,0.9325,Positive,1.0,0.96625,Q2
5,great services jhona joy birthday dancer food okay need meat selection clean restaurant hotel overall would like thank staff employee great service,0.9666,Positive,1.0,0.9833000000000001,Q3
5,staff absolutely amazing friendly 10 10 service waiter immediately welcomed us place informed us charge table really went beyond cater needs,0.8742,Positive,1.0,0.9371,Q2
5,always fun staff friendly feels like home food nice cosy bed nice fluffy bed sleep well night woke nice sleep,0.9552,Positive,1.0,0.9776,Q3
5,hospitality warm welcome felt althroughout love smiling far checkin smooth upgraded room smells good pool bars view amazing pleasant stay farwent twilight roofdeck assisted archie jen superb service thank,0.9812,Positive,1.0,0.9905999999999999,Q4
4,beautiful view elegant embiance peaceful area buffet bountiful missing seafoods variety pasta hotel birthday celebrant free charge buffet section hotel large reception area large event room various events,0.9062,Positive,0.5,0.7031000000000001,Q1
4,service excellent week stay hotel breakfast buffet fantastic specially jenny quick served us fresh fruits tips go nerilyn never forgot serve coffee milk indeed relaxing staythe one admire politeness whole staff greeting guests big smile good morning started delightfully ones day,0.979,Positive,0.5,0.7395,Q1
5,best hotel stay weve experienced far staff accommodating helpful especially venus room great clean probably would great another amenity kids,0.9608,Positive,1.0,0.9803999999999999,Q3
5,always like baiwith varieties choices fun attendants polite friendly joy one helpful made sure okay comfortable one best cebu like indian section,0.9814,Positive,1.0,0.9907,Q4
5,went twilight bar great experience service good cocktails crazy delicious cocktail ive ever wanted try kents cocktail next time,0.8519,Positive,1.0,0.92595,Q2
5,amazing hotel top notch service jojo barriga helped us arrange room reservations smooth experience especially 15h traveling employees extremely attendant helpful rooms clean welcoming food drinks also great wide variety cuisines select overall incredible experience would like stay visit cebu,0.9632,Positive,1.0,0.9816,Q3
1,disappointed previous stay impressive came back bringing family massively disappointed seemed 180 degrees turn around worse quality service product poor,-0.8442,Negative,-1.0,-0.9220999999999999,Q1
5,bai hotels service topnotch everyone friendly went beyond minimum waiting opportunity delight amaze checkin maybelle vince kyle roda mary warmth hospitality consistent overflowing room immaculate space beyond expectation price paid,0.9468,Positive,1.0,0.9734,Q3
5,2nd time support polite cleanliness areas notable ofcourse buffet always stellarthey also offer platinum card consumable comes tons voucher,0.4019,Positive,1.0,0.70095,Q1
4,overall great stay staff extremely helpful well trained place huge despite busy crowded pool deck 21st nice japanese restaurant nice overall impressed return future trips cebu,0.9616,Positive,0.5,0.7308,Q1
5,food tastes great presentation good made request seated corner preference made reservation granted jel vallyrie made sure dining experience excellent thumbs,0.9325,Positive,1.0,0.96625,Q2
5,good service approachable friendly caring staff comfortable rooms super clean fantastic amenities good food surely return goto hotel family staycation thank bai,0.9836,Positive,1.0,0.9918,Q4
5,foods delicious service great employees awesome approacheable twas nice experience see nxt time erick edreza etc recommend bai hotel friends family co workers thank bai hotel,0.9712,Positive,1.0,0.9856,Q4
5,loved stay staff accommodating plus foods undeniably sumptuous thank making stay cebu relaxing memorable one hopefully come back soon,0.9062,Positive,1.0,0.9531000000000001,Q2
5,nice hotel always cortious staff willing help well known hotel taxis easily take buffet great price recommended guest discount irish helpful giving us advice buffet,0.959,Positive,1.0,0.9795,Q3
4,fourth time eating buffet since june noticed menu varies every favorite japanese section staffs also courtious accomodating esp irish keeps checking table made sure everything fine thank,0.8225,Positive,0.5,0.66125,Q1
4,eme host well personnel accommodating ambiance cozy food good ie typical well executed price little expensive get nonetheless good experience overall,0.8402,Positive,0.5,0.6700999999999999,Q1
5,ume japanese cuisine servers name eme polite pleasant treated nicely professional server food excellent ambience perfect treatment excellent kudos employers employing wonderful server,0.9758,Positive,1.0,0.9879,Q4
5,peaceful location ideal relaxationlocated capital cebu city lapulapu city airport locatedthe staff courteous especially edreza raize gave free cake birthmonth,0.9217,Positive,1.0,0.96085,Q2
5,first time eat cafe bai experience amazing ambiance nice good food lots choose service great staff smiles thank jhona appreciate much,0.9678,Positive,1.0,0.9839,Q4
5,bai hotel go hotel years day soft opening today maintained standards services one best buffet also always reco place friends clients,0.8074,Positive,1.0,0.9037,Q2
5,neat hospitable staff great vibe delicious food especially pastries surely recommend others definitely comeback try lunch dinner buffet thank experience,0.968,Positive,1.0,0.984,Q4
5,delicious food great service free wifi nice ambiance clean restaurant cr friendly staff noisy tempura best desserts sweet yummypls dont increase keep coming back,0.9759,Positive,1.0,0.98795,Q4
3,room upgraded without us paying staff friendly polite especially staff buffet named jevia friendly accommodating assisted way,0.7506,Positive,0.0,0.3753,Q1
5,amazing service buffet best staff lovely nerilyn gorgeous bed comfortable see get blackout curtains prefer dark room air conditioning quiet surpassed needs great nights sleep opposite hotel blind massage hear amazing check breakfast,0.9783,Positive,1.0,0.98915,Q4
4,ms edreza server accomodating friendly love foods favorite tempura roasted pig saladthe pasta pizza desserts also look forward also alot drinks choose like beer sodas coffee tea juices,0.9169,Positive,0.5,0.70845,Q1
5,first time visit bai hotel staff courteous respectful main entrance guard restaurant personnel dined food exceeded expectations definitely recommend place,0.8885,Positive,1.0,0.94425,Q2
5,whole experience 5 stars venue beautiful comfortable food authentic delicious well prepared staff friendly attentive christine made feel welcome,0.9643,Positive,1.0,0.9821500000000001,Q3
5,food always best part bai hotel enjoyed birthday dinner celebrate awesome celebrations soon hotel exceptional service mostly especially server kuya jel,0.946,Positive,1.0,0.973,Q3
5,accommodated sir jel soo friendly approachable offered get drinks attentive needs sir jel prompt whenever would need anything also took pictures love visit today felt like guests really mattered sir jel made us feel happy assigned us,0.9274,Positive,1.0,0.9637,Q2
5,wallstreet best choice start morning staff friendly please keep spirit everyone coffee taste better partnered best croissant ambiance 8 10 food 9 10,0.9552,Positive,1.0,0.9776,Q3
5,would like mention mr archie service hes polite courteous throughout stay pool bar knows responsibilities one time stayed pool long maintained respectful understanding remind us leave since prepare closing thank mr archie,0.8779,Positive,1.0,0.93895,Q2
5,venue workshop event challenges airconditioning resolved immediately food great fb prepared plated meals allergieshotel staff friendly attentive needs guestscarmela monina viber phonecall away address adjustments liel ike mark lysa edmar gave great service meeting hallread,0.936,Positive,1.0,0.968,Q3
5,rooms nice price overall outstanding stay buffet extravagant staff nice going cebu city recommend staying 3rd visit cebu first stay return visits definitely staying bai hotel ferlyn especially nice greeted us breakfast buffet,0.9582,Positive,1.0,0.9791000000000001,Q3
5,good customer service nice accommodating friendly staff especially sir jel made sure comfortable good idea also 50 discount seniors food good well maybe add menu,0.9657,Positive,1.0,0.98285,Q3
5,family dining cafe bai choice dining celebrations graduations birthdays reunions staffs always courteous welcoming accomodating always greet smiles faces food always sumptuous satisfying favorite japanese station homemade ice cream dessert highly recommend bringing loved ones great dining experience,0.9811,Positive,1.0,0.99055,Q4
5,unique dinning experience food superb service excellent special mention princess knowledgeable hotel able answer questions im happy service hotelier working jw marriott australia days vacation experience bai cafe something share team apply australia specially birthday dance,0.9584,Positive,1.0,0.9792000000000001,Q3
5,super impressed princess cafe bai helpful accommodating extremely friendly whole time dining always ever willing help us assist us thank princess,0.9552,Positive,1.0,0.9776,Q3
5,place pleasant light ambience servers welcoming even little side show caesars salad food good great experience server carmy always attendant needs,0.9217,Positive,1.0,0.96085,Q2
4,heard steak marble + grain good decided check didnt disappoint prepared right also wide range sauces choose youre feeling bit adventurous blew us away though espresso mousse really packed punch 10 10 would recommend,0.8356,Positive,0.5,0.6678,Q1
5,recommend place friends colleagues hotel super comfortable clean tidy satisfactory every aspectthe quality service attitude staff absolutely amazing extremely happy stay including variety options quality level service frontdesk,0.9784,Positive,1.0,0.9892000000000001,Q4
5,awesome experience marble grain steak houseshout miss leodilyn accommodating friendly suggesting salmon found besthighly recommended also sir dwayne attending requests,0.8176,Positive,1.0,0.9088,Q2
5,dined marble grain delicious food great ambiance pasta salmon superb great staffs esp ms leodilyn sir dwayne definitely going dine thank,0.969,Positive,1.0,0.9844999999999999,Q4
