Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Jude M,Jan 2024,5.0 of 5 bubbles,Appreciation and Commendation,"Thank you so much for your service Quest Hotel. Really appreciate everything, food, room, service. I'm super happy with my stay😌Also, the service we experienced last Sinulog was great and amazing. I also wanted to commend Sir Jake for his wonderful service. He make sure that we are on time and we feel comfortable with the event. Thank you so much! Amping ☺️",January 2024,Traveled on business
Daniele L,Jan 2024,5.0 of 5 bubbles,Esperienza eccellente,"I really appreciated the quality of the rooms, the cleanliness and your courtesy.excellent catering w an extra point for the excellent service of the kids on the internship.excellent quality/price ratio.excellent location in the city center and very lively in Ayala ceter CebuRead more",January 2024,Traveled as a couple
Bambi R,Jan 2024,4.0 of 5 bubbles,Over-all Stay satisfactory,"Excellent buffet. Service crew very accommodating. However, bed height should be adjusted to petite persons. Towels should be more clean/white. Water service should be on a daily basis but the option of refilling own bottles is also good.",January 2024,Traveled with family
Gangas Blackdragon,Jan 2024,3.0 of 5 bubbles,Great hotel but please pull out the phone line.,"Nice place. Though pls pull the phone out when you get there. The staff makes intrusive calls that wakes you up and disturb your stay because they want to pretend to be hospitable. ""Do you want anything sir"" they said. They did this on 2 occasions at random times. I came here to relax and not to be disturbed. I didn't came here to be feel like I am at my office desk answering phone calls. Shame, would of give this hotel 5 stars if not for this.",January 2024,Traveled with family
Heqacq,Jan 2024,5.0 of 5 bubbles,Hotel Transportation,Excellent and friendly staff. Special mention to transportation driver/bodyguard Mr. Mark Solis. He is very friendly and accommodating. Shared also beautiful places to visit in Cebu. It was a smooth ride from hotel tonthe airport. Hope to visit Cebu soon.,January 2024,Traveled on business
PWScott,Jan 2024,5.0 of 5 bubbles,Make it part of your Quest!,"It's hard to believe that Quest Hotel is only a 3 star hotel for with their attention to detail, service and food, you'd think it would be much more!  Location very close to Ayala mall is nice, pool is comfortable with a great view.  Staff is excellent.  It's a great place to stay in Cebu for sure.  I'll be back!",November 2023,Traveled solo
Christina S,Jan 2024,5.0 of 5 bubbles,Best place to stay in Cebu,"It is a great place to stay, recommended by a cousin who often stay there for work. Our rooms was on the same floor as the pool, so that made my family happy about it. Ayala malls is across the road, walking distance. The Concierge team was very helping in booking our city tour and our return airport transfer. Also helping in recommending the best place to have lechon. They had a variety of food to choose from for breakfast. I would stay here again on my next visit to Cebu.",December 2023,Traveled with family
Destination A,Jan 2024,4.0 of 5 bubbles,Good hotel,"Ok hotel with good value if you can find the good deals around $50/night,location good for shoppers Ayala is 3 minutes walk away,many taxis outside the hotel, slow check-in even if they say express,i had to wait almost 20 minutes when i arrived at 4PM, 2 Couples before me staff otherwise nice and kind,there was some kind of renovation beside my room the second day they were slamming doors at least 30 times for 1.5 hours and a lot of moving furnitures even if theres only a bed who could be moved,impossible to have a afternoon nap,thats not ok for guestsThe mini bar was crazy expensive 215P for a small local beer",January 2024,Traveled solo
Jude M,Jan 2024,5.0 of 5 bubbles,Appreciation and Commendation,"Thank you so much for your service Quest Hotel. Really appreciate everything, food, room, service. I'm super happy with my stay😌Also, the service we experienced last Sinulog was great and amazing. I also wanted to commend Sir Jake for his wonderful service. He make sure that we are on time and we feel comfortable with the event. Thank you so much! Amping ☺️",January 2024,NA
Daniele L,Jan 2024,5.0 of 5 bubbles,Esperienza eccellente,"I really appreciated the quality of the rooms, the cleanliness and your courtesy.excellent catering w an extra point for the excellent service of the kids on the internship.excellent quality/price ratio.excellent location in the city center and very lively in Ayala ceter CebuRead more",January 2024,NA
Bambi R,Jan 2024,4.0 of 5 bubbles,Over-all Stay satisfactory,"Excellent buffet. Service crew very accommodating. However, bed height should be adjusted to petite persons. Towels should be more clean/white. Water service should be on a daily basis but the option of refilling own bottles is also good.",January 2024,NA
Gangas Blackdragon,Jan 2024,3.0 of 5 bubbles,Great hotel but please pull out the phone line.,"Nice place. Though pls pull the phone out when you get there. The staff makes intrusive calls that wakes you up and disturb your stay because they want to pretend to be hospitable. ""Do you want anything sir"" they said. They did this on 2 occasions at random times. I came here to relax and not to be disturbed. I didn't came here to be feel like I am at my office desk answering phone calls. Shame, would of give this hotel 5 stars if not for this.",January 2024,NA
Heqacq,Jan 2024,5.0 of 5 bubbles,Hotel Transportation,Excellent and friendly staff. Special mention to transportation driver/bodyguard Mr. Mark Solis. He is very friendly and accommodating. Shared also beautiful places to visit in Cebu. It was a smooth ride from hotel tonthe airport. Hope to visit Cebu soon.,January 2024,NA
PWScott,Jan 2024,5.0 of 5 bubbles,Make it part of your Quest!,"It's hard to believe that Quest Hotel is only a 3 star hotel for with their attention to detail, service and food, you'd think it would be much more!  Location very close to Ayala mall is nice, pool is comfortable with a great view.  Staff is excellent.  It's a great place to stay in Cebu for sure.  I'll be back!",November 2023,NA
Christina S,Jan 2024,5.0 of 5 bubbles,Best place to stay in Cebu,"It is a great place to stay, recommended by a cousin who often stay there for work. Our rooms was on the same floor as the pool, so that made my family happy about it. Ayala malls is across the road, walking distance. The Concierge team was very helping in booking our city tour and our return airport transfer. Also helping in recommending the best place to have lechon. They had a variety of food to choose from for breakfast. I would stay here again on my next visit to Cebu.",December 2023,NA
Destination A,Jan 2024,4.0 of 5 bubbles,Good hotel,"Ok hotel with good value if you can find the good deals around $50/night,location good for shoppers Ayala is 3 minutes walk away,many taxis outside the hotel, slow check-in even if they say express,i had to wait almost 20 minutes when i arrived at 4PM, 2 Couples before me staff otherwise nice and kind,there was some kind of renovation beside my room the second day they were slamming doors at least 30 times for 1.5 hours and a lot of moving furnitures even if theres only a bed who could be moved,impossible to have a afternoon nap,thats not ok for guestsThe mini bar was crazy expensive 215P for a small local beer",January 2024,NA
Jo Anne V,Jan 2024,5.0 of 5 bubbles,Wonderful customer service!,"Amazing service and amazing food!!! Would like to commend their FB team for helping us during our company event, James, Emman, Kener, Winston, Nalos, Archie and of course, Sir Dave! Wonderful people!❤️👏",January 2024,NA
Daniel G,Jan 2024,5.0 of 5 bubbles,Reliable staff,The staff was very friendly and helpful. They responded to emails I sent ahead of my trip to coordinate pickup from the airport for my family of 5 and they were waiting for us when we got off the plane. They were also great coordinating the rest of the transportation I needed which was very useful because Cebu is not the easiest city to get around with small children. They also have a good buffet for 3 meals a day or you are walking distance to Ayala mall which had tons of food options.,January 2024,NA
Camper820383,Jan 2024,4.0 of 5 bubbles,Enjoyable experience ,"Really like the warm atmosphere in the hotel. The location is great if you enjoy downtown areas, and exploring the nightlife. The staff is very professional, helpful and friendly. My room was a bit dated but comfortable",January 2024,NA
