Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
abeldantet2017,Feb 2020,5.0 of 5 bubbles,Feb 2020 Stay,"We always stay at Radisson whenever we are in Cebu. Almost every year we visited Cebu we make sure to book here and this year we are more pleased knowing that our room are newly refurbished and we learned that they renovated already almost all floors. Total experience in terms of food and services are great as always. The warmth treatment is so real from Concerge, FO, FB, Security, Fitness attendants and Housekeeping.",February 2020,NA
TheJasonLarson,Feb 2020,5.0 of 5 bubbles,Great stay at the Radisson Blu,"Our stay was amazing! We had the best customer service from all the staff members; each person was incredibly accommodating and room service was very quick. The room very clean and we had a great view of the city. The only gripes we had were there was no fan in the bathroom to vent condensation out quickly and the position of the TV was not in front of bed, but in front of the couch in the living room area. Though, these things did not impede on much and we really enjoyed our stay. There wasn't much in way of food options for vegans at the Feria (which is a big ask), but if you ask some of the restaurant staff they will be able to make you something. We definitelu will return. Thank you to everyone who made our stay enjoyable.",February 2020,NA
K_Berg_Traveler,Jan 2020,5.0 of 5 bubbles,The best place to stay in Cebu,"Awesome staff, Great food, Stay here!  I always enjoy my stay and the beds are super comfortable.  If you work at night, the drapes close and the room is very dark during the day.  The breakfast buffet has so many different options from different cultures.",January 2020,Traveled on business
abeldantet2017,Feb 2020,5.0 of 5 bubbles,Feb 2020 Stay,"We always stay at Radisson whenever we are in Cebu. Almost every year we visited Cebu we make sure to book here and this year we are more pleased knowing that our room are newly refurbished and we learned that they renovated already almost all floors. Total experience in terms of food and services are great as always. The warmth treatment is so real from Concerge, FO, FB, Security, Fitness attendants and Housekeeping.",February 2020,NA
TheJasonLarson,Feb 2020,5.0 of 5 bubbles,Great stay at the Radisson Blu,"Our stay was amazing! We had the best customer service from all the staff members; each person was incredibly accommodating and room service was very quick. The room very clean and we had a great view of the city. The only gripes we had were there was no fan in the bathroom to vent condensation out quickly and the position of the TV was not in front of bed, but in front of the couch in the living room area. Though, these things did not impede on much and we really enjoyed our stay. There wasn't much in way of food options for vegans at the Feria (which is a big ask), but if you ask some of the restaurant staff they will be able to make you something. We definitelu will return. Thank you to everyone who made our stay enjoyable.",February 2020,NA
K_Berg_Traveler,Jan 2020,5.0 of 5 bubbles,The best place to stay in Cebu,"Awesome staff, Great food, Stay here!  I always enjoy my stay and the beds are super comfortable.  If you work at night, the drapes close and the room is very dark during the day.  The breakfast buffet has so many different options from different cultures.",January 2020,NA
Nelson H,Aug 2021,2.0 of 5 bubbles,Very disappointing stay,"I stayed at this hotel everytime I visit Cebu. I uave been very happy in my past visits. Unfortunately my last visit in July 2021 was very bad. First upon reqching our assigned floor, there was a very bad odor in the corridor outside our room. I did tell the reception about it later on but the problem was never resolved. We stayed in a Junior Suite, it was clean but the towels are old and obviously worn out. This is a bit disappointing as Radisson os supposed to be a 5 star hotel. It is very noticeable that the entire hotel is extremely understaffed. One example is that ai have only seen 1 concierge personnel in our 2 days stay. When we arrived at the hotel, the security guy was also the same guy who sanitized and brought our luggage to the check-in area.Another bad experience is when I used the toilet lobby. During our first day of stay I went to the toilet lobby to pee, I noticed a bubble gum packet on top of the male urinal. The next day when I went and used the same urinal, the toilet have a very bad smell and the bubble gum packet was still there, meaning nobody cleaned the toilet!",July 2021,NA
lettemon,Jan 2024,5.0 of 5 bubbles,Cebucation,Radisson Blu’s location is excellent as well general layout and hotel system. Staff are friendly and very knowledgeable about the area and other affiliations. One security personnel though was not to that standard.,January 2024,NA
64ADM2024,Jan 2024,5.0 of 5 bubbles,Great Customer Service,The whole staff provided great customer service. They are very courteous and attentive. Breakfast was awesome. A wide variety of selections. We also loved the music at the lobby. We were very entertained. I would definitely recommend staying at this hotel.,January 2024,NA
Palacios1956,Jan 2024,5.0 of 5 bubbles,Hotel stay and evaluation,"The place where the hotel was very favorable for shopping, dining and distance to the airport. I felt safe and comfortable with the hotel’s facilities and cleanliness. Staffs were so respectful, knowledgeable and rendered great services. Food also served as an important component of an overall breakfast menu and experience.",December 2023,NA
htg9pxagto,Jan 2024,4.0 of 5 bubbles,R R,"Valuetoo expensive for my stay of 23 hours which I paid P16,000.00 with No breakfast offerI paid with BDO local debit card instead of pre-paying it. Next time maybe I should pay upon booking with Agoda. I surely thought it would be less expensive paying with BDO local card.",December 2023,NA
Cherry May B,Jan 2024,5.0 of 5 bubbles,Best buffet in Cebu 😉🧡,"Super love the buffet! They have very good options. The Indian cuisine is superb, the desserts, and oh they got turkey most of the time... Yum2x..not to mention the very accommodating server Harley...He is very attentive and helpful. So friendly and makes sure we get what we need...🥰 Will keep repeating...",January 2024,NA
lescot723,Dec 2023,5.0 of 5 bubbles,Excellent Hotel,Very nice facility. Room was clean and comfortable and had a great view. Staff was very friendly and helpful. Breakfast and supper buffets were fantastic. Couldn't ask for anything more. Would definitely stay here again.,December 2023,NA
hrdheadtfii,Dec 2023,5.0 of 5 bubbles,Amazing relaxation to cherish,"Staying in Radisson Blu is amazingly beautiful and relaxing.  The services are exceptional, the food and the area are clean and spacious and safe, the staffs are friendly and accommodating. I would likely to recommend this hotel.",December 2023,NA
tusharnagrani,Dec 2023,5.0 of 5 bubbles,A Gem in Cebu Hospitality !!,"There are not many 5star hotels options in Cebu City but of those available, I strongly recommend the Radisson Blu. Good location, Well trained and Hospitable staff, Good Food and Bar Options. They could come up with an additional restaurant to offer a choice as Feria is the only main restaurant option.",November 2023,NA
Markolele,Dec 2023,5.0 of 5 bubbles,Excellent choice in Cebu City,"Stayed in Radisson Blu for a night before departing from Cebu. Overall supper happy with the experience. Top notch Hotel in Cebu City, fantastic breakfast buffet, first class service, king size bed that deserves the name.",December 2023,NA
REMEGIO SARDIDO JR,Dec 2023,5.0 of 5 bubbles,Decent place,"Lots of fun being here with my dearest friends chilling out at pool having plenty of beers, as well as the staffs are much entertaining to talk with. I can definitely recommend this place and to book it again, Looking forward for the upcoming promos to avail. Thanks Radisson!",November 2023,NA
melanieann0618,Dec 2023,5.0 of 5 bubbles,Excellent experience,The 5-day stay I had in Radisson Blu was a great experience. It was my 2nd time being in Radisson Blu and it never fails to reach the expectations I had for this hotel. Indeed a good place to spend some great times.,December 2023,NA
mathis4569,Dec 2023,5.0 of 5 bubbles,Moving to Cebu,Toni the Director and staff very helpful and courtesy excellent... We loved our stay and would highly recommend Radisson hotel in Cebu to everyone. Toni the Director is operating and managing the hotel very well.,December 2023,NA
kaspera900,Dec 2023,4.0 of 5 bubbles,A mixture of good and bad at Radisson Blue,"Check-in was one of the best which compared with other hotel group such as Marriott group, Accor, Hilton Hotels  Resorts. However, other services such as swimming pools and dinning were not that great. Front desk staffs are very helpful and initiative.",December 2023,NA
kenneyrogernaval11,Dec 2023,5.0 of 5 bubbles,Family Christmas Party,"Great place,great staff,location was excellent perfect for family no need to travel far just a few steps away you can reach sm mall the food was plenty to choose and delicious friendly staff and security guards were polite",December 2023,NA
