Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Elena N,Jun 2023,5.0 of 5 bubbles,Nice stay in the city,"We stayed in this hotel for two seperate nights. The pool was closed the first day we were there and the hottub was still closed the second day about a week later.Still, the hotel itself is very nice. The rooms are big and clean, especially the bathrooms. The roomservice and restaurant in general were excellent.Would choose to stay here again.",June 2023,Traveled as a couple
Marcus J,Feb 2023,4.0 of 5 bubbles,Enjoy and worth the price,"The food was amazing and also the staff. During dinner, we order grilled fish and balbacua. The fish was delicious and also I don't eat balbacua in other restaurants but here I already taste it and it was soso. On the day that we're here there will be a band and we join the singing. All in all, it was a great experience.",February 2023,Traveled with friends
HaveBagswillTravel73,Dec 2022,1.0 of 5 bubbles,Rooms good but Stagnant  restaurant,Stayed early dec. w my family. We enjoyed our room   (5 days )and the facility’s as well as the rooftop pool.  But international travelers. Don’t go here !! The food is so basic.  Boreing variety hard to eat this food day in day out.  Then there’s the greesy floors in dinning area.  Yuc!   Stayed here 3 years ago. Same. Stagnant. Food choices.   So easy to choose a better place with a good morning meal to start your day,December 2022,Traveled with family
Stephen J,Aug 2022,3.0 of 5 bubbles,Needs more work to make this a great international hotel,"This hotel doesn’t train its staff in customer service , as far a we could tell as apart from the manager and the concierge the performance of the staff was woeful especially in the forth floor bar/ restaurant. We found that the food was cold when it arrived at the table as it was cooked on the ground floor then relayed up to the forth floor, the food took a very long time to arrive and one of the meals was the wrong dish as the waiter took no notes. I thought breakfast was average and I could not recommend it. Overall they need to pick up their game and train the staff in what customers expect when they pay out hard earned money",August 2022,Traveled with friends
Sticksnstone,Aug 2022,5.0 of 5 bubbles,THANK YOU PARKLANE!,"Nice hotel with friendly, courteous and efficient  staff. The lobby is beautiful and the buffet had many good choices for breakfast/dinner. We did not have a chance to try the lobby snack area, pool or gym. Our room was spacious, nicely decorated. Only disappointment was the bathroom which needed to be updated (fixtures, tub).  Also requested a massage in our room for both my husband and I. It was so appreciated and reasonably priced. Crystal is a jewelry store in the lobby which had some unusual nice pieces.  The airport transport arranged through the hotel was convenient and on time. I would definitely return to this hotel when we visit Cebu again.",August 2022,Traveled with family
Elena N,Jun 2023,5.0 of 5 bubbles,Nice stay in the city,"We stayed in this hotel for two seperate nights. The pool was closed the first day we were there and the hottub was still closed the second day about a week later.Still, the hotel itself is very nice. The rooms are big and clean, especially the bathrooms. The roomservice and restaurant in general were excellent.Would choose to stay here again.",June 2023,NA
Marcus J,Feb 2023,4.0 of 5 bubbles,Enjoy and worth the price,"The food was amazing and also the staff. During dinner, we order grilled fish and balbacua. The fish was delicious and also I don't eat balbacua in other restaurants but here I already taste it and it was soso. On the day that we're here there will be a band and we join the singing. All in all, it was a great experience.",February 2023,NA
HaveBagswillTravel73,Dec 2022,1.0 of 5 bubbles,Rooms good but Stagnant  restaurant,Stayed early dec. w my family. We enjoyed our room   (5 days )and the facility’s as well as the rooftop pool.  But international travelers. Don’t go here !! The food is so basic.  Boreing variety hard to eat this food day in day out.  Then there’s the greesy floors in dinning area.  Yuc!   Stayed here 3 years ago. Same. Stagnant. Food choices.   So easy to choose a better place with a good morning meal to start your day,December 2022,NA
Stephen J,Aug 2022,3.0 of 5 bubbles,Needs more work to make this a great international hotel,"This hotel doesn’t train its staff in customer service , as far a we could tell as apart from the manager and the concierge the performance of the staff was woeful especially in the forth floor bar/ restaurant. We found that the food was cold when it arrived at the table as it was cooked on the ground floor then relayed up to the forth floor, the food took a very long time to arrive and one of the meals was the wrong dish as the waiter took no notes. I thought breakfast was average and I could not recommend it. Overall they need to pick up their game and train the staff in what customers expect when they pay out hard earned money",August 2022,NA
Sticksnstone,Aug 2022,5.0 of 5 bubbles,THANK YOU PARKLANE!,"Nice hotel with friendly, courteous and efficient  staff. The lobby is beautiful and the buffet had many good choices for breakfast/dinner. We did not have a chance to try the lobby snack area, pool or gym. Our room was spacious, nicely decorated. Only disappointment was the bathroom which needed to be updated (fixtures, tub).  Also requested a massage in our room for both my husband and I. It was so appreciated and reasonably priced. Crystal is a jewelry store in the lobby which had some unusual nice pieces.  The airport transport arranged through the hotel was convenient and on time. I would definitely return to this hotel when we visit Cebu again.",August 2022,NA
Benjamin M,Jul 2021,5.0 of 5 bubbles,Great stay,"I had a fantastic couple of days in this amazing place. I lived in the philippines for 7 years and been to cebu countless times but didn't stay here before.  The gym is probably one of the best ones in the city and the room views are straight from travel mags.  The manager Jerome and Caryl the receptionist made my stay easier even I had some payment issues due to my credit card and were super accommodating and friendly. If you're coming to the city just stay here to chill, there is a jacuzzi, bar and pool on the 4th floor. Regards to the waiters Edelito and Joseph who were very nice as well🥰",July 2021,NA
julie ann,May 2021,4.0 of 5 bubbles,We had so much fun swimming!,"We stayed there for two nights after new year's day and we had a great time. The location, the room, and the amenities were great.  I was just wondering why no one came to clean our room even though the hotel was not busy at all. (They eventually came to clean after we called them to do so). Also, not sure if they cleaned the carpet. Nevertheless, our goal was to relax and spend quality family time and I believed we have achieved that.",December 2020,NA
mrgrimsby,Mar 2020,5.0 of 5 bubbles,Superb hotel,"Stayed here twice as we toured Cebu and Bohol, the hotel is very central to cebu City so banks and shopping malls are on the doorstep. The rooms and service are without fault and the Bruce Family from the Isle of Wight United Kingdom would highly recommend this hotel and its amazing staff. Well done!",March 2020,NA
Emily K,Feb 2020,1.0 of 5 bubbles,Worst hotel I’ve ever stayed in ,"Staff at front desk were not friendly and rude. The bathroom smelt like sewer drain, when asked to move rooms we were moved to a room without a Queen bed that still had the bad smell in the bathroom. The wifi cut out continuously. Very loud traffic noise from room. Only good thing that I could see at this hotel was the gym and door staff were very friendly. Would not stay here again.",February 2020,NA
rustygen,Dec 2019,2.0 of 5 bubbles,Rude employee ,"Right away when we checked in,  two of the employees saw us staring at me knowing I have a defect, being with a foreigner they started mourning and laughing and even mention my defect. How rude for them to do that to their customers.  I want them to be trained.  Plus they offer us a non smoking room but when ee got in the room,  it smells horrible with cigarettes so the rest of our stay was poisonous.  Just be warned if you book this place,  make sure you are ready to be bullied..",December 2019,NA
lean,Nov 2019,4.0 of 5 bubbles,cebu,I like the atmosphere and they are very good in entertaining people not to get bored. Please visit this place because you can be happy and you will never be alone. You will hablve companies and Friends.,November 2019,NA
Lawland L,Nov 2019,4.0 of 5 bubbles,Super quality and affordable upper range hotel,"It was the best.  good gym, excellent buffet, walk to Ayala Mall, close by Jitneys if desired.  rooftop pool was wonderful. They made me wait a bit for my reservation, but later upgrade my room to a suite. That was sweet.  Easy access to airport only 40 minutes to airport and check in to my flight was impressively fast.Great room and comfy.",November 2019,NA
Joyce Ann,Nov 2019,5.0 of 5 bubbles,Family getaways,A small hotel that offers great service and very friendly staff. This was our second visit. We would certainly recommend the deluxe rooms.The wifi was great.  Breakfast buffet is plentiful and the 2 restaurants offer a good selection of food.  Overall a great holiday venue. Thank you for the experience .,November 2019,NA
Latravelingman,Nov 2019,5.0 of 5 bubbles,Best place to stay in Cebu,"Great location, best gym in town, newly renovated rooms, five minute walk to Ayala Mall, good buffet breakfast also. Excellent service by all employees and fast check-in and check-out! I have stayed at Parklane many times, and never disappointed.",November 2019,NA
L Salazar,Oct 2019,4.0 of 5 bubbles,Convenient and good food,The hotel's location is close to Ayala Mall for shopping and meals. The buffet breakfast included in the stay  is delicious and they offer take away for those doing the early morning tour to Oslob and Kawasan falls. The staff is friendly and helpful. The rooms are nice and clean with views across the city.  The only downside was the ongoing construction of the road in front and some noise from the room renovations within.,July 2019,NA
jmacosta2018,Oct 2019,4.0 of 5 bubbles,Value for Money,"I love to stay in Parklane Hotel for three reasons: (1) the food is good; (2) the location is excellent, as it is near to a mall and some government offices; and (3) the personnel are warm and caring, particularly Ali, Jiji and Wakee and of course the courteous security guards at the lobby who efficiently get a cab for me whenever I leave the hotel. This hotel may not be as grand as other hotels in Cebu City but it does not matter to me. As long as it gives me a comfortable stay with a reasonable rate, it is good enough.",October 2019,NA
J G,Oct 2019,4.0 of 5 bubbles,Good location and comfortable ,"3 minutes walk to get to Ayala Mall and Ayala Terrace, and to 24 hours massage at YOLO massage. Staff was friendly and everything went smooth. Nothing to complain about and food value for money.  At Ayala, lots of choices for food, drinks, including Starbucks. Can't beat the location.",October 2019,NA
rustygen,Dec 2019,2.0 of 5 bubbles,Rude employee ,"Right away when we checked in,  two of the employees saw us staring at me knowing I have a defect, being with a foreigner they started mourning and laughing and even mention my defect. How rude for them to do that to their customers.  I want them to be trained.  Plus they offer us a non smoking room but when ee got in the room,  it smells horrible with cigarettes so the rest of our stay was poisonous.  Just be warned if you book this place,  make sure you are ready to be bullied..",December 2019,NA
lean,Nov 2019,4.0 of 5 bubbles,cebu,I like the atmosphere and they are very good in entertaining people not to get bored. Please visit this place because you can be happy and you will never be alone. You will hablve companies and Friends.,November 2019,NA
Lawland L,Nov 2019,4.0 of 5 bubbles,Super quality and affordable upper range hotel,"It was the best.  good gym, excellent buffet, walk to Ayala Mall, close by Jitneys if desired.  rooftop pool was wonderful. They made me wait a bit for my reservation, but later upgrade my room to a suite. That was sweet.  Easy access to airport only 40 minutes to airport and check in to my flight was impressively fast.Great room and comfy.",November 2019,NA
Joyce Ann,Nov 2019,5.0 of 5 bubbles,Family getaways,A small hotel that offers great service and very friendly staff. This was our second visit. We would certainly recommend the deluxe rooms.The wifi was great.  Breakfast buffet is plentiful and the 2 restaurants offer a good selection of food.  Overall a great holiday venue. Thank you for the experience .,November 2019,NA
Latravelingman,Nov 2019,5.0 of 5 bubbles,Best place to stay in Cebu,"Great location, best gym in town, newly renovated rooms, five minute walk to Ayala Mall, good buffet breakfast also. Excellent service by all employees and fast check-in and check-out! I have stayed at Parklane many times, and never disappointed.",November 2019,NA
L Salazar,Oct 2019,4.0 of 5 bubbles,Convenient and good food,The hotel's location is close to Ayala Mall for shopping and meals. The buffet breakfast included in the stay  is delicious and they offer take away for those doing the early morning tour to Oslob and Kawasan falls. The staff is friendly and helpful. The rooms are nice and clean with views across the city.  The only downside was the ongoing construction of the road in front and some noise from the room renovations within.,July 2019,NA
jmacosta2018,Oct 2019,4.0 of 5 bubbles,Value for Money,"I love to stay in Parklane Hotel for three reasons: (1) the food is good; (2) the location is excellent, as it is near to a mall and some government offices; and (3) the personnel are warm and caring, particularly Ali, Jiji and Wakee and of course the courteous security guards at the lobby who efficiently get a cab for me whenever I leave the hotel. This hotel may not be as grand as other hotels in Cebu City but it does not matter to me. As long as it gives me a comfortable stay with a reasonable rate, it is good enough.",October 2019,NA
J G,Oct 2019,4.0 of 5 bubbles,Good location and comfortable ,"3 minutes walk to get to Ayala Mall and Ayala Terrace, and to 24 hours massage at YOLO massage. Staff was friendly and everything went smooth. Nothing to complain about and food value for money.  At Ayala, lots of choices for food, drinks, including Starbucks. Can't beat the location.",October 2019,NA
rustygen,Dec 2019,2.0 of 5 bubbles,Rude employee ,"Right away when we checked in,  two of the employees saw us staring at me knowing I have a defect, being with a foreigner they started mourning and laughing and even mention my defect. How rude for them to do that to their customers.  I want them to be trained.  Plus they offer us a non smoking room but when ee got in the room,  it smells horrible with cigarettes so the rest of our stay was poisonous.  Just be warned if you book this place,  make sure you are ready to be bullied..",December 2019,NA
lean,Nov 2019,4.0 of 5 bubbles,cebu,I like the atmosphere and they are very good in entertaining people not to get bored. Please visit this place because you can be happy and you will never be alone. You will hablve companies and Friends.,November 2019,NA
Lawland L,Nov 2019,4.0 of 5 bubbles,Super quality and affordable upper range hotel,"It was the best.  good gym, excellent buffet, walk to Ayala Mall, close by Jitneys if desired.  rooftop pool was wonderful. They made me wait a bit for my reservation, but later upgrade my room to a suite. That was sweet.  Easy access to airport only 40 minutes to airport and check in to my flight was impressively fast.Great room and comfy.",November 2019,NA
Joyce Ann,Nov 2019,5.0 of 5 bubbles,Family getaways,A small hotel that offers great service and very friendly staff. This was our second visit. We would certainly recommend the deluxe rooms.The wifi was great.  Breakfast buffet is plentiful and the 2 restaurants offer a good selection of food.  Overall a great holiday venue. Thank you for the experience .,November 2019,NA
Latravelingman,Nov 2019,5.0 of 5 bubbles,Best place to stay in Cebu,"Great location, best gym in town, newly renovated rooms, five minute walk to Ayala Mall, good buffet breakfast also. Excellent service by all employees and fast check-in and check-out! I have stayed at Parklane many times, and never disappointed.",November 2019,NA
L Salazar,Oct 2019,4.0 of 5 bubbles,Convenient and good food,The hotel's location is close to Ayala Mall for shopping and meals. The buffet breakfast included in the stay  is delicious and they offer take away for those doing the early morning tour to Oslob and Kawasan falls. The staff is friendly and helpful. The rooms are nice and clean with views across the city.  The only downside was the ongoing construction of the road in front and some noise from the room renovations within.,July 2019,NA
