Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Kianna M,Jan 2024,5.0 of 5 bubbles,Awesome!,"Great service. The people here are very accommodating and so friendly, you’ll never be shy or scared to ask. They do have good variety of foods as well where you’ll wander what to eat 🤣 and their chiefs are very friendly as well and cooks delicious food!",January 2024,Traveled with friends
Guendoline S,Jan 2024,5.0 of 5 bubbles,Fantastic,"“Food is not just eating energy. It’s an experience.” ❤️  This is our second time here, and both the service and food have been exceptional. I thoroughly enjoyed myself. ❤️❤️❤️ Will definitely recommend to friends and colleagues. 😊",January 2024,Traveled as a couple
Star K,Jan 2024,4.0 of 5 bubbles,Good but could be more,"The food is great, but the variety of food is lacking for its price, in my opinion. The ambience is perfect along with the live music. The presentation of the food is also great. The servers and staff have a pleasing personality. Overall I'd rate it 4.5 / 5",January 2024,Traveled with friends
Janine Q,Jan 2024,5.0 of 5 bubbles,So Great!,We went there for breakfast and their food were great especially their fish fillet! I liked their doughnuts as well. Staffs were very accomodating too. Their supervisor was very nice. He made sure that we got everything we need. We will definitely comeback next time for their dinner buffet.,December 2023,Traveled on business
SEI H,Jan 2024,4.0 of 5 bubbles,Nice Breakfast Buffet,Nice food and discounted rates for bpo employees. Yummy fish fillet. I just wish there was hash browns. The hot chocolate was tablea which is really good. Nice and accommodative servers. They also offer eggs where you may customize the way it is cooked,December 2023,Traveled on business
Navigate55867573117,Jan 2024,5.0 of 5 bubbles,1st experience at Harolds,"The foods are great, they are so yummy and flavorful. All the staffs are very approachable, very mindful and very polite, from the receptionist to the server. The place has soft lighting and peaceful music, it has a pleasant, soothing ambience.",January 2024,Traveled with friends
Rhadz E,Jan 2024,5.0 of 5 bubbles,"Good food, good service!!","Good food! Good service. Will recommend with friends. The filipino buffet selection was sumptuous and delicious. The staff are friendly and approachable. The hotel is clean, cozy, and accessible. The money paid is a worth spent, thank you Harrolds.",January 2024,Traveled with friends
Jericho Dave S,Jan 2024,5.0 of 5 bubbles,EXCELLENT,Great food! Service was great from start to finish and the staff was very accommodating from the time we arrive until the time we left. Kudos to ms MJ the receptionist and other staff for maintaining the foods and refilling the foods and water time to time,January 2024,Traveled with friends
Ronmark G,Jan 2024,5.0 of 5 bubbles,The Best ❤️ And thank you for the Cheese Cake for my Birthday ❤️,"It’s my birthday today and i celebrated it with Harold’s Hotel, I really really enjoyed the food and people, we are really accommodated well by Mj the best receptionist i had since i must say, also the server emman and mark knows how to socialize and make good relationship with the guest and customers also the cashier Anita she is very funny and jolly to talk to. Kudos to the team leader as well  Jason for having this kind of team keep up the good work guys. Thank you Harold’s hotel and team. I will surely recommend your hotel and buffet to my family and friends ❤️",January 2024,Traveled with friends
Peter R,Jan 2024,5.0 of 5 bubbles,Oasis in busy Cebu City,"Very good service, clean,  rich breakfast buffet, rooftop bar with nice menu for food and drinks, location near Ayala mall. Reception staff very helpful in organising excursions and other transportation like others in the restaurant making it a very enjoyable stay. Thanks to Honey, Plisken, Cejay and Wilma",January 2024,Traveled solo
Kianna M,Jan 2024,5.0 of 5 bubbles,Awesome!,"Great service. The people here are very accommodating and so friendly, you’ll never be shy or scared to ask. They do have good variety of foods as well where you’ll wander what to eat 🤣 and their chiefs are very friendly as well and cooks delicious food!",January 2024,NA
Guendoline S,Jan 2024,5.0 of 5 bubbles,Fantastic,"“Food is not just eating energy. It’s an experience.” ❤️  This is our second time here, and both the service and food have been exceptional. I thoroughly enjoyed myself. ❤️❤️❤️ Will definitely recommend to friends and colleagues. 😊",January 2024,NA
Star K,Jan 2024,4.0 of 5 bubbles,Good but could be more,"The food is great, but the variety of food is lacking for its price, in my opinion. The ambience is perfect along with the live music. The presentation of the food is also great. The servers and staff have a pleasing personality. Overall I'd rate it 4.5 / 5",January 2024,NA
Janine Q,Jan 2024,5.0 of 5 bubbles,So Great!,We went there for breakfast and their food were great especially their fish fillet! I liked their doughnuts as well. Staffs were very accomodating too. Their supervisor was very nice. He made sure that we got everything we need. We will definitely comeback next time for their dinner buffet.,December 2023,NA
SEI H,Jan 2024,4.0 of 5 bubbles,Nice Breakfast Buffet,Nice food and discounted rates for bpo employees. Yummy fish fillet. I just wish there was hash browns. The hot chocolate was tablea which is really good. Nice and accommodative servers. They also offer eggs where you may customize the way it is cooked,December 2023,NA
Navigate55867573117,Jan 2024,5.0 of 5 bubbles,1st experience at Harolds,"The foods are great, they are so yummy and flavorful. All the staffs are very approachable, very mindful and very polite, from the receptionist to the server. The place has soft lighting and peaceful music, it has a pleasant, soothing ambience.",January 2024,NA
Rhadz E,Jan 2024,5.0 of 5 bubbles,"Good food, good service!!","Good food! Good service. Will recommend with friends. The filipino buffet selection was sumptuous and delicious. The staff are friendly and approachable. The hotel is clean, cozy, and accessible. The money paid is a worth spent, thank you Harrolds.",January 2024,NA
Jericho Dave S,Jan 2024,5.0 of 5 bubbles,EXCELLENT,Great food! Service was great from start to finish and the staff was very accommodating from the time we arrive until the time we left. Kudos to ms MJ the receptionist and other staff for maintaining the foods and refilling the foods and water time to time,January 2024,NA
Ronmark G,Jan 2024,5.0 of 5 bubbles,The Best ❤️ And thank you for the Cheese Cake for my Birthday ❤️,"It’s my birthday today and i celebrated it with Harold’s Hotel, I really really enjoyed the food and people, we are really accommodated well by Mj the best receptionist i had since i must say, also the server emman and mark knows how to socialize and make good relationship with the guest and customers also the cashier Anita she is very funny and jolly to talk to. Kudos to the team leader as well  Jason for having this kind of team keep up the good work guys. Thank you Harold’s hotel and team. I will surely recommend your hotel and buffet to my family and friends ❤️",January 2024,NA
Peter R,Jan 2024,5.0 of 5 bubbles,Oasis in busy Cebu City,"Very good service, clean,  rich breakfast buffet, rooftop bar with nice menu for food and drinks, location near Ayala mall. Reception staff very helpful in organising excursions and other transportation like others in the restaurant making it a very enjoyable stay. Thanks to Honey, Plisken, Cejay and Wilma",January 2024,NA
Paddy M,Jan 2024,3.0 of 5 bubbles,Very Tired hotel,"The staff were trying their best, very friendly but they kept approaching us I think to practise their English!The hotel needs a revamp carpets are loose , worn and the bathroom tiles and the mastic were moldy,Don't get in the left-hand lift!",January 2024,NA
Theo E,Jan 2024,5.0 of 5 bubbles,"Cool place, cool people!","Had an awesome 2-day stay at Harolds Hotel! The breakfast buffet was a total win – lots of fresh and tasty options to kickstart my mornings. Shout out to Ms Angelica, Sir Plisken, Aliana and Cj too, u guys did an amazing job. Cheers!",January 2024,NA
Harley Quinn,Jan 2024,3.0 of 5 bubbles,Did the job,All good. Unless the room was smelling moisture. We had to ask for the key to open the windows and let the sun  come in. We arrived one day before the booking and paid for an extra night in a deluxe room. They were going to change the room for us for the second night even the difference between the two rooms were 300 pesos (5 euros).… so we paid the 5 euros and stayed in the room… a commercial gesture would have been appreciated !,January 2024,NA
Not M,Jan 2024,5.0 of 5 bubbles,H cafe service,"Our stay in this hotel is very comfortable. When we arrived, Sir Paul immediately opened the door to help us out our vehicle and assisted with our luggages. The front desk staff was very understandable with our requests and accommodated us with the best of their abilities. Miss Angelica helped cater to our needs when asked. The hotel is always kept clean especially our rooms. The location is very accessible to public transportation and mall accessibility. Highly recommend. Thank you to all the staff for providing great services 💖",December 2023,NA
michi m,Jan 2024,5.0 of 5 bubbles,Satisfying Breakfast,The kind staff offered a very welcoming ambiance. We were greeted with a wide  variety of food to choose from sweet pastries to savory traditional filipino dishes. One thing that stood out the most was their rich and delectable filipino style hot chocolate which paired perfectly with the ube pandesal.,January 2024,NA
Nomad05762129835,Jan 2024,4.0 of 5 bubbles,"Modest, but superb breakfast","Came to have some breakfast after duty. Really filled me up and was satisfied with the food. Got a food fill of the food and received great and attentive service from the staff, was attended to by the supervisor Plisken, as well as Vilma and Aliana. Omelette station was also really good and quick. They also had a lot of food selections.",January 2024,NA
kristina cassan... r,Jan 2024,5.0 of 5 bubbles,Our food that we ate lately is so good and also the staff are very accommodating ,"The room was clean and the bed was comfy, A pool would complete the experience here at harolds. The staff was very accommodating also Pherie he is a good guy and the view on the rooftop was pleasant.",January 2024,NA
Kaitlyn K,Dec 2023,3.0 of 5 bubbles,Good room ,The accomodation was very professional and had a very good valet service with staff always opening and closing doors for myself and my partner. Very good service at the buffet breakfast as well. Would recommend for a couple night stay,November 2023,NA
Allen G,Dec 2023,4.0 of 5 bubbles,Dining experience ,"Good service by Modzna, Jason, and Ennan. They also served good food thank you and god bless us all in the world. Thank you for the complimentaryyyyyyyyyy cake….. Indeed a happy birthday to our precious grandmother!",December 2023,NA
Paddy M,Jan 2024,3.0 of 5 bubbles,Very Tired hotel,"The staff were trying their best, very friendly but they kept approaching us I think to practise their English!The hotel needs a revamp carpets are loose , worn and the bathroom tiles and the mastic were moldy,Don't get in the left-hand lift!",January 2024,NA
