Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Scott sullivan,NA,5.0 of 5 bubbles,Cebu 2019,I stayed here my 1st trip to Phillipines. It was very nice... food was good..I'm a spoiled American from New York city.. but I have no complaints about this hotel.. I look forward to staying here again.... thanks again for your help and hospitality,March 2023,Traveled as a couple
Kirk,Feb 2023,5.0 of 5 bubbles,Cebu's Best!,"Booking the Marco Polo Plaza Cebu every year for arrival or departure stop overs,its quality has not changed a bit. Service, food, accommodation and location of this hotel is excellent. We stayed their in January and February 2023 and for us it has still its flair. Especially chief cook JUANITO puts always magnificent food on the table at Cafe Marco, El Viento and the roof top BLU BAR!!!!To round your stay bar tender ROBERT will make it complete and surf you with his best  cocktails.",February 2023,NA
lesamang1,Jan 2024,5.0 of 5 bubbles,It was great!,"It's a bit far from the airport, shopping malls, and tourist attractions, but it's reasonably priced and quite satisfactory.It is not difficult to call grab, but sometimes it is not possible to catch it due to the location. Taxis entering and exiting the hotel are carefully recorded, but in some cases, be careful of exorbitant fares",January 2024,Traveled on business
ivanskriptunov,Jan 2024,5.0 of 5 bubbles,Very Cold Hotel,"Excelent hotel, excelent food everything is very good, but it was too cold inside. Very nice view, good gym, nice waterpool, but cold again. Everybody are friendly, room is 5stars class. Hope I will return to this hotel, but with warm clothes",January 2024,NA
cmtan2024,Jan 2024,5.0 of 5 bubbles,excellent service,Service is excellent . the food is superb at the Cafe Marco and Lobby Lounge. The view from the top is excellent. Our stay is relaxing and we had a good time. we will definitely refer it to friends and family.,January 2024,Traveled on business
havenkylecruz,Jan 2024,5.0 of 5 bubbles,A Marvellous stay!,I really love the room and the window view  captures the entire city plus the service were marvellous. Check in and out was easy and the amenities are superb. Really worth it. The toilet needs some improvement such as bidet and razor shave tho.,January 2024,NA
Paulette V,Jan 2024,5.0 of 5 bubbles,Marco Polo a Home for Cebuanos💖,"My Travel Authentic Team were invited for a cocktail party and we were introduced to their new General Manager Mr Max Huber.   I shared to my staff that Marco Polo is my very memorable and nostalgic place to be.  It's were our highschool graduation ball was held and it bring so many beautiful memories from my previous works.  And it felt more home, to see Ms Gema Baz is still a part of the Marco Polo Team and the food is really unbeatable.  Specially to know my old acquaintances Emma and Juanito are now the head of the FB team.   My previous functions in Marco Polo are always satisfying.  And they always extended beautiful service even to locals, they offer fair treatment.   Lae now handle the travel account and she is exemplary also.  I always and will always Love the Marco Polo Plaza Cebu! 💖",January 2024,Traveled on business
David,Jan 2024,5.0 of 5 bubbles,Great stay with a nice pool.,"Always a great stay at Marco Polo in Cebu, Philippines. The premier room we had was comfortable and roomy with two double beds and a nice armchair with ottoman to relax in. We had the Mountain view room, the sea view was slightly more expensive but really not worth the extra as who looks out the windows anyway. The pillows were soft and plentyful but I didn't like them as I'm used to a firm pillow but each to their own. One gripe was that the food provided by the hotel, whether in room or restaurant was quite expensive and they don't allow food to be bought in so apart from the ""free"" breakfast we ate out at Ayala Mall which involved catching a taxi each way and sometimes involved a wait  for a taxi until we decided to use the ""Grab"" cars. The breakfast was really great with a big selection of foods for local and Western tastes and as we were there for Christmas we indulged in their Christmas lunch buffet which was excellent, if expensive. We stayed for nine days and the staff were excellent and very helpful, especially the restaurant staff who had very busy days over Christmas and New Year. If you are looking for  great stay in a 5 star hotel then I would recommend Marco Polo if you don't mind paying that extra money.",December 2023,Traveled with family
Thirdy D,Jan 2024,5.0 of 5 bubbles,Good service marco polo,well planned event for 1000pax oathtaking of civil engineers and provided service vehicle  from marco polo hotel to jy square to the  honorees. Very happy with the excellent service provided by emma and her team. Would definitely go back fkr future events,January 2024,Traveled on business
veronicayumol,Jan 2024,3.0 of 5 bubbles,A getaway trip to Marco Polo,"The staff in this hotel are very accomodating , approachble and eager to attend to their guest needs.If your lookking for a quiet and peaceful place i recommend this hotel but the management needs to consider some renovation in order to satisfy  their guest.",December 2023,NA
