Review ID,Review Content,Review Score,Review Time
829819335,"From checking in to Check out! Everything was great!
 
 ",10.0,2024-07-05T06:53:00+07:00
829911086,"I had an absolutely wonderful stay. From the moment I arrived, the staff was incredibly friendly and helpful. A big shoutout to Chloe at the front desk! She made the check-in process a breeze and even surprised us with an upgrade to a suite! The room was fantastic - spacious, clean, and very comfortable.

The breakfast buffet was another highlight. The selection was amazing, with something to please everyone's taste. The food was fresh and delicious.
 
 ",9.2,2024-07-05T06:12:00+07:00
828962194,"I don’t think management treats the employees quite well. I think it’s owned by Chinese, but other than that, it was a good location.
 
 ",8.4,2024-07-04T12:30:00+07:00
828855200,"The location was excellent and  the staff were very friendly and helpful.
 
 ",10.0,2024-07-04T11:18:00+07:00
828318991,"We enjoyed our stay hotel was clean and the breakfast buffet was amazing...
 
 ",10.0,2024-07-04T02:19:00+07:00
827437919,"Good place and good food
 
 ",8.8,2024-07-03T04:35:00+07:00
826895044,"Good location from the airport when your business meeting is in the city. Lesser traffic.

Food choices during breakfast are good.

Infinity pool and bar at the roofdeck is one of the best. Great view during sunset!
 
 ",8.0,2024-07-02T12:51:00+07:00
826727597,"A full blown breakfast compared to none. I’m a Filipino who lives in Au🇦🇺 and I highly recommend Bai Hotel💙 it is a must stay place when you’re in Cebu!
 
 ",8.4,2024-07-02T08:25:00+07:00
827015203,"Highly recommended 
 
 ",8.0,2024-07-02T02:55:00+07:00
825850790,"Overall recommended. 
 
 ",10.0,2024-07-01T12:08:00+07:00
826486788,"Everything is superb except i see little crawlies here and there. [Small Cockroaches] just address that and everything would be fine.😊
 
 ",8.8,2024-07-01T11:58:00+07:00
825769409,"Napakaganda ang mura pa dito ulit ako mag sstay pag balik ng cebu🤗😍
 
 ",10.0,2024-07-01T09:12:00+07:00
825766853,"One of my favorite hotels anywhere.
Very friendly and responsive staff.
Has become my go-to place to stay in Cebu City.
 
 ",10.0,2024-07-01T08:48:00+07:00
826016948,"I really love bai Hotel's theme of luxury—it is low key but nevertheless premium. The room we stayed in was very cozy. Comfy beds and the area of the room was spacious enough. The toilet was a bit small, though it's not too small it's a deal-breaker. Anyway, the food. The breakfast buffet was really delicious, but their Japanese resto was easily one of the best Japanese dining experience we've had. Their Tonkotsu ramen is a strong contender for the best in Cebu. It is pricey but it was our Japanese dinner that made our stay in bai unforgettable. Definitely recommend.
 
 ",9.6,2024-07-01T04:36:00+07:00
825571102,"Staff were so accomodating and friendly. Can’t wait to go back here!
 
 ",10.0,2024-07-01T03:30:00+07:00
825490852,"First time staying in and I’m really impressed. The quality of service is top-notched, all the staff I’ve encountered were all polite and attentive. The room exceeded my expectations. The food was very good esp. the breakfast buffet. The pool side has a beautiful view of the city skyline - wasn’t able to swim and visit the roof top deck though. Will definitely come back. 
 
 ",10.0,2024-07-01T01:34:00+07:00
824257232,"I booked a room for my family and they enjoyed their 2nights stay,and even extended 1more night !!.Highly recommended!!.Breakfast are full varieties to choose from!!Would book again!..
 
 ",10.0,2024-06-30T12:32:00+07:00
824774539,"Staff is  excellent, love the courtesy.  Sadly the building itself looks like not maintained properly. Its has aged  really fast. 
 
 ",7.6,2024-06-30T10:58:00+07:00
825372545,"Great rate and location, excellent breakfast buffet 
 
 ",10.0,2024-06-30T10:38:00+07:00
825345329,"Friendly staff , value for money if booking through Agoda.

 
 ",10.0,2024-06-30T09:31:00+07:00
824623083,"Brilliant hotel.
 
 ",10.0,2024-06-30T08:25:00+07:00
824559204,"Service, convenience, and affordability...incomparable👌
 
 ",9.6,2024-06-30T07:04:00+07:00
824400334,"Bai Hotel Cebu pleasantly surprised us with its luxurious decor, great and friendly service as well as a very impressive buffet breakfast for the price. Highly recommended!
 
 ",9.2,2024-06-30T03:12:00+07:00
824323197,"Good 
 
 ",10.0,2024-06-30T01:39:00+07:00
823954091,"Staff are friendly, and the rooms are clean. But what I love most is their food. Love it! 
 
 ",10.0,2024-06-29T04:32:00+07:00
823798597,"No frills, reliable hotel.
 
 ",8.4,2024-06-29T01:34:00+07:00
823797349,"It was value for money. The rooms were comfortable and clean, staff were friendly and helpful. The view of the city at night was amazing. 
 
 ",9.6,2024-06-29T01:00:00+07:00
823759823,"Great experience 
 
 ",9.6,2024-06-28T10:49:00+07:00
823751302,"Perfect to rest for the night.   Bed was super comfortable.  Food was great!
 
 ",10.0,2024-06-28T08:56:00+07:00
823744624,"During my check in, I casually mentioned that we’re celebrating my son’s birthday on that day and a few hours after, a complimentary cake arrived in our room! Amazing service! Thanks Suzanne of Bai Hotel for really making sure that my son’s birthday would be a memorable one. 
 
 ",10.0,2024-06-28T07:31:00+07:00
823738839,"Pretty good for a go to staycation for our family. Good staff/accommodation and their food is better than most at its level. I would recommend here since they give out a lot of promos. But Honestly, they're getting a bit more expensive through the years with lesser promos. Understandable since it's just business.
 
 ",7.6,2024-06-28T06:19:00+07:00
823781927,"Modern and very nice hotel
 
 ",10.0,2024-06-28T04:43:00+07:00
823772232,"Second time staying here for long periods (5 days) and it’s always a great experience. Staff are pleasant, pool is well maintained, security is tight and excellent 👏
 
 ",9.2,2024-06-28T01:54:00+07:00
823537533,"It was the first time of the family to stay in Bai Hotel and it was exceptional.
 
 ",9.6,2024-06-25T12:53:00+07:00
823537295,"We had the good breakfast buffet experience in the hotel and it would have been better if we had their famous taho but it was sold out by 7:00 am. We had the pool to ourselves (family of four) from 7:00 am - 9:00 am as it was slightly raining. The view from the top was exceptional. The room was very cozy and comfortable.
 
 ",9.6,2024-06-25T12:52:00+07:00
823512119,"The hotel offers exceptional value for money, outstanding location, impeccable cleanliness, and excellent staff.
I would gladly recommend this hotel! Superb accomodation and food here in Cafe bai were sumptous. Lots of varieties to choose from, dinner buffet and breakfast! 

 
 ",10.0,2024-06-25T07:32:00+07:00
823490715,"I surely get my moneys worth. The food was delicious and the room is very clean. I'll definitely be back.
 
 ",10.0,2024-06-25T01:11:00+07:00
823451241,"They always have solution in every concerns we have. Very accommodating staf. The best experience so far. 
 
 ",9.6,2024-06-24T11:35:00+07:00
823427049,"A good hotel, very clean. The staff are good too.
 
 ",7.2,2024-06-24T07:16:00+07:00
823426320,"The place is so cozy and clean.  We will stay here again in the future. 
 
 ",7.2,2024-06-24T07:03:00+07:00
823467138,"we enjoy a lot😍
 
 ",9.2,2024-06-24T03:13:00+07:00
803752820,"really clean and very relaxing.
 
 ",10.0,2024-06-24T03:02:00+07:00
809848574,"Staff are friendly 
 
 ",10.0,2024-06-24T01:38:00+07:00
776781045,"Exceptional!
 
Our stay at this property was exceptional. The location was superb, making it easy to explore the area. The facilities were top-notch, especially the well-kept amenities. The staff were friendly and accommodating, and the cleanliness of the property was impeccable. Overall, it was wonderful experience.
 
 ",10.0,2024-06-24T01:36:00+07:00
823348905,"I will recommend 
 
 ",6.4,2024-06-23T10:01:00+07:00
823348882,"I will recommend 
 
 ",6.4,2024-06-23T10:00:00+07:00
823395083,"It was bang for the buck deal. Thanks Agoda.
 
 ",10.0,2024-06-23T09:41:00+07:00
823342686,"Staff are very accommodating and the hotel room is very cozy, breakfast also is great. We had a very nice stay. 
 
 ",8.4,2024-06-23T08:51:00+07:00
823394069,"Bai Hotel is located that's easily accessible and just a walking distance to the mall. the staff were pleasanr, courteous and always ready to assist. Function rooms are big . Food is ok but not so tasty. Still, would recommend to friends.
 
 ",9.6,2024-06-23T08:49:00+07:00
823375034,"The staff are very helpful.
 
 ",8.4,2024-06-23T02:47:00+07:00
823366498,"First Class Hotel good for another vacation stay at Cebu City
 
 ",10.0,2024-06-23T01:08:00+07:00
823311589,"Very kinds
 
 ",10.0,2024-06-23T01:02:00+07:00
823311616,"Very kind
 
 ",10.0,2024-06-23T01:02:00+07:00
823305996,"What I love in Bai Hotel is that even though I don't have a booking I can check in easily at the front desk specially I always travel with my son. It was already our third time an would definitely comeback.
 
 ",10.0,2024-06-22T09:14:00+07:00
823298865,"my family had a wonderful experience in Bai. The staff are warm and welcoming, very quick to attend to our needs and very courteous. The place is neat and cozy. Bed and linen are comfortable, clean and good smelling. 
 
 ",10.0,2024-06-22T05:40:00+07:00
823196542,"100% recommended
 
 ",10.0,2024-06-21T10:21:00+07:00
823193161,"Great value and super service. We will definitely stay again
 
 ",10.0,2024-06-21T09:57:00+07:00
821459224,"Good service
 
 ",10.0,2024-06-20T12:55:00+07:00
821956655,"staff, common areas, rooms, everything is just perfect. depending in what you are planning to do in cebu, it's a bit in the middle of nowhere and a taxi is always required if you dont want to use all the services alreaduly available at the hotel. overall its a 10 out of 10
 
 ",8.8,2024-06-20T10:45:00+07:00
821823545,"They always have a solution to every situation! People are very welcoming and helpful. Will be back for sure!
 
 ",10.0,2024-06-20T07:47:00+07:00
821799068,"The Bai hotel is a great place to dine and stay. It's my go place after a ruff week at work. 
Rooms r perfectly set up. Exceptional clean. Food all over the property is great. And the service is on point. 
 
 ",10.0,2024-06-20T07:07:00+07:00
821707728,"SO NICE AND VERY RECOMENDABLE! 
 
 ",10.0,2024-06-20T03:47:00+07:00
821513965,"Staffs were helpful and accommodating.
 
 ",10.0,2024-06-20T01:39:00+07:00
821275929,"Great
 
 ",10.0,2024-06-19T10:37:00+07:00
820659938,"Great service from staff and clean hotel
 
 ",9.6,2024-06-19T09:04:00+07:00
820624411,"Bai hotel is the best for its cleanliness and comfort.Also, their customer service is topnotch.They always make sure that they will give you the best service and staffs are lit.Keep it up guys and definitely will come back.
 
 ",10.0,2024-06-19T08:01:00+07:00
820613520,"I booked a day before the check in date but it was confirmed right then and there at a reasonable price. 
 
 ",10.0,2024-06-19T07:30:00+07:00
820601546,"Fantastic place! 
 
 ",10.0,2024-06-19T06:57:00+07:00
821012180,"Great view of Cebu City. Good food. Elegant rooms.
 
 ",10.0,2024-06-19T02:02:00+07:00
820407331,"Best hotel in Cebu 
Real value for money 
Food price and quality outstanding 
 
 ",10.0,2024-06-18T10:43:00+07:00
818410438,"Bai is good. Clean and accessible, very near a mall.  Breakfast was good also
 
 ",9.2,2024-06-17T12:22:00+07:00
818818927,"This is one of the best hotels I've stayed and I am so grateful with the service and amenities bai Hotel has provided to my family. They really enjoyed. 
 
 ",9.6,2024-06-17T10:26:00+07:00
818749369,"The staffs are very friendly and accommodating. Love to stay here
 
 ",10.0,2024-06-17T07:38:00+07:00
818552183,"For a hotel its size, they don’t provide face towel, hand towel, or even ice. They charge you 50 bucks for a bucket of ice.
Bed is hard. Walls are thin. You can hear conversations next door. 
 
 ",4.8,2024-06-17T03:36:00+07:00
818948463,"Room is very spacious
 
 ",10.0,2024-06-17T02:05:00+07:00
817805824,"Git a great price on Agoda for a5 star hotel.  Great location,  fantastic staff.  Rooms were 5 star and very nice breakfast included.  
 
 ",10.0,2024-06-16T12:47:00+07:00
817805634,"Super hotel, great breakfast!!
 
 ",9.2,2024-06-16T12:44:00+07:00
817660013,"Impressive service from the staff.  Amenities were top notch and hotel is  kept really clean. Food was great, and the roof top pool and bar was perfect. 
 
 ",10.0,2024-06-16T10:06:00+07:00
817552253,"All the staff are friendly and courteous. 
 
 ",10.0,2024-06-16T07:33:00+07:00
816669925,"Nice
 
 ",9.2,2024-06-15T07:54:00+07:00
816659968,"My family loves this place… food,staff and facilities were great👍👍👍
 
 ",10.0,2024-06-15T05:37:00+07:00
816652719,"Well centralized located, close to Mactan Island beach, easy to get to Ayala, SM-Cebu Mall, walking distance to Park Mall and the hotel staff are friendly, helpful and the room has best air-condition it's real cold even if you turn off the Aircon.
 
 ",10.0,2024-06-15T03:01:00+07:00
816608562,"The room was very clean but smelled like the odor wafting from bathroom drains. Couldn't be bothered to change room though bec I was too tired.
 
 ",8.0,2024-06-14T10:28:00+07:00
816592241,"Excellent
 
 ",10.0,2024-06-14T06:56:00+07:00
816542094,"The staff was really nice and helpful becuase agoda made a mistake in booking the room.
 
 ",10.0,2024-06-13T12:58:00+07:00
816539961,"Good moderate priced hotel with great roof to pool and bars.
Live music from 8:00 pm but seating is very uncomfortable so we did not stay long to enjoy.
Buffet dinner and  breakfast were a little disappointing with many items served cold.
Staff were extremely friendly and efficient.
 
 ",8.4,2024-06-13T12:29:00+07:00
816513366,"Nice place, accommodating staff, clean and comfortable place to stay 
 
 ",10.0,2024-06-13T07:06:00+07:00
816508251,"We had a great stay!! Staff are friendly. Ms Jewel at the front desk is accomodating. Foods are very delicious. I will Definitely return and book here on our next visit!!! The room is very spacious😊
 
 ",10.0,2024-06-13T05:44:00+07:00
816549116,"Nice Skypool and bar 
 
 ",9.6,2024-06-13T02:40:00+07:00
816544990,"Everything is good. The only thing that I don't like is the pillow. Too soft and low. Didn't quite get a good sleep
 
 ",8.8,2024-06-13T01:38:00+07:00
816425654,"Perfect for money if you get lucky on agoda
 
 ",8.8,2024-06-12T05:58:00+07:00
816389158,"I always feel at home here. Thank you Bai
 
 ",10.0,2024-06-11T02:51:00+07:00
816174047,"The hotel is clean and smells good.. Near to malls and easy access..
 
 ",10.0,2024-06-09T07:09:00+07:00
816226101,"everyone is friendly and the place is awesome
 
 ",10.0,2024-06-09T05:18:00+07:00
816147608,"Great plsce to stay in Cebu!!!
 
 ",10.0,2024-06-08T08:16:00+07:00
816074280,"Clean and good breakfast 
 
 ",9.6,2024-06-07T09:35:00+07:00
816022650,"Great room.  Staff at the checkin counter needs improvement.  Staff at the 21st floor restaurant is amazing.  Bring your own water though.  They don't provide much.  
 
 ",6.4,2024-06-07T07:21:00+07:00
815965624,"Great amenities and exceptional service! 
 
 ",10.0,2024-06-06T11:41:00+07:00
815964653,"We enjoyed our stay in this hotel. From accommodating staff, delicious foods, and great ambiance we surely did relax and had a great bonding with my little family. We will book this hotel soon. 💖
 
 ",10.0,2024-06-06T11:31:00+07:00
815963901,"The aircondition was very cold which I liked.
 
 ",10.0,2024-06-06T11:20:00+07:00
815995539,"Relaxing to stay at the hotel
 
 ",10.0,2024-06-06T08:53:00+07:00
815941105,"Transaction went smoothly and hotel’s contact number is easily reached.
 
 ",7.6,2024-06-06T07:07:00+07:00
815928428,"none
 
 ",8.4,2024-06-06T03:08:00+07:00
815925797,"The food in the breakfast buffet is not that great. It looks good but the quality is ok
 
 ",8.0,2024-06-06T02:13:00+07:00
815880080,"Highly recomended
 
 ",10.0,2024-06-05T10:18:00+07:00
815862593,"Was a very friendly atmosphere , was super clean , Food was great in choices and tastes.
Great price as well.
 
 ",10.0,2024-06-05T06:47:00+07:00
815907641,"I was so happy to have spend a night with my son on his graduation as a graduation gift. Since his graduation ceremony was also held in BAI hotel. So happy.
 
 ",10.0,2024-06-05T04:51:00+07:00
815810624,"The hotel is clean and has nice facilities. Location is around 30 minutes from city center though. 
 
 ",8.0,2024-06-04T12:26:00+07:00
815801076,"We booked rooms for my brother’s wedding and we had a great stay. My so enjoyed the pool and even promised his new friends he met at the pool that he’ll be back on jul 2nd. Lol. The rooms are clean. The staff is super accommodating. I love how accessible it is especially if there’s a need for supplies, we can just run to Parkmall right across. 
 
 ",10.0,2024-06-04T10:32:00+07:00
815837362,"Great staff, beautiful modern rooms with good facilities. Breakfast is a huge boon as there is a huge choice of cuisine on offer. Highly recommend the bai hotel. I have there on numerous occasions and have never been dissapointment. 
 
 ",8.8,2024-06-04T09:30:00+07:00
815837303,"Rooms are spotless,  staff are very attentive. The breakfast is on a huge scale, so ensure your appetite is ready for a some gastronormous delights.
 
 ",8.4,2024-06-04T09:25:00+07:00
815787756,"I enjoyed my stay at Bai hotel and I added 2 more days to stay longer. Breakfast is good especially the pandesal, dried squid and the 
taho guy walking around carrying the taho container. Sooo cool! The swimming pool is good, lobby is clean and money changer is downstairs. There’s coffee shop outside and park mall is across the street. Very convenient. Thank you Bai hotel! 
 
 ",10.0,2024-06-04T08:18:00+07:00
815629537,"Everytime I go in, I get scanned. Imagine to be going through that body scanner and luggage or baggage scanner everytime.

The staff are friendly, in some sense.
 
 ",8.4,2024-06-04T03:01:00+07:00
814873866,"I was so disappointed with this hotel that was so overrated reviews! I had a high expectations when I booked this hotel! I had 3 rooms and I was so disappointed that my room was very dirty, bathrooms had a mold, HVAC had a lots of bugs and dust! Bed sheets found stained and hair! They moved me into different room after 19 hours of flight the second move was even worse of mold smell! I was so disappointed of staying this hotel! Management didn’t care about the issues and this hotel was not well maintained! The hallway of the 12th floor was super hot no AC! Disappointed like I left headache with mold smell on my room! Never again! 
 
 ",2.0,2024-06-03T08:57:00+07:00
