Review ID,Review Content,Review Score,Review Time
821798856,Everything went well during our staycation with my family. Will definitely come back again. Recommended hotel.:) ,10.0,2024-06-20T07:07:00+07:00
817520997,Great but hot lobby,7.2,2024-06-16T07:22:00+07:00
816656276,"The staff were very accommodating, the ambiance and location of the resort was truly exceptional! I definitely recommend this resort. ",10.0,2024-06-15T04:17:00+07:00
816503774,Accommodating staff,10.0,2024-06-13T04:07:00+07:00
816432261,"wonderful stay, 5 stars for me",10.0,2024-06-12T07:24:00+07:00
816463174,Beautiful resort and staff are excellent service. ,9.6,2024-06-12T02:12:00+07:00
816342318,Nice and lovely. We will surely come back,9.6,2024-06-11T04:09:00+07:00
816259339,"I spent my birthday in this hotel and all the restaurant staff are very accomodating. Thanks for the birthday cake and lively birthday song! 

We booked 4 rooms for my whole  family and we all enjoyed our stay. Rooms are clean and spacious. The breakfast is great, too! 

Staff are very nice, special shout out to Hirochi! ",9.2,2024-06-10T05:15:00+07:00
816248558,"I was certain I had booked a night’s stay with breakfast included, but when I checked in, it turned out there was no breakfast. Additionally, I expected a room with a bathtub, as shown in the advertisements. They did offer to transfer me to a room with a bathtub, but it was pointless since there was no heater. The advertisements are misleading.",7.2,2024-06-10T02:18:00+07:00
816171437,"Staff are all accommodating and friendly, great value for money.",8.4,2024-06-09T06:37:00+07:00
815959777,"Staff are not well trained-- they have admitted this themselves. If you speak to one of them, others will say different things and are all not aligned to the point of being confusing and frustrating. They won't address the issue of how they made their customer feel but would just apologise hoping that that would solve the problem. I can only hope that they won't drag the Dusit Thani brand.",4.8,2024-06-09T01:45:00+07:00
816155343,The way they handle communication to their guests from the front desk to the duty manager was never meant to resolve any issue but merely to sweep them off the carpet. They don't make their guests feel valued which is sad as they would have some advantage carrying the Dusit Thani brand in a resort place like Cebu. ,5.6,2024-06-09T01:34:00+07:00
816107008,Location is a bit isolated but loved it since there were not many children. Not crowdy overally.,8.4,2024-06-08T08:59:00+07:00
816034234,"Booked for 1 night. When i entered the lobby i felt disappointed as there’s an on going activity in the lobby which didn’t really gave me a relaxing vibe. Food options were limited as well and price for the food was extremely high. I understand that it is a 5 star hotel that’s why the price was high but the qualify of food wasn’t that great. Asked for an omelette during breakfast and I swear it was the worst omelette i ever had with regards to the taste and the presentation. Overall i felt that value for money wasn’t there. They have nice ambiance on the beach and poolside tho and front desk was helpful to me when i asked for a late check out the ff day. Although, I had plenty of questions during check in and she looks like she’s holding her annoyance towards me when answering my questions. Concierge was very helpful. ",8.0,2024-06-07T10:08:00+07:00
815853723,Wonderful place for resort staying. Distant corner on Mactan and takes a while for travel to and fro. Grab makes it convenient though. Many other less pricey restaurant choices about 15 mins or more out. Beautiful infinity pool with loblvely sunsets. Good to go in the later part of the afternoon when it is not so hot and the pool is warm. Enjoyed our stay! ,8.0,2024-06-05T04:15:00+07:00
815853746,"Wonderful place for family. Beautiful infinity pool and amenities. Many restaurants and a cafe though alot pricier than restaurants about 15mins away. At a corner on Mactan, meant for resort staying. If travelling out, will take some time, but w Grab it was convenient nonetheless. Enjoyed our stay! ",8.0,2024-06-05T04:12:00+07:00
