Review ID,Review Content,Review Score,Review Time
803348924,"Thank u jpark, we had a great stay 💓",10.0,2024-05-09T08:29:00+07:00
803332108,"Everything was perfect. From the moment we arrive and upon checking until checking out, staff were very friendly and helpful. Facilities were amazing. Our little boy enjoyed the pool and the beach.",10.0,2024-05-09T03:50:00+07:00
802256120,"Stayed for 4 nights- couple with 3 young kids(ages 7-9) 

The good:
- Waterpark is great fun for the kids,
- Location is ideal - in the center of town - many shops and experiences around,
- AC in the room was at a steady 18C Hooray!!,
- They offer several water activities,
- Breakfast and dinner buffet are good,
- Staff is lovely,
- Drinks are delicious,
- The Coral restaurant is special - live music and good food and drinks,
- 4 restaurants to choose from or you can experience the restaurants right outside of the hotel
- The “beach” is rocky,  the kids spent a lot of time snorkeling.

The not so good:
- Room had a bit of funky smell,
- Found other’s people hair all over the room,
- Mattress was hard and pillows too soft and uncomfortable,
- Stayed in a large suite and no sofa bed in the living room area - had to pay extra $ per night for the extra bed,
- Water pressure is very weak and water suddenly stops when showering,
- AC keeps room cool but is extremely loud,- kept being awaken by the loud sounds, 
- There is a rooster in the neighborhood that woke us up from our already poor night sleep at 5:00am everyday,
- No kids club. They offer some sort of one on one babysitting for $75 per two hour session. 
- US prices for everything. Dollars are very much loved there. 

I say - Go if you have kids. They will love it. ",8.4,2024-05-04T02:28:00+07:00
801365149,"The waterpark is dated . Despite follow up for room cleaning, no one came to clean the room on the 2nd day. Beach is not your usual sandy shore. 

While staff is friendly., they don’t seem to know what to do. Requested for room extension up to 2pm to allow our children to tale a nap before our Pororo park schedule at 3pm.  Request was denied despite not having a lot of guests on Monday. ",6.8,2024-05-03T11:40:00+07:00
799093380,"""bitin"" is a term in Tagalog used when we feel like there are still so much more to enjoy but we just could not stay any longer. This is exactly how I describe our trip. Since it was an overnight stay only, there were so many more amenities we were not able to see and enjoy, especially the kids. Looking forward to our next stay, so we can time our stay better and make sure we get most of the experience we can have from this place. thanks",8.4,2024-04-30T01:21:00+07:00
798198428,"The Hotel is one of the better in the Philippines, absolute! But it is so much overpriced... We booked with 67% Discount, and still 13K a night (including a good breakfast Buffet). The Hotel is made for ""Stay Inside"". You have 5 (or more) Restaurants inside, a giant Poolside with 3 pools (one behind the J Tower). But also the pools... 1/4 of the poolside smells for diesel (because of the nightly fire show), 2/4 of the pools smells for septic tank...
But the most nagging is their Greediness! 30K for a night regular rate, and you are charged for extra 100 Pesos for using the wall plug in the business center!! 2.500 Pesos for a average Diner buffet, but you are charged for 100 Pesos extra for the Beer Tap. And at the end it is a philippino hotel: Faucets are ""flexible"", toilets out of order, seals of the bath tub let the showering water rinse down to the next flor... Overpriced. I think they don't want other Customers than Koreans, i think 90% of the guests are koreans, very nice, best hotel guests you can spend time with. And 90% of this are families with kids... sometimes loud kids. Multiply it with 100...",7.6,2024-04-29T01:03:00+07:00
791834709,I love the experience I had with Jpark! We really had fun and memorable time! Til our next visit!😍,10.0,2024-04-15T08:34:00+07:00
791731800,The place is huge with lots of amazing things to do,9.2,2024-04-14T08:05:00+07:00
791568421,Room is spacious but design is kinda dull. TVs LCD is kinda fading and difficult to watch.  Bathroom is low ceiling. Kids enjoys their amenities anyway. Breakfast were great but only few tables. You need to wait.,7.6,2024-04-12T06:29:00+07:00
791154583,Great Facilities and very good customer service! Make sure you check for promos before you book. Call or email to book the private villas!  I appreciate how most people are so modest with their swimwear being mostly fully covered up as this is a family resort. I do wish they provided more filipino food options in their bar menu as the Philippines does do filipino food best! This place has everything so you don't need to leave :) We were granted a free family photoshoot which I highly recommend! Fire dancing and live entertainment every night was fantastic.So grateful for the great hospitality 😊🙏,9.6,2024-04-06T11:03:00+07:00
789794983,"Stayed here for 4 nights and experience was awesome. Staff were friendly and warm and ensured that we had all we needed.

Rooms were big, clean, and comfortable.

Facilities inside were great and there were enough activities inside to make us happy. The beach was awesome and my 5 year old son and my wife enjoyed snorkeling near the shore. Water activities were available too inside the resort and priced reasonably. 

Easy transfer to and from the airport via Grab. Same with going to Cebu City via the new expressway.

Only thing we didn't like was the food. It was just okay. There are options outside the hotel though.

Will come back again for sure. ",10.0,2024-04-03T12:29:00+07:00
790319618,Very nice and the kids enjoyed it,10.0,2024-04-03T08:16:00+07:00
783069327,Very nice place,9.6,2024-03-30T08:00:00+07:00
782730802,"i am korean mynpeople
good resort
very very nice",10.0,2024-03-27T01:56:00+07:00
782467689,Everything is perfect with Jpark,10.0,2024-03-24T07:32:00+07:00
782423615,"In terms of value for money, Jpark Hotel truly delivered. The level of luxury, comfort, and service provided justified the premium price, and I felt that every peso spent was well worth it.",8.4,2024-03-23T01:59:00+07:00
782253308,"We book here every time we come to Cebu. The property is great and this time, we tried the pool villa, which houses a private pool per unit. They also have jacuzzi villas, so enjoy the variety. I have also stayed at their regular hotel rooms, which were also good, Excellent location and the breakfast is wonderful. Will keep returning.",10.0,2024-03-21T04:59:00+07:00
778903678,Avoid at all cost ,2.8,2024-03-03T03:51:00+07:00
778903719,Horrible staff service ,2.8,2024-03-03T03:51:00+07:00
778329299,Very excited trip!!,10.0,2024-03-02T10:23:00+07:00
776508373,"We loved our stay at Jpark resort.. Kids loved the different options of pools, water slides and food options!",9.6,2024-02-25T09:27:00+07:00
776295863,"Aside from the perfect amenities the resort have, I highly recommend Jpark Island Resort and Waterpark because of the exceptional services of their staff (especially the housekeeping). I unfortunately left valuable items (my wedding and engagement rings) in my room when we checked out. We flew already back to Gensan after checking out when I realized my rings were left. I immediately called the hotel, and I was informed that the housekeeping staff turned over my rings. I truly admire the honesty that the housekeeping staff showed, and I highly commend their services. We look forward to staying again on the resort in the next couple of months. ",8.4,2024-02-25T06:16:00+07:00
775805823,"I have to wait until 4pm for my check in and no other arraignment, just wait!",4.4,2024-02-20T11:47:00+07:00
773339628,"Poor water heater function. We were provided 2 sets of towels and toiletries while my booking is for 4 persons. We have to call for the service repeatedly in order to resolve the problem. We spend all afternoon waiting for their response when we asked for room transfer. They dont have the initiative to serve the need of the costumer, intead you have to tell them what the room needs.  Old room , stains on the bathtub. Overall did not fit for a 5-star value experience.",3.2,2024-02-18T12:33:00+07:00
772801877,"Had lots of fun here with my kids.  Lots of facilities but most are paid. Water park is fun. But a lot of guests put their beach towels on the beach or pool chairs before the pools are opened! And suppose the staff should monitor if chairs are unattended for an hour, but I didn't see this happening. I saw two men holding 9 towels placing one each on the chairs and left for 1.5 hours. 

Food at restaurants (we tried Korean and Japanese and coral seaside one) are expensive and so so only. I suggest you go out to grab food.",8.8,2024-02-17T10:18:00+07:00
770939907,Thanks!,9.2,2024-02-11T01:18:00+07:00
770839707,"When I booked the room on Agoda, I clearly inputted 2 adults and 2 kits, the room is obviously too small to us. I had to pay on my arrival and upgraded the room to accommodate us. That's bad.",8.4,2024-02-09T11:30:00+07:00
766303184,Nice for famvacay,10.0,2024-01-26T12:10:00+07:00
765693373,"It’s a 700+ rooms property. But after you pay for the room ,you have to pay extra for almost everything else on the premises, except b/f ( as that’s mostly included in all their room offers ) , swimming pool & access to a small swimming beach !!

They have a huge frontage to sea but it’s very rocky.  
",8.8,2024-01-20T01:17:00+07:00
763975658,Worth it!,8.0,2024-01-18T01:25:00+07:00
761622579,Nice resort with lots of activities for kids ,8.4,2024-01-12T10:58:00+07:00
