Review ID,Review Content,Review Score,Review Time
823361664,"Location is great.  
Just a suggestion, I hope they’ll change some of their menus for breakfast. 
Carpets in the hallway has seen better days but the hotel overall is clean. ",8.0,2024-06-23T12:08:00+07:00
823397447,"We love our stay in Seda.
Wide selection for breakfast.
Great location , Ayala mall is just few steps away.",10.0,2024-06-23T11:13:00+07:00
823287043,"Very nice and comfy place to stay, Ayala Mall is just beside the hotel, fast access to all you need and want.  Great place to dine and chill and very accommodating and helpful staff.   ",10.0,2024-06-22T02:03:00+07:00
822834857,Great value for money and location is unbeatable! ,9.2,2024-06-21T12:50:00+07:00
822906336,Shower low pressure ,9.2,2024-06-21T02:54:00+07:00
820507083,"Had a great night stay here, only thing wrong is all the tiles around the outdoor pool are mega slippery once they’re wet and of course, because it’s a pool, they are always wet and quite treacherous to walk on.",8.8,2024-06-19T01:00:00+07:00
820239212,It is located at the heart of a business district and is very near to a major shopping center. Their staffs are very friendly and accommodating.,10.0,2024-06-18T09:04:00+07:00
818786207,Highly recommend this hotel. Staff are exceptionally well trained and kind. They treat you like a VIP. Hotel is very clean. Breakfast buffet offers variety of food. Excellent hotel.,10.0,2024-06-17T09:16:00+07:00
818970118,I’m happy with this hotel. That’s why I stayed here multiple times. It’s close to the mall just walking distance to restaurants and shops. I’ll definitely book to this hotel when I’m in Cebu. ,8.4,2024-06-17T03:00:00+07:00
817518558,"Clean rooms.
Best location when in Cebu.
Accessible to the mall.",9.2,2024-06-16T07:13:00+07:00
816496011,Seda Ayala Cebu has been my second home every time I travel to Cebu. Everything is easy from check in to check out. I always enjoy my stay in this hotel. Highly recommended to business travellers like me. ,10.0,2024-06-13T01:32:00+07:00
816153525,"I’ve been staying here since it was Marriott and the staff are unbelievably fantastic.  From the front desk to the security/front door men to the wait staff, every staff went above and beyond.  I cannot say enough but the place needs an overhaul renovation. The wallpaper on the ceiling in the reception area are peeling, the rooms have a musky old smell to the shabby carpets on each elevator bank to name a few. I’ve stayed at the IT Bloc and this place has a newer modern ambiance. Overall Seda Ayala Center gets three stars. One for the fantastic staff, two for the location, and three convenience being the center point to every where.  ",8.4,2024-06-09T12:50:00+07:00
816237110,"I have stayed in Seda's many times and this is one of my favorites.  Get a club room and it will give you access to snacks, foods and beverages on the upper floor of the hotel. Very nice! Great access to Ayala Mall. Staff is always amazing. ",9.6,2024-06-09T10:00:00+07:00
816131555,Good place to stay for couples or even families.,9.6,2024-06-08T02:48:00+07:00
816073596,"I like that that they are near mall, but if it would rain they dont have a walkway to mall",10.0,2024-06-07T08:55:00+07:00
815909697,Had a nice stay,10.0,2024-06-05T05:31:00+07:00
815898596,Hotel is conveniently located in the city,10.0,2024-06-05T02:24:00+07:00
815898549,Good place to stay in the city! ,10.0,2024-06-05T02:23:00+07:00
813979554,Nice,10.0,2024-06-02T01:40:00+07:00
813038177,Full gym with sauna was amazing,10.0,2024-06-01T09:01:00+07:00
813038081,Full gym with sauna was amazing,10.0,2024-06-01T09:00:00+07:00
812239715,Very good. Near to everything. Quick response to all needs. Non smoking rooms are a plus. ,10.0,2024-05-31T11:27:00+07:00
812226758,Excellent Hotel loved everything about it cleanliness the food the staff the comfort some of the most comfortable beds of every slept in we definitely will make this a stop each time we're back to the Philippines,10.0,2024-05-31T10:59:00+07:00
810804478,Perfect location if you are planning to explore the city. ,9.2,2024-05-30T12:21:00+07:00
811268105,We used to stay here atleast once a month. Super fab and accessible in all. Kudos to all! 🙏🤗,10.0,2024-05-30T11:02:00+07:00
