Review ID,Review Content,Review Score,Review Time
825490985,"Well maintained hotel for the age, but everything worked, great facilities you would expect, Would recommend.
 
 ",10.0,2024-07-01T01:32:00+07:00
824862054,"What happens when a great hotel becomes a shell of itself? It becomes the waterfront. It is a real unfortunate thing. Using a booking agency to book my visit, I had to change my check in date, instead of being helpful, they just accepted me paying a night I wasn't there. No recourse, they hide behind the booking agency. Then they say they charge 1000 a night, but try to go to the bar at the pool with no cash, nope, you can pay for the room, but not for a beer after swimming. Utter stupidity. Then my daughter must have gotten out one of the waters so when I check out, I got charged for that (no worries, but duh, you couldn't have done that out at the pool bar? Lastly, half the swimming pool is roped off because the overhanging structure that was falling down 3 years ago is still falling down. Definitely the eyesore of the whole place. Smelly elevators (one we started calling the ""pee"" vator) and you have to walk to the lower level to pick up grab and of course the escalator is still broken (I think it was broken 3 years ago). It must be expensive to run the waterfront, but they need a tune up to justify the cost of this once amazing hotel.
 
 ",6.0,2024-06-30T12:08:00+07:00
825224711,"Safe place for children. My daughters love it!
 
 ",10.0,2024-06-30T07:15:00+07:00
823745323,"Staff is amazing. Property is close by everything. Our go to place in Cebu..
 
 ",10.0,2024-06-28T07:39:00+07:00
823732648,"The room is amazing, the staff are so helpful especially Giu (the one who assist our luggage). The receptionist were so accommodating.
 
 ",10.0,2024-06-28T04:08:00+07:00
823680384,"their staff are very hospitable and accommodating  but hotel needs improvement, room is dark during nigh time carpet had a few crumbs left pag pasok namin, only 2 bottles of water given for guests everyday other hotels already offer a water station and 2 bottles for 2 adults is not enough, internet in room is very slow.  yung 1 breakfast namin may 1 foreigner na bastos sa buffet, also kept on sneezing and coughing with mouth open, a lot of people around his table already left, but the manager just gave him tissue and let him sleep there... was expecting na sana sinita or paalisin lalo na may kids, i had my son with me, nsa table kami sa likod, buti nalang paalis na kame... still a good hotel, only needs improvement.. hopefully next year it will be better... 
 
 ",5.2,2024-06-27T10:19:00+07:00
823612351,"Thank u
 
 ",10.0,2024-06-26T12:34:00+07:00
823495836,"Very nice relaxing hotel
 
 ",8.8,2024-06-25T02:55:00+07:00
823402118,"Recommended
 
 ",10.0,2024-06-24T12:53:00+07:00
823471354,"Water Heater not workign properly, 
check-in and checking-out takes too long
 
 ",4.0,2024-06-24T04:32:00+07:00
823332857,"very accomodating staff
 
 ",10.0,2024-06-23T07:21:00+07:00
