Review ID,Review Content,Review Score,Review Time
955865764,"rooms are simple with a luxurious feel to them. you will not run out of things to do in the resort. you can either go for a swim on the beach or in the pools, there's a basketball / volleyball court, there's an area for indoor sports like pingpong and billiards. note however that swimming on the beach isn't allowed from 6 pm onwards. the resort is along a busy strip of various establishments including several supermarkets and convenience stores, some of which are open 24/7.",5,2024-06-19
955161577,"The check-in process was fast, and early check-in was allowed since it was available. The first impression of the hotel showed it looked a bit aged, but it is still in good condition and usable. The room was large, and the bathroom was spacious. However, the room lacked a welcoming vibe on the first day, which was unexpected for a 5-star hotel. The outdated carpet design and antique chairs in front of the elevators contributed to the aged appearance.

The balcony provided a relaxing view of greenery, even though it was far from the beach. kids thoroughly enjoyed the playroom and Pororo Park, although the latter was quite expensive for its medium size. The pools were big and enjoyable, and the lazy river was a highlight. The resort offers a variety of entertainment facilities such as mini-golf, a playground, an activity room, go-karts, and slides. The toddlers’ pool was particularly loved by the kids, and the Amazon River attraction was a standout feature. Various water activities are also available, adding to the fun.

Food prices were on the higher side with an average taste, but the serving sizes were acceptable. There are many nearby restaurants if you prefer dining out. The buffet breakfast was average, and the lunch buffet restaurant itself felt too expensive for the limited selection. However, the 100% natural juice was a highlight. The restaurant personnel were very professional and well-trained. Room service was available through a barcode menu only, with no printed copies, which did not attract us to dine in our room.

The pool design has areas with varying depths, so children need to be supervised carefully. The Wi-Fi was strong but unusable in the rooms, which was a significant inconvenience. It is recommended that someone from management check in for one night with an iPhone to personally experience and address the Wi-Fi issues along with any other areas needing improvement. The poolside entertainment, including Zumba, live singing, and a fire dance, was a delightful addition, and hot towels were provided after swimming.

Additional facilities such as a fitness center, spa, and gym are available, along with huge function halls. Other amenities include an ATM, casino, and photo studio. However, gift shops and necessity shops were hard to find. The presence of “no smoking” signs in the room was unusual and a bit annoying for a 5-star establishment. The staff were helpful and responsive to complaints, making efforts to address any issues seriously. Both check-in and check-out processes were fast and efficient.

Summary

Check-In and First Impressions:

 • Fast check-in and check-out, early check-in available
 • Aged appearance but in good condition
 • Room lacked a welcoming vibe for a 5-star hotel
 • Outdated carpet design and antique chairs in front of elevators

Room and Amenities:

 • Large room and spacious bathroom
 • Relaxing balcony with green views, distant from the beach
 • Strong Wi-Fi, but not usable in rooms (management should check with an iPhone)
 • Room service menu via barcode only, no printed copy

Kids’ Facilities:

 • Enjoyable playroom and Pororo Park (expensive)
 • Big pools and lazy river
 • Mini-golf, playground, activity room, go-karts, and slides are available
 • Toddlers’ pool loved by kids
 • Amazon River attraction is a highlight
 • Various water activities available

Dining Experience:

 • Expensive food with average taste
 • Acceptable serving sizes
 • Many nearby dining options
 • Average buffet breakfast
 • Expensive lunch buffet with limited selection
 • 100% natural juice is a highlight
 • Professional and well-trained restaurant personnel

Additional Notes:

 • Pool areas have varying depths; careful supervision needed
 • Hot towels available after swimming
 • Fitness center, spa, gym available
 • Huge function halls
 • Additional facilities: ATM, casino, photo studio
 • Gift shops and necessity shops hard to find
 • No smoking signs were unusual and annoying for a 5-star hotel
 • Responsive and helpful staff
 • Complaints are dealt with seriously",4,2024-06-15
952562547,"It's our family's first time staying at a 5-star hotel to celebrate our toddler's 3rd birthday, and we were not disappointed! The service was excellent, the food was delicious, and the amenities were top-notch. The room was spacious, and we absolutely loved the bathtub. And Pororo park is the best for children!",5,2024-05-27
951582976,"We had an amazing and fun dinner with my friends their food is very delicious . Relaxing ambiance and nice music. Beng Bong, Patrick and Ryan our servers are very kind and attentive to us. Especially thanks to Patrick and Beng Bong🫶🏻🫶🏻 🫶🏻",5,2024-05-20
951582513,"We had a great dinner with friends at coral jpark…. Good food, ambiance and nice music to listen to…special mention to the servers Ryan, Patrick, and Bengbong who were there for us till we finish  and till we had the go cart going to the parking…Thank you!",5,2024-05-20
949666996,"Everything was splendid except not much for younger kids and some slides don't seem safe for kids. There are many activities except some, including para-sailing stood out the most. Its amazing.  The super bowl slide isn't safe, my friend chipped her tooth.",3,2024-05-05
949469327,"IF THERE IS A RATING LOWER THAN THIS, IT IS WHAT ILL GIVE. 

THIS ""KOREAN-CENTERED"" HOTEL IN CEBU, DOES NOT HAVE EVEN THE SIMPLEST INSTANT RAMYUN  NOODLE OPTION FOR THEIR GUESTS. 

As early as a little past 10pm, this establishment is saying they don't have the most basic korean instant noodles available. When to most hotels in Cebu, it is in fact something offered in their minibars on each room. 

Most appalling is the service of everyone at this time. All their staff just simply saying they dont offer it because their ""convenience store"" closes at 10pm. 

A KOREAN-CENTERED and focused hotel not having the simplest product available to their guests. 

DO NOT GO TO THIS HOTEL.",1,2024-05-04
948765983,They are ‘strictly’ monitoring there CCTV to make you feel save and monitor if you have uninvited guest which is strictly prohibited and will be strictly called upon security for them to know that they are not allowed to be there.,1,2024-04-29
946010172,"We visited J Park as day guests and I cannot help but compare my experience to that of a day guest at the Shangri La. Firstly the price of the day pass was exorbitant. The staff at the day use desk and the guests at J Park were just so unhappy. I was actually shocked by it. We have been travelling all over the Phillipines and everyone is so friendly and happy. Not at this place! Guests look so sour, I mean you are in the Phillipines would it kill you to smile. The facilities are OK. OK pool, we opted for buffet dinner at the Abalone restaurant and the staff were attentive and the food plentiful. We paid 500 pesos to use the little cars for 30 minutes and 100 pesos to use the go carts for 15 minutes. Pool staff were lovely and attentive and the lifeguards were exceptional. My kids spent all day in the water and we just lounged around. This hotel seems to cater especially for guests from Korea whereas Shangri La had a more international crowd. I would advise you take the dinner option rather than the lunch set menu. Seeing the place in the night was a different perspective, pororo meets the kids and there was a fire show. Still didn't justify the cost, it was an ok experience and I probably would not visit again.",2,2024-04-09
945247766,Best Hotel resort for family. Very good and spacious  water park. Water park attendant and lifeguards were very attentive. Professional and Friendly check in Hotel staff. Highly recommended for families. Surely your kids will love it. Highly recommended.,5,2024-04-03
